"site","time_scale","drought_type","lat","lon","trend_type","p_value","z","method","n","note","s","var_s","tau","alternative","trend_likelihood","period_start","period_end","region"
"Hokitika (West Coast)","6","Agricultural drought",-42.71228,170.98428,"Duration",0.04661022207941896,1.678649136951051,"Mann-Kendall",22,NA,60,1235.3333333333333,0.2698599116019133,"greater","Very likely increasing",1972,2022,"West Coast"
"Invercargill (Southland)","12","Hydrological drought",-46.41741,168.33052,"Duration",0.8512281059638211,-1.0417150957346077,"Mann-Kendall",14,NA,-20,332.6666666666667,-0.22099784804393197,"greater","Likely decreasing",1972,2022,"Southland"
"Invercargill (Southland)","3","Meteorological drought",-46.41741,168.33052,"Duration",0.46527481094229434,0.08715334700553831,"Mann-Kendall",31,NA,6,3291.3333333333335,0.014053410766798993,"greater","Indeterminate",1972,2022,"Southland"
"Invercargill (Southland)","6","Agricultural drought",-46.41741,168.33052,"Duration",0.3874590481961008,0.28594780785029783,"Mann-Kendall",22,NA,11,1223,0.05030388445587832,"greater","Indeterminate",1972,2022,"Southland"
"Kerikeri (Northland)","12","Hydrological drought",-35.183,173.926,"Duration",0.26760402866815197,0.6200755364357442,"Mann-Kendall",12,NA,10,210.66666666666666,0.1538643637241659,"greater","Likely increasing",1972,2022,"Northland"
"Kerikeri (Northland)","3","Meteorological drought",-35.183,173.926,"Duration",0.25206868649681596,0.6679940775016977,"Mann-Kendall",23,NA,26,1400.6666666666667,0.10778272747993653,"greater","Likely increasing",1972,2022,"Northland"
"Kerikeri (Northland)","6","Agricultural drought",-35.183,173.926,"Duration",0.7697940063258626,-0.7381686229989938,"Mann-Kendall",19,NA,-22,809.3333333333334,-0.13137196671500342,"greater","Likely decreasing",1972,2022,"Northland"
"Lake Tekapo (Canterbury)","12","Hydrological drought",-44.002,170.441,"Duration",0.2907079033371618,0.5513178464199713,"Mann-Kendall",14,NA,11,329,0.12362672448829556,"greater","Likely increasing",1972,2022,"Canterbury"
"Lake Tekapo (Canterbury)","3","Meteorological drought",-44.002,170.441,"Duration",0.8893400993356458,-1.2230261983935569,"Mann-Kendall",21,NA,-41,1069.6666666666667,-0.20471870503808562,"greater","Likely decreasing",1972,2022,"Canterbury"
"Lake Tekapo (Canterbury)","6","Agricultural drought",-44.002,170.441,"Duration",0.5498531583467591,-0.12529036043768352,"Mann-Kendall",17,NA,-4,573.3333333333334,-0.030802055181684874,"greater","Indeterminate",1972,2022,"Canterbury"
"Masterton (Wellington)","12","Hydrological drought",-40.957,175.707,"Duration",0.9865954346422021,-2.2142857142857144,"Mann-Kendall",12,NA,-32,196,-0.5263613559678152,"greater","Very likely decreasing",1972,2022,"Wellington"
"Masterton (Wellington)","3","Meteorological drought",-40.957,175.707,"Duration",0.508946753406754,-0.02242806520081283,"Mann-Kendall",26,NA,-2,1988,-0.006560022041711091,"greater","Indeterminate",1972,2022,"Wellington"
