Date(NZST),Sunshine(Hrs),Period(Hrs),Freq
20120329,8.8,24,D
20120330,6.7,24,D
20120331,7.7,24,D
20120401,6,24,D
20120402,7.7,24,D
20120403,10.3,24,D
20120404,9,24,D
20120405,10.1,24,D
20120406,10.1,24,D
20120407,8.8,24,D
20120408,8.7,24,D
20120409,5.2,24,D
20120410,2.3,24,D
20120411,0,24,D
20120412,8.5,24,D
20120413,2,24,D
20120414,9.1,24,D
20120415,4.2,24,D
20120416,9.1,24,D
20120417,4.4,24,D
20120418,9,24,D
20120419,9.5,24,D
20120420,0.3,24,D
20120421,0.1,24,D
20120422,3.9,24,D
20120423,0.2,24,D
20120424,2,24,D
20120425,5.1,24,D
20120426,4.6,24,D
20120427,1.9,24,D
20120428,4.3,24,D
20120429,1.8,24,D
20120430,1.5,24,D
20120501,9.1,24,D
20120502,6,24,D
20120503,7.1,24,D
20120504,5,24,D
20120505,5.1,24,D
20120506,1.9,24,D
20120507,3.8,24,D
20120508,1.2,24,D
20120509,7.6,24,D
20120510,0.1,24,D
20120511,0.2,24,D
20120512,1.5,24,D
20120513,1,24,D
20120514,0,24,D
20120515,2.9,24,D
20120516,6.7,24,D
20120517,0.9,24,D
20120518,0.8,24,D
20120519,6.1,24,D
20120520,2.1,24,D
20120521,4.9,24,D
20120522,3.9,24,D
20120523,1.3,24,D
20120524,1.9,24,D
20120525,5.1,24,D
20120526,0,24,D
20120527,0.6,24,D
20120528,1.1,24,D
20120529,6.9,24,D
20120530,2.1,24,D
20120531,4.5,24,D
20120601,2.3,24,D
20120602,1.4,24,D
20120603,1,24,D
20120604,3.7,24,D
20120605,0,24,D
20120606,0,24,D
20120607,0.2,24,D
20120608,0.9,24,D
20120609,1.9,24,D
20120610,0.8,24,D
20120611,1.3,24,D
20120612,7.8,24,D
20120613,5.4,24,D
20120614,5.3,24,D
20120615,7.7,24,D
20120616,7.7,24,D
20120617,0,24,D
20120618,0,24,D
20120619,0,24,D
20120620,0.6,24,D
20120621,5,24,D
20120622,1.3,24,D
20120623,0,24,D
20120624,3.2,24,D
20120625,2.2,24,D
20120626,0.6,24,D
20120627,1.2,24,D
20120628,0.8,24,D
20120629,7.4,24,D
20120630,6.8,24,D
20120701,6,24,D
20120702,6.3,24,D
20120703,5.5,24,D
20120704,3.8,24,D
20120705,5.5,24,D
20120706,6.2,24,D
20120707,5.7,24,D
20120708,5.2,24,D
20120709,0.2,24,D
20120710,0.9,24,D
20120711,4.1,24,D
20120712,0,24,D
20120713,0,24,D
20120714,0,24,D
20120715,0.5,24,D
20120716,1.1,24,D
20120717,5.9,24,D
20120718,3.2,24,D
20120719,0,24,D
20120720,4.9,24,D
20120721,0,24,D
20120722,3.9,24,D
20120723,5.5,24,D
20120724,0.1,24,D
20120725,2.6,24,D
20120726,5.3,24,D
20120727,7.6,24,D
20120728,5.1,24,D
20120729,6.4,24,D
20120730,0.6,24,D
20120731,1,24,D
20120801,7.2,24,D
20120802,7,24,D
20120803,0.9,24,D
20120804,4.7,24,D
20120805,1.4,24,D
20120806,1.9,24,D
20120807,0,24,D
20120808,0,24,D
20120809,8.7,24,D
20120810,3.9,24,D
20120811,6.8,24,D
20120812,0,24,D
20120813,4.3,24,D
20120814,9.1,24,D
20120815,3.6,24,D
20120816,1.4,24,D
20120817,4.1,24,D
20120818,4.6,24,D
20120819,0,24,D
20120820,4.4,24,D
20120821,6.6,24,D
20120822,2.4,24,D
20120823,2.4,24,D
20120824,4.7,24,D
20120825,1,24,D
20120826,1.4,24,D
20120827,2.6,24,D
20120828,6.6,24,D
20120829,7.9,24,D
20120830,8.5,24,D
20120831,8.6,24,D
20120901,0.3,24,D
20120902,0,24,D
20120903,0.5,24,D
20120904,1.9,24,D
20120905,0.3,24,D
20120906,2.6,24,D
20120907,2.8,24,D
20120908,0.5,24,D
20120909,1.4,24,D
20120910,1.4,24,D
20120911,2.5,24,D
20120912,7.1,24,D
20120913,3,24,D
20120914,2.8,24,D
20120915,0,24,D
20120916,6.7,24,D
20120917,2.4,24,D
20120918,5.4,24,D
20120919,4.1,24,D
20120920,3.3,24,D
20120921,9.1,24,D
20120922,6.4,24,D
20120923,8.6,24,D
20120924,2.9,24,D
20120925,1.2,24,D
20120926,1.5,24,D
20120927,10,24,D
20120928,10.1,24,D
20120929,10.3,24,D
20120930,6.2,24,D
20121001,1.1,24,D
20121002,5.5,24,D
20121003,2,24,D
20121004,6,24,D
20121005,1.1,24,D
20121006,2.5,24,D
20121007,5.6,24,D
20121008,0.2,24,D
20121009,0.9,24,D
20121010,5.1,24,D
20121011,7.6,24,D
20121012,0.4,24,D
20121013,0.7,24,D
20121014,11,24,D
20121015,4.5,24,D
20121016,3.8,24,D
20121017,0,24,D
20121018,0.7,24,D
20121019,6.3,24,D
20121020,2.9,24,D
20121021,1.2,24,D
20121022,5.2,24,D
20121023,8.2,24,D
20121024,4.1,24,D
20121025,6.4,24,D
20121026,2.9,24,D
20121027,0,24,D
20121028,1.7,24,D
20121029,12.1,24,D
20121030,10.4,24,D
20121031,7.3,24,D
20121101,3.8,24,D
20121102,1.5,24,D
20121103,3.4,24,D
20121104,8,24,D
20121105,7,24,D
20121106,12,24,D
20121107,11.3,24,D
20121108,11.6,24,D
20121109,10.9,24,D
20121110,2.8,24,D
20121111,3,24,D
20121112,9.2,24,D
20121113,5.5,24,D
20121114,5,24,D
20121115,6.2,24,D
20121116,1.5,24,D
20121117,1.1,24,D
20121118,7.6,24,D
20121119,1.5,24,D
20121120,10.8,24,D
20121121,12.9,24,D
20121122,9,24,D
20121123,5.6,24,D
20121124,11.2,24,D
20121125,7.5,24,D
20121126,1.5,24,D
20121127,7.4,24,D
20121128,10.4,24,D
20121129,0.3,24,D
20121130,7,24,D
20121201,5.5,24,D
20121202,1.8,24,D
20121203,11.9,24,D
20121204,5.3,24,D
20121205,2.4,24,D
20121206,2.1,24,D
20121207,3.3,24,D
20121208,7.5,24,D
20121209,11.1,24,D
20121210,8.3,24,D
20121211,12.5,24,D
20121212,8.8,24,D
20121213,10.9,24,D
20121214,2.4,24,D
20121215,10.2,24,D
20121216,13.7,24,D
20121217,4.6,24,D
20121218,0.4,24,D
20121219,13.1,24,D
20121220,13.1,24,D
20121221,0,24,D
20121222,9.5,24,D
20121223,13.7,24,D
20121224,13.7,24,D
20121225,9.6,24,D
20121226,1,24,D
20121227,3.1,24,D
20121228,2.9,24,D
20121229,1.6,24,D
20121230,0.3,24,D
20121231,5.6,24,D
20130101,0.7,24,D
20130102,0,24,D
20130103,9.8,24,D
20130104,12.5,24,D
20130105,11.6,24,D
20130106,13.5,24,D
20130107,7.9,24,D
20130108,8.5,24,D
20130109,1.2,24,D
20130110,2.4,24,D
20130111,8.1,24,D
20130112,9.3,24,D
20130113,1,24,D
20130114,0,24,D
20130115,0.8,24,D
20130116,3.1,24,D
20130117,4.1,24,D
20130118,9.5,24,D
20130119,2.9,24,D
20130120,11,24,D
20130121,11.6,24,D
20130122,11.2,24,D
20130123,3.3,24,D
20130124,10.7,24,D
20130125,10.4,24,D
20130126,12.7,24,D
20130127,12.7,24,D
20130128,12.3,24,D
20130129,12.6,24,D
20130130,12.5,24,D
20130131,12.5,24,D
20130201,12.5,24,D
20130202,8,24,D
20130203,7,24,D
20130204,0.1,24,D
20130205,11.3,24,D
20130206,12.3,24,D
20130207,8.7,24,D
20130208,10,24,D
20130209,8.8,24,D
20130210,12.2,24,D
20130211,5.5,24,D
20130212,7.2,24,D
20130213,6.4,24,D
20130214,6.5,24,D
20130215,8.3,24,D
20130216,6.5,24,D
20130217,8.4,24,D
20130218,10.5,24,D
20130219,10.2,24,D
20130220,11.9,24,D
20130221,7.8,24,D
20130222,11.5,24,D
20130223,11.1,24,D
20130224,11.7,24,D
20130225,11.6,24,D
20130226,10,24,D
20130227,10.7,24,D
20130228,8.8,24,D
20130301,8.3,24,D
20130302,5.2,24,D
20130303,10.9,24,D
20130304,5.2,24,D
20130305,7.8,24,D
20130306,4.5,24,D
20130307,9.1,24,D
20130308,11,24,D
20130309,10,24,D
20130310,10.4,24,D
20130311,8.9,24,D
20130312,4.4,24,D
20130313,7.8,24,D
20130314,8.2,24,D
20130315,1.8,24,D
20130316,6.4,24,D
20130317,0.1,24,D
20130318,0.3,24,D
20130319,1.6,24,D
20130320,8.7,24,D
20130321,5.4,24,D
20130322,4.1,24,D
20130323,0.3,24,D
20130324,4.5,24,D
20130325,2.1,24,D
20130326,7,24,D
20130327,7.9,24,D
20130328,7,24,D
20130329,2.2,24,D
20130330,9.3,24,D
20130331,3.4,24,D
20130401,7.1,24,D
20130402,4,24,D
20130403,1.5,24,D
20130404,9.8,24,D
20130405,3.6,24,D
20130406,6.4,24,D
20130407,8.2,24,D
20130408,3.7,24,D
20130409,6.9,24,D
20130410,5.9,24,D
20130411,2.1,24,D
20130412,5.8,24,D
20130413,1.1,24,D
20130414,5.8,24,D
20130415,4.8,24,D
20130416,0,24,D
20130417,1.3,24,D
20130418,4.1,24,D
20130419,0.4,24,D
20130420,0.4,24,D
20130421,0,24,D
20130422,3.7,24,D
20130423,3,24,D
20130424,1.3,24,D
20130425,2.5,24,D
20130426,2.9,24,D
20130427,2.3,24,D
20130428,0.5,24,D
20130429,0.9,24,D
20130430,5.3,24,D
20130501,5,24,D
20130502,0,24,D
20130503,2,24,D
20130504,0.4,24,D
20130505,1.1,24,D
20130506,4.3,24,D
20130507,7.6,24,D
20130508,7.9,24,D
20130509,1.7,24,D
20130510,8.4,24,D
20130511,8.7,24,D
20130512,7.5,24,D
20130513,4,24,D
20130514,3.2,24,D
20130515,7,24,D
20130516,4,24,D
20130517,0,24,D
20130518,6.5,24,D
20130519,4.3,24,D
20130520,6.4,24,D
20130521,0.5,24,D
20130522,0.6,24,D
20130523,3.1,24,D
20130524,7.6,24,D
20130525,2.6,24,D
20130526,0,24,D
20130527,0.4,24,D
20130528,6.1,24,D
20130529,7.5,24,D
20130530,1,24,D
20130531,1.5,24,D
20130601,0.4,24,D
20130602,1.8,24,D
20130603,0,24,D
20130604,0,24,D
20130605,7.3,24,D
20130606,6.8,24,D
20130607,0,24,D
20130608,0.1,24,D
20130609,0.5,24,D
20130610,1.6,24,D
20130611,2.7,24,D
20130612,0,24,D
20130613,0.3,24,D
20130614,3.7,24,D
20130615,0,24,D
20130616,0,24,D
20130617,0.2,24,D
20130618,0,24,D
20130619,0.1,24,D
20130620,0,24,D
20130621,7.2,24,D
20130622,0.5,24,D
20130623,7.3,24,D
20130624,0.1,24,D
20130625,0.8,24,D
20130626,4,24,D
20130627,1.9,24,D
20130628,7.2,24,D
20130629,2.9,24,D
20130630,0.9,24,D
20130701,1.7,24,D
20130702,0.3,24,D
20130703,0.3,24,D
20130704,7.4,24,D
20130705,2.4,24,D
20130706,1.1,24,D
20130707,0.7,24,D
20130708,2.1,24,D
20130709,0,24,D
20130710,7.5,24,D
20130711,7.3,24,D
20130712,0.5,24,D
20130713,6.4,24,D
20130714,5.9,24,D
20130715,7.5,24,D
20130716,5.3,24,D
20130717,0,24,D
20130718,2.5,24,D
20130719,3.2,24,D
20130720,1.1,24,D
20130721,1.3,24,D
20130722,1.7,24,D
20130723,0,24,D
20130724,1.7,24,D
20130725,1.2,24,D
20130726,0.1,24,D
20130727,0.2,24,D
20130728,4.4,24,D
20130729,6.2,24,D
20130730,6,24,D
20130731,7.2,24,D
20130801,0,24,D
20130802,4.9,24,D
20130803,8,24,D
20130804,0,24,D
20130805,0.3,24,D
20130806,0,24,D
20130807,0,24,D
20130808,0.4,24,D
20130809,0.9,24,D
20130810,6.9,24,D
20130811,0,24,D
20130812,3,24,D
20130813,2.7,24,D
20130814,1.1,24,D
20130815,3.5,24,D
20130816,0.9,24,D
20130817,4.7,24,D
20130818,7.3,24,D
20130819,5.7,24,D
20130820,1.4,24,D
20130821,2,24,D
20130822,1.7,24,D
20130823,5.1,24,D
20130824,5,24,D
20130825,1.3,24,D
20130826,2.5,24,D
20130827,2.4,24,D
20130828,4.8,24,D
20130829,7.7,24,D
20130830,9.8,24,D
20130831,9.8,24,D
20130901,7.1,24,D
20130902,9.1,24,D
20130903,8.8,24,D
20130904,2.7,24,D
20130905,9.8,24,D
20130906,3.5,24,D
20130907,1.9,24,D
20130908,5.8,24,D
20130909,4.4,24,D
20130910,1.3,24,D
20130911,0,24,D
20130912,3.2,24,D
20130913,7.4,24,D
20130914,6.2,24,D
20130915,7.6,24,D
20130916,5.7,24,D
20130917,10.6,24,D
20130918,7,24,D
20130919,0.3,24,D
20130920,0.9,24,D
20130921,0.3,24,D
20130922,0.1,24,D
20130923,4.2,24,D
20130924,5.2,24,D
20130925,1.7,24,D
20130926,7.9,24,D
20130927,2.6,24,D
20130928,0.3,24,D
20130929,5.2,24,D
20130930,8.9,24,D
20131001,10.4,24,D
20131002,7.3,24,D
20131003,0.1,24,D
20131004,6.4,24,D
20131005,3.8,24,D
20131006,2.8,24,D
20131007,0.5,24,D
20131008,0,24,D
20131009,6.4,24,D
20131010,2.8,24,D
20131011,0,24,D
20131012,1.4,24,D
20131013,0.8,24,D
20131014,0,24,D
20131015,5.6,24,D
20131016,2.3,24,D
20131017,2.2,24,D
20131018,0.2,24,D
20131019,11,24,D
20131020,7.1,24,D
20131021,4,24,D
20131022,1.8,24,D
20131023,7.6,24,D
20131024,0,24,D
20131025,2.4,24,D
20131026,0.8,24,D
20131027,2,24,D
20131028,9.2,24,D
20131029,9.8,24,D
20131030,1.8,24,D
20131031,0.9,24,D
20131101,7,24,D
20131102,2.4,24,D
20131103,10.1,24,D
20131104,7.6,24,D
20131105,2,24,D
20131106,11.6,24,D
20131107,10.1,24,D
20131108,12.2,24,D
20131109,4.5,24,D
20131110,9.5,24,D
20131111,10.5,24,D
20131112,12.6,24,D
20131113,10.5,24,D
20131114,8.4,24,D
20131115,5.4,24,D
20131116,3.7,24,D
20131117,0,24,D
20131118,9.9,24,D
20131119,8.3,24,D
20131120,5,24,D
20131121,0.5,24,D
20131122,9,24,D
20131123,9.7,24,D
20131124,9.9,24,D
20131125,0,24,D
20131126,0,24,D
20131127,1.7,24,D
20131128,0,24,D
20131129,1.6,24,D
20131130,1.9,24,D
20131201,5.8,24,D
20131202,10.6,24,D
20131203,10,24,D
20131204,5.6,24,D
20131205,5.1,24,D
20131206,3.1,24,D
20131207,1.4,24,D
20131208,0.8,24,D
20131209,1.7,24,D
20131210,2.1,24,D
20131211,0.7,24,D
20131212,5.8,24,D
20131213,10.9,24,D
20131214,10.4,24,D
20131215,13.5,24,D
20131216,4.9,24,D
20131217,6.5,24,D
20131218,1.6,24,D
20131219,8.9,24,D
20131220,11.2,24,D
20131221,4.9,24,D
20131222,9.1,24,D
20131223,5.2,24,D
20131224,0.2,24,D
20131225,2.5,24,D
20131226,5.4,24,D
20131227,11.9,24,D
20131228,6.6,24,D
20131229,1.2,24,D
20131230,2.2,24,D
20131231,4.2,24,D
20140101,2,24,D
20140102,1.7,24,D
20140103,0.5,24,D
20140104,1,24,D
20140105,6,24,D
20140106,8.1,24,D
20140107,1.2,24,D
20140108,4.3,24,D
20140109,9.5,24,D
20140110,5.6,24,D
20140111,6.6,24,D
20140112,1.8,24,D
20140113,4.4,24,D
20140114,5.9,24,D
20140115,12.1,24,D
20140116,0,24,D
20140117,6.1,24,D
20140118,12.4,24,D
20140119,12.8,24,D
20140120,0.5,24,D
20140121,3.2,24,D
20140122,2.3,24,D
20140123,3.8,24,D
20140124,8.4,24,D
20140125,9.8,24,D
20140126,0.6,24,D
20140127,10.4,24,D
20140128,8.7,24,D
20140129,5.5,24,D
20140130,8.5,24,D
20140131,11.3,24,D
20140201,7.3,24,D
20140202,12.2,24,D
20140203,8.6,24,D
20140204,2.7,24,D
20140205,10.6,24,D
20140206,11.7,24,D
20140207,3,24,D
20140208,11,24,D
20140209,12.3,24,D
20140210,12.2,24,D
20140211,2.9,24,D
20140212,1.8,24,D
20140213,1,24,D
20140214,5,24,D
20140215,6.3,24,D
20140216,11.4,24,D
20140217,6.4,24,D
20140218,1,24,D
20140219,3.4,24,D
20140220,10.3,24,D
20140221,11.3,24,D
20140222,6.1,24,D
20140223,5.4,24,D
20140224,3.8,24,D
20140225,10.1,24,D
20140226,8.9,24,D
20140227,8.2,24,D
20140228,2.8,24,D
20140301,8.7,24,D
20140302,3.1,24,D
20140303,3.3,24,D
20140304,1.6,24,D
20140305,8.6,24,D
20140306,11.3,24,D
20140307,7,24,D
20140308,9.9,24,D
20140309,9.5,24,D
20140310,8.9,24,D
20140311,6.7,24,D
20140312,3.8,24,D
20140313,7.4,24,D
20140314,10.4,24,D
20140315,2.9,24,D
20140316,0.5,24,D
20140317,2.2,24,D
20140318,6.6,24,D
20140319,10.7,24,D
20140320,6.1,24,D
20140321,10.5,24,D
20140322,8.9,24,D
20140323,7.3,24,D
20140324,6.1,24,D
20140325,3,24,D
20140326,10.4,24,D
20140327,10.5,24,D
20140328,0.9,24,D
20140329,1.1,24,D
20140330,0,24,D
20140331,6.3,24,D
20140401,8.1,24,D
20140402,6.1,24,D
20140403,7.1,24,D
20140404,5.4,24,D
20140405,2.2,24,D
20140406,6.3,24,D
20140407,0.9,24,D
20140408,0.7,24,D
20140409,0.5,24,D
20140410,0.6,24,D
20140411,1.5,24,D
20140412,2.2,24,D
20140413,0,24,D
20140414,0,24,D
20140415,0,24,D
20140416,6.2,24,D
20140417,0,24,D
20140418,0.1,24,D
20140419,4,24,D
20140420,0.7,24,D
20140421,1.3,24,D
20140422,3,24,D
20140423,5.1,24,D
20140424,0.5,24,D
20140425,0.9,24,D
20140426,8,24,D
20140427,0.1,24,D
20140428,0.7,24,D
20140429,6.3,24,D
20140430,8,24,D
20140501,5.4,24,D
20140502,1.7,24,D
20140503,4.8,24,D
20140504,2.1,24,D
20140505,0.7,24,D
20140506,1.5,24,D
20140507,0.2,24,D
20140508,0.6,24,D
20140509,4.1,24,D
20140510,6.4,24,D
20140511,3.5,24,D
20140512,1.3,24,D
20140513,1.7,24,D
20140514,3.8,24,D
20140515,6.3,24,D
20140516,5.7,24,D
20140517,1,24,D
20140518,3.4,24,D
20140519,2,24,D
20140520,1.6,24,D
20140521,0,24,D
20140522,1.7,24,D
20140523,0,24,D
20140524,0.2,24,D
20140525,0.5,24,D
20140526,5.6,24,D
20140527,2.2,24,D
20140528,3.6,24,D
20140529,1.6,24,D
20140530,7.1,24,D
20140531,6.7,24,D
20140601,6.3,24,D
20140602,3.7,24,D
20140603,4.8,24,D
20140604,1,24,D
20140605,0.3,24,D
20140606,0,24,D
20140607,0,24,D
20140608,0,24,D
20140609,0.3,24,D
20140610,0,24,D
20140611,0.2,24,D
20140612,5.1,24,D
20140613,7.1,24,D
20140614,3.7,24,D
20140615,2.4,24,D
20140616,0,24,D
20140617,0.1,24,D
20140618,0.3,24,D
20140619,2.2,24,D
20140620,0.2,24,D
20140621,0,24,D
20140622,7.3,24,D
20140623,0.1,24,D
20140624,0,24,D
20140625,0,24,D
20140626,1.7,24,D
20140627,0,24,D
20140628,1.5,24,D
20140629,3.3,24,D
20140630,1.5,24,D
20140701,4.1,24,D
20140702,2.3,24,D
20140703,1.4,24,D
20140704,0.7,24,D
20140705,1.1,24,D
20140706,5.4,24,D
20140707,3.6,24,D
20140708,7,24,D
20140709,0.8,24,D
20140710,0.2,24,D
20140711,0,24,D
20140712,0,24,D
20140713,3.4,24,D
20140714,0.6,24,D
20140715,0.7,24,D
20140716,7,24,D
20140717,7.5,24,D
20140718,0,24,D
20140719,7.6,24,D
20140720,7.3,24,D
20140721,7.1,24,D
20140722,7.6,24,D
20140723,5.2,24,D
20140724,1.3,24,D
20140725,3,24,D
20140726,1.1,24,D
20140727,4.1,24,D
20140728,7,24,D
20140729,0,24,D
20140730,0.4,24,D
20140731,0.4,24,D
20140801,0.6,24,D
20140802,0.1,24,D
20140803,0.9,24,D
20140804,3.6,24,D
20140805,1.1,24,D
20140806,5.6,24,D
20140807,0.4,24,D
20140808,4.9,24,D
20140809,5,24,D
20140810,3.8,24,D
20140811,0,24,D
20140812,2.9,24,D
20140813,2.1,24,D
20140814,0.6,24,D
20140815,6.3,24,D
20140816,5.9,24,D
20140817,1.7,24,D
20140818,4.1,24,D
20140819,0,24,D
20140820,3.6,24,D
20140821,9.4,24,D
20140822,9.3,24,D
20140823,9.4,24,D
20140824,8.6,24,D
20140825,0.9,24,D
20140826,9.5,24,D
20140827,7.7,24,D
20140828,7.5,24,D
20140829,9.3,24,D
20140830,9.8,24,D
20140831,9.8,24,D
20140901,7.8,24,D
20140902,9.9,24,D
20140903,9,24,D
20140904,8.3,24,D
20140905,3.3,24,D
20140906,9.6,24,D
20140907,4.8,24,D
20140908,5.7,24,D
20140909,0,24,D
20140910,3.3,24,D
20140911,2.2,24,D
20140912,5.7,24,D
20140913,1.5,24,D
20140914,7.8,24,D
20140915,0.7,24,D
20140916,0.2,24,D
20140917,2.9,24,D
20140918,3.9,24,D
20140919,1.2,24,D
20140920,3.2,24,D
20140921,4.2,24,D
20140922,10.4,24,D
20140923,4.6,24,D
20140924,10,24,D
20140925,2.2,24,D
20140926,0.1,24,D
20140927,0,24,D
20140928,8.7,24,D
20140929,11,24,D
20140930,10.7,24,D
20141001,9.7,24,D
20141002,0.2,24,D
20141003,2.1,24,D
20141004,2.8,24,D
20141005,0.9,24,D
20141006,3.1,24,D
20141007,6.5,24,D
20141008,2.9,24,D
20141009,5.7,24,D
20141010,8.6,24,D
20141011,8.9,24,D
20141012,7.9,24,D
20141013,6.1,24,D
20141014,10.2,24,D
20141015,10.3,24,D
20141016,7.6,24,D
20141017,2.8,24,D
20141018,1.9,24,D
20141019,3.7,24,D
20141020,2.4,24,D
20141021,0,24,D
20141022,6.2,24,D
20141023,9,24,D
20141024,7.3,24,D
20141025,8.6,24,D
20141026,0,24,D
20141027,8.4,24,D
20141028,5.1,24,D
20141029,0.1,24,D
20141030,0.4,24,D
20141031,3.3,24,D
20141101,2.3,24,D
20141102,1.9,24,D
20141103,3.8,24,D
20141104,6.5,24,D
20141105,5.8,24,D
20141106,8,24,D
20141107,8.1,24,D
20141108,10.8,24,D
20141109,5.4,24,D
20141110,2.6,24,D
20141111,0.5,24,D
20141112,4.3,24,D
20141113,8.9,24,D
20141114,6.6,24,D
20141115,5,24,D
20141116,6.7,24,D
20141117,0,24,D
20141118,6.7,24,D
20141119,2,24,D
20141120,4.7,24,D
20141121,0.7,24,D
20141122,0.6,24,D
20141123,8.1,24,D
20141124,10.8,24,D
20141125,1.4,24,D
20141126,9,24,D
20141127,3,24,D
20141128,5.2,24,D
20141129,2.8,24,D
20141130,5.2,24,D
20141201,7.4,24,D
20141202,13.3,24,D
20141203,8,24,D
20141204,0.1,24,D
20141205,8.2,24,D
20141206,3.1,24,D
20141207,6.7,24,D
20141208,9,24,D
20141209,2.4,24,D
20141210,0,24,D
20141211,0.3,24,D
20141212,6.2,24,D
20141213,9.3,24,D
20141214,13.5,24,D
20141215,13.6,24,D
20141216,13.1,24,D
20141217,1.5,24,D
20141218,1.5,24,D
20141219,2.8,24,D
20141220,1.5,24,D
20141221,3.1,24,D
20141222,10.8,24,D
20141223,13.5,24,D
20141224,13.7,24,D
20141225,8.3,24,D
20141226,7.3,24,D
20141227,2.1,24,D
20141228,5.5,24,D
20141229,4.6,24,D
20141230,3.5,24,D
20141231,1.6,24,D
20150101,10.5,24,D
20150102,6,24,D
20150103,8.9,24,D
20150104,10.4,24,D
20150105,12.8,24,D
20150106,9.4,24,D
20150107,11.7,24,D
20150108,9,24,D
20150109,11.3,24,D
20150110,11.1,24,D
20150111,6.6,24,D
20150112,7.7,24,D
20150113,11.3,24,D
20150114,9,24,D
20150115,5.8,24,D
20150116,0.1,24,D
20150117,7.9,24,D
20150118,6.7,24,D
20150119,6.1,24,D
20150120,7.7,24,D
20150121,12.1,24,D
20150122,12.9,24,D
20150123,12.8,24,D
20150124,12.8,24,D
20150125,12.7,24,D
20150126,12.5,24,D
20150127,12.2,24,D
20150128,7.3,24,D
20150129,8.6,24,D
20150130,4.2,24,D
20150131,1.5,24,D
20150201,6.1,24,D
20150202,5.7,24,D
20150203,6.5,24,D
20150204,0.4,24,D
20150205,1,24,D
20150206,9.5,24,D
20150207,11.2,24,D
20150208,8.4,24,D
20150209,2.1,24,D
20150210,12.2,24,D
20150211,12.2,24,D
20150212,12.2,24,D
20150213,11.8,24,D
20150214,4.2,24,D
20150215,12,24,D
20150216,10.6,24,D
20150217,8.6,24,D
20150218,11.8,24,D
20150219,4.9,24,D
20150220,11.1,24,D
20150221,2,24,D
20150222,7.2,24,D
20150223,4.1,24,D
20150224,6.4,24,D
20150225,7.2,24,D
20150226,1.6,24,D
20150227,10.8,24,D
20150228,7.7,24,D
20150301,6.5,24,D
20150302,9.9,24,D
20150303,1.8,24,D
20150304,4.1,24,D
20150305,3.9,24,D
20150306,1.7,24,D
20150307,1.7,24,D
20150308,1.8,24,D
20150309,7.5,24,D
20150310,10.6,24,D
20150311,7.3,24,D
20150312,4.5,24,D
20150313,3.5,24,D
20150314,10.2,24,D
20150315,8.4,24,D
20150316,10.9,24,D
20150317,10.9,24,D
20150318,9.8,24,D
20150319,9.6,24,D
20150320,0.2,24,D
20150321,7,24,D
20150322,0.6,24,D
20150323,6.1,24,D
20150324,0.8,24,D
20150325,2.1,24,D
20150326,4.7,24,D
20150327,7.6,24,D
20150328,2.6,24,D
20150329,0.7,24,D
20150330,4.4,24,D
20150331,8.4,24,D
20150401,9.7,24,D
20150402,1.9,24,D
20150403,2.3,24,D
20150404,3.7,24,D
20150405,9.3,24,D
20150406,0.1,24,D
20150407,3.7,24,D
20150408,0,24,D
20150409,2.7,24,D
20150410,2.2,24,D
20150411,6.7,24,D
20150412,2,24,D
20150413,2.7,24,D
20150414,9.2,24,D
20150415,8.8,24,D
20150416,9,24,D
20150417,1,24,D
20150418,9.7,24,D
20150419,4.4,24,D
20150420,2.9,24,D
20150421,0,24,D
20150422,5.6,24,D
20150423,9.2,24,D
20150424,7.9,24,D
20150425,0.3,24,D
20150426,0,24,D
20150427,0.1,24,D
20150428,1.6,24,D
20150429,0.6,24,D
20150430,8.2,24,D
20150501,2.2,24,D
20150502,6,24,D
20150503,6.4,24,D
20150504,6,24,D
20150505,0,24,D
20150506,0,24,D
20150507,3.4,24,D
20150508,0.4,24,D
20150509,1.5,24,D
20150510,6.8,24,D
20150511,0.2,24,D
20150512,2,24,D
20150513,1.9,24,D
20150514,1,24,D
20150515,1.5,24,D
20150516,5.3,24,D
20150517,6.4,24,D
20150518,0.4,24,D
20150519,3,24,D
20150520,0.1,24,D
20150521,0.2,24,D
20150522,2.4,24,D
20150523,7.6,24,D
20150524,0.1,24,D
20150525,6.5,24,D
20150526,2.7,24,D
20150527,4,24,D
20150528,6.5,24,D
20150529,2.3,24,D
20150530,0,24,D
20150531,1.2,24,D
20150601,0.6,24,D
20150602,6.6,24,D
20150603,7,24,D
20150604,7,24,D
20150605,2.8,24,D
20150606,1.8,24,D
20150607,2.8,24,D
20150608,0.6,24,D
20150609,0.1,24,D
20150610,0.2,24,D
20150611,2.4,24,D
20150612,0.1,24,D
20150613,0,24,D
20150614,0.6,24,D
20150615,4,24,D
20150616,3.3,24,D
20150617,0,24,D
20150618,0,24,D
20150619,0,24,D
20150620,2.6,24,D
20150621,0.3,24,D
20150622,7.2,24,D
20150623,4.5,24,D
20150624,5,24,D
20150625,5.8,24,D
20150626,0.3,24,D
20150627,2.3,24,D
20150628,0.6,24,D
20150629,0,24,D
20150630,2.4,24,D
20150701,0.8,24,D
20150702,2.2,24,D
20150703,1.1,24,D
20150704,3.3,24,D
20150705,2.1,24,D
20150706,0.6,24,D
20150707,4.3,24,D
20150708,7,24,D
20150709,7,24,D
20150710,7.5,24,D
