Date(NZST),Sunshine(Hrs),Period(Hrs),Freq
20090930,9,24,D
20091001,5.2,24,D
20091002,0.3,24,D
20091003,2.4,24,D
20091004,9.3,24,D
20091005,11.5,24,D
20091006,11.5,24,D
20091007,11,24,D
20091008,0,24,D
20091009,0,24,D
20091010,11.7,24,D
20091011,11.8,24,D
20091012,8.7,24,D
20091013,7.2,24,D
20091014,0.7,24,D
20091015,9.3,24,D
20091016,0.5,24,D
20091017,2.1,24,D
20091018,7.5,24,D
20091019,2.2,24,D
20091020,10.3,24,D
20091021,0.8,24,D
20091022,8.6,24,D
20091023,11.3,24,D
20091024,8.8,24,D
20091025,6.4,24,D
20091026,4.6,24,D
20091027,12.1,24,D
20091028,8.1,24,D
20091029,8.9,24,D
20091030,10.9,24,D
20091031,12.3,24,D
20091101,2.6,24,D
20091102,0.7,24,D
20091103,9.5,24,D
20091104,2.7,24,D
20091105,4.2,24,D
20091106,11.3,24,D
20091107,2.8,24,D
20091108,7.8,24,D
20091109,7.7,24,D
20091110,1.3,24,D
20091111,5.6,24,D
20091112,9.5,24,D
20091113,4.4,24,D
20091114,4.6,24,D
20091115,1.3,24,D
20091116,2.8,24,D
20091117,7.2,24,D
20091118,12.1,24,D
20091119,3.9,24,D
20091120,0,24,D
20091121,1,24,D
20091122,6.8,24,D
20091123,2.6,24,D
20091124,9.5,24,D
20091125,5.4,24,D
20091126,6.1,24,D
20091127,5.4,24,D
20091128,5.3,24,D
20091129,11.8,24,D
20091130,0,24,D
20091201,0.8,24,D
20091202,0.8,24,D
20091203,12.8,24,D
20091204,11.3,24,D
20091205,0.6,24,D
20091206,1.4,24,D
20091207,8.8,24,D
20091208,10.7,24,D
20091209,2.8,24,D
20091210,0.6,24,D
20091211,0.2,24,D
20091212,2.1,24,D
20091213,0,24,D
20091214,6.4,24,D
20091215,9.1,24,D
20091216,2.8,24,D
20091217,7.2,24,D
20091218,7,24,D
20091219,3.1,24,D
20091220,5.8,24,D
20091221,13.5,24,D
20091222,13.1,24,D
20091223,4.4,24,D
20091224,12.8,24,D
20091225,11,24,D
20091226,1.6,24,D
20091227,1.8,24,D
20091228,9,24,D
20091229,4.6,24,D
20091230,4.3,24,D
20091231,3.3,24,D
20100101,7.4,24,D
20100102,0,24,D
20100103,1.1,24,D
20100104,2.9,24,D
20100105,9.1,24,D
20100106,2.3,24,D
20100107,0,24,D
20100108,8,24,D
20100109,3,24,D
20100110,0.3,24,D
20100111,5.9,24,D
