,Date(NZST),Pmsl(hPa),Pstn(hPa),Amount(mm),Period(min),daily_total_rainfall,daily_avg_duration,daily_min_duration,daily_max_duration,daily_median_duration,Rainfall(mm),Deficit(mm),Sunshine(Hrs),WindDir(DegT),Speed(m/s)_x,WindDir StdDev,WindSpd StdDev,Tmax(C),Tmin(C),Tgmin(C),Tmean(C),Twet(C),RH(%),Tdew(C),Dir(DegT),Speed(m/s)_y,Percent(%),soil_avg_moist,soil_min_moist,soil_max_moist,soil_median_moist
22,2019-02-27,1018.6,994.8,0.0,4884.4,1.7000000000000002,383.1714285714285,3.7,4884.4,10.15,0.0,123.0,2.0,83,0.1,0,0.2,22.2,8.3,7.5,15.3,11.0,83.0,9.6,26,10.8,26.9,26.9,26.9,26.9,26.9
23,2019-03-07,1020.8,997.1,0.0,10109.7,10.99,320.35,0.9,10109.7,6.25,0.0,129.3,3.1,131,0.3,26,0.3,23.6,13.3,11.0,18.5,13.9,94.0,13.5,53,10.8,23.5,23.5,23.5,23.5,23.5
24,2019-03-08,1017.1,993.4,1.59,7.3,14.51,15.486666666666668,1.8,33.8,15.4,26.2,103.8,3.9,157,0.8,41,0.6,22.0,13.0,12.0,17.5,13.3,94.0,12.9,312,8.2,26.0,26.0,26.0,26.0,26.0
25,2019-03-12,1017.6,994.0,0.0,5606.3,14.09,135.68823529411765,1.1,5606.3,6.5,2.2,107.7,1.5,324,0.4,33,0.4,22.4,14.9,13.7,18.7,15.0,95.0,14.6,63,6.2,27.2,27.2,27.2,27.2,27.2
26,2019-03-13,1016.0,992.6,0.0,80.3,3.71,39.171875,0.6,479.8,5.2,13.4,95.7,1.3,50,0.3,13,0.3,21.8,15.4,15.8,18.6,16.2,95.0,15.9,62,8.2,30.0,30.0,30.0,30.0,30.0
27,2019-03-14,1021.8,998.2,0.0,1236.5,2.72,79.84761904761905,2.8,1236.5,12.5,2.0,95.6,2.5,204,0.8,31,0.5,21.9,15.3,15.7,18.6,15.4,94.0,15.0,360,7.2,29.7,29.7,29.7,29.7,29.7
28,2019-03-15,1022.2,998.5,0.05,1.6,7.02,27.823529411764707,1.6,438.6,6.8,7.6,89.9,0.5,301,0.9,39,0.5,25.4,13.3,13.1,19.4,14.8,96.0,14.6,62,9.3,29.4,29.4,29.4,29.4,29.4
29,2019-03-16,1023.5,999.9,0.0,488.7,1.56,77.00909090909092,5.0,488.7,19.1,2.0,90.0,0.6,98,1.1,56,0.6,21.6,15.2,16.0,18.4,15.8,90.0,15.2,45,7.2,30.6,30.6,30.6,30.6,30.6
30,2019-03-19,1026.9,1003.1,0.0,4543.4,0.1,1516.8,1.6,4543.4,5.4,0.0,94.9,5.3,121,0.6,6,0.5,26.4,13.3,10.9,19.9,14.4,95.0,14.0,325,5.1,29.6,29.6,29.6,29.6,29.6
31,2019-03-25,1026.1,1002.4,0.0,8924.5,0.6,1287.3857142857144,2.3,8924.5,13.5,0.0,105.4,1.1,0,0.0,0,0.1,25.4,13.8,11.5,19.6,15.0,90.0,14.3,29,7.7,27.2,27.2,27.2,27.2,27.2
32,2019-03-26,1020.2,996.7,0.0,156.8,25.07,17.183333333333334,1.6,259.0,10.8,1.4,105.5,0.1,25,3.5,34,1.4,21.8,15.9,16.3,18.9,16.2,90.0,15.6,38,11.8,27.1,27.1,27.1,27.1,27.1
33,2019-03-27,1012.5,989.1,0.38,9.3,43.33,12.46883116883117,0.5,219.4,7.5,57.8,49.3,2.4,309,0.7,49,0.5,19.4,15.4,15.5,17.4,15.0,95.0,14.7,58,12.4,33.4,33.4,33.4,33.4,33.4
34,2019-03-31,1024.9,1001.1,0.0,5349.2,0.0,5349.2,5349.2,5349.2,5349.2,0.0,49.2,8.3,286,0.2,10,0.4,26.1,12.8,11.1,19.5,13.8,96.0,13.5,317,8.8,32.8,32.8,32.8,32.8,32.8
35,2019-04-01,1009.2,985.8,,1440.0,3.04,79.20344827586207,1.7,1440.0,8.9,29.6,22.2,2.0,317,1.2,35,0.5,24.8,14.1,14.0,19.5,14.9,94.0,14.4,329,14.9,32.5,32.5,32.5,32.5,32.5
36,2019-04-02,1023.4,999.1,0.0,132.4,0.76,35.12,5.2,132.4,11.6,4.4,19.3,10.3,137,1.0,44,0.9,19.9,6.4,3.2,13.2,7.5,96.0,7.2,189,6.7,36.3,36.3,36.3,36.3,36.3
37,2019-04-10,1016.0,992.3,0.0,11519.8,16.46,267.16875,0.7,11519.8,6.05,1.4,30.0,4.8,123,0.6,12,0.4,19.2,9.2,7.5,14.2,13.2,96.0,12.9,352,8.8,34.4,34.4,34.4,34.4,34.4
38,2019-04-11,1007.2,983.7,1.14,10.6,31.61,27.13018867924528,0.9,713.8,6.5,44.6,0.0,0.2,270,0.4,65,0.3,21.0,13.2,12.8,17.1,13.5,96.0,13.2,182,6.2,38.3,38.3,38.3,38.3,38.3
39,2019-04-12,1012.1,988.4,0.07,22.3,0.53,19.642857142857142,3.6,43.1,18.5,3.2,0.0,7.6,132,1.5,19,0.5,15.8,9.7,6.2,12.8,10.9,86.0,9.8,152,7.7,37.7,37.7,37.7,37.7,37.7
40,2019-04-20,1031.2,1006.8,0.0,12292.0,7.18,657.1473684210526,4.3,12292.0,10.7,0.0,12.0,0.4,353,0.5,41,0.3,19.1,7.2,3.3,13.2,8.5,96.0,8.2,15,6.2,35.3,35.3,35.3,35.3,35.3
41,2019-04-21,1023.1,999.0,0.0,525.5,20.02,31.17037037037037,1.3,525.5,10.55,23.4,0.0,3.9,62,1.0,50,0.9,14.4,8.5,9.6,11.5,9.9,94.0,9.5,162,6.2,36.6,36.6,36.6,36.6,36.6
42,2019-04-22,1025.9,1001.7,0.0,131.7,0.1,71.14999999999999,10.6,131.7,71.14999999999999,3.8,0.0,5.8,212,0.5,68,0.5,16.8,9.1,7.2,13.0,9.9,96.0,9.6,266,5.1,38.7,38.7,38.7,38.7,38.7
43,2019-04-24,1023.8,999.4,0.0,3316.7,-0.1,1688.35,60.0,3316.7,1688.35,0.0,3.0,4.2,102,0.8,14,0.6,21.2,6.4,3.9,13.8,7.3,96.0,7.0,119,4.1,37.0,37.0,37.0,37.0,37.0
44,2019-04-27,1011.5,988.1,0.0,3812.3,30.12,49.07830188679245,1.0,3812.3,6.15,4.8,2.7,0.0,26,2.1,36,1.0,19.9,9.2,4.6,14.6,14.7,91.0,14.0,39,9.8,36.2,36.2,36.2,36.2,36.2
45,2019-04-28,1014.3,990.3,0.0,242.4,11.49,32.291111111111114,2.3,715.2,8.5,26.0,0.0,5.0,72,0.3,28,0.4,17.2,7.0,3.8,12.1,8.5,97.0,8.3,38,11.3,40.0,40.0,40.0,40.0,40.0
46,2019-04-29,999.3,975.8,0.0,5.8,18.19,10.679710144927537,1.1,88.8,5.7,26.8,0.0,3.1,24,1.1,38,0.7,16.4,8.6,9.6,12.5,10.0,92.0,9.4,55,11.8,41.4,41.4,41.4,41.4,41.4
47,2019-05-02,1029.8,1005.3,0.0,4597.7,0.9,434.5,2.0,4597.7,14.2,0.0,2.1,0.0,324,0.3,23,0.4,16.2,1.9,3.4,9.1,6.6,92.0,5.9,124,5.1,37.8,37.8,37.8,37.8,37.8
48,2019-05-08,1027.9,1003.5,0.0,8800.8,0.45,1777.08,9.3,8800.8,22.8,0.0,4.9,0.1,326,0.2,17,0.4,20.1,5.7,2.7,12.9,8.2,97.0,8.0,104,4.1,37.2,37.2,37.2,37.2,37.2
49,2019-05-09,1023.1,999.2,0.49,22.1,14.88,25.71372549019608,0.7,319.1,7.8,1.4,4.2,0.0,14,0.3,60,0.4,14.6,8.4,9.8,11.5,12.6,96.0,12.3,61,7.7,37.4,37.4,37.4,37.4,37.4
50,2019-05-10,1022.3,998.4,0.0,175.2,-0.1299999999999999,36.14,0.3,175.2,5.25,21.4,0.0,5.5,79,0.2,42,0.4,16.6,11.5,9.8,14.1,12.0,97.0,11.8,66,4.6,41.0,41.0,41.0,41.0,41.0
51,2019-05-12,1012.5,988.7,0.0,3035.8,-12.88,265.71333333333337,1.4,3035.8,52.3,0.0,1.2,0.0,283,0.5,24,0.5,17.4,9.8,5.2,13.6,10.7,94.0,10.3,33,8.2,38.3,38.3,38.3,38.3,38.3
52,2019-05-13,1014.1,990.1,-3.4,189.6,1.9799999999999995,20.885714285714283,0.6,189.6,1.8,32.2,0.0,2.7,157,1.4,57,1.0,14.5,7.3,3.7,10.9,8.5,93.0,7.9,184,8.8,43.2,43.2,43.2,43.2,43.2
53,2019-05-14,1027.2,1002.8,0.0,1360.5,-2.0,86.51724137931035,0.5,1360.5,5.2,0.6,0.0,2.0,351,0.7,21,0.4,16.1,7.9,6.4,12.0,8.2,97.0,8.0,2,7.7,39.9,39.9,39.9,39.9,39.9
54,2019-05-15,1016.2,992.2,0.0,233.9,-2.2,133.67272727272726,6.4,417.6,34.8,14.0,0.0,1.0,7,0.4,35,0.3,15.4,8.4,8.5,11.9,9.3,96.0,9.0,317,4.1,43.8,43.8,43.8,43.8,43.8
55,2019-05-16,1014.8,990.7,-0.4,22.6,-7.9,39.01891891891892,1.3,251.1,22.6,7.6,0.0,0.0,113,0.7,47,0.5,13.3,8.0,5.7,10.7,8.3,96.0,8.0,148,6.2,40.3,40.3,40.3,40.3,40.3
56,2019-05-17,1022.4,998.0,0.0,1082.6,0.0,1082.6,1082.6,1082.6,1082.6,13.4,0.0,7.3,128,1.2,39,0.8,11.0,5.2,1.0,8.1,5.4,86.0,4.2,125,4.6,42.2,42.2,42.2,42.2,42.2
57,2019-05-18,1024.1,999.6,-1.5,900.0,-5.58,81.49090909090908,1.7,900.0,22.5,0.0,0.6,0.3,336,0.8,22,0.5,14.0,4.5,1.9,9.3,5.6,97.0,5.4,359,4.1,39.9,39.9,39.9,39.9,39.9
58,2019-05-19,1016.7,992.7,-2.8,58.4,-3.88,173.4,1.6,1042.5,48.55,13.6,0.0,1.4,173,0.5,18,0.5,13.4,5.8,7.4,9.6,9.0,94.0,8.5,178,7.2,40.2,40.2,40.2,40.2,40.2
59,2019-05-20,1024.5,1000.1,-1.0,600.0,-1.0,660.0,600.0,720.0,660.0,0.8,0.0,4.4,336,0.6,22,0.5,12.5,6.9,4.6,9.7,6.8,96.0,6.5,192,6.2,40.3,40.3,40.3,40.3,40.3
60,2019-05-21,1028.0,1003.4,-1.2,720.0,-1.2,720.0,720.0,720.0,720.0,0.0,0.6,5.3,333,0.7,16,0.4,14.4,5.7,1.6,10.1,5.8,96.0,5.4,243,5.1,39.5,39.5,39.5,39.5,39.5
61,2019-05-22,1029.0,1004.4,-1.2,720.0,-1.2,780.0,720.0,840.0,780.0,0.0,1.2,3.0,118,1.2,17,0.6,15.2,4.8,2.6,10.0,5.4,90.0,4.5,133,4.6,39.1,39.1,39.1,39.1,39.1
62,2019-05-23,1028.5,1004.1,-1.0,600.0,-1.0,600.0,600.0,600.0,600.0,0.0,1.8,4.7,139,2.0,17,0.9,14.2,6.0,2.7,10.1,8.2,94.0,7.7,229,4.6,38.8,38.8,38.8,38.8,38.8
63,2019-05-24,1031.3,1006.8,-1.4,840.0,-1.4,840.0,840.0,840.0,840.0,0.0,2.4,4.9,127,3.1,14,0.7,15.9,6.7,2.7,11.3,6.8,89.0,5.9,182,5.7,38.7,38.7,38.7,38.7,38.7
64,2019-05-25,1028.1,1003.6,0.0,1299.8,-1.0,720.0,140.2,1299.8,720.0,0.6,2.4,1.6,303,0.2,2,0.3,15.6,7.1,2.8,11.4,7.4,96.0,7.1,125,3.6,38.5,38.5,38.5,38.5,38.5
65,2019-05-26,1024.1,999.6,0.0,1140.0,-0.5,720.0,300.0,1140.0,720.0,0.2,2.8,2.4,292,0.4,36,0.4,13.2,6.0,5.2,9.6,6.2,97.0,6.0,13,3.6,38.7,38.7,38.7,38.7,38.7
66,2019-05-27,1016.8,992.8,0.0,1200.0,-3.85,465.52,1.7,1200.0,240.0,0.2,3.2,1.1,242,0.4,71,0.4,15.3,6.4,3.6,10.9,9.4,98.0,9.2,49,8.2,38.7,38.7,38.7,38.7,38.7
67,2019-05-28,1006.0,982.4,-1.4,21.6,-5.15,13.266666666666666,0.4,300.5,3.4,33.2,0.0,0.0,76,1.3,38,0.6,15.6,9.5,10.9,12.6,11.3,94.0,10.9,54,9.3,38.6,38.6,38.6,38.6,38.6
68,2019-05-29,1009.1,985.2,-2.4,97.9,-8.51,41.60857142857143,0.9,539.3,3.8,47.0,0.0,0.0,89,0.3,46,0.3,13.4,7.3,3.6,10.4,8.5,97.0,8.3,70,12.9,51.3,51.3,51.3,51.3,51.3
69,2019-05-30,1005.5,982.1,-0.4,6.6,-17.490000000000002,26.298148148148147,0.4,426.6,3.1,32.0,0.0,0.0,59,4.0,26,1.6,13.8,8.7,10.2,11.3,12.6,90.0,11.9,49,12.9,46.3,46.3,46.3,46.3,46.3
70,2019-05-31,997.6,973.9,0.0,103.8,2.95,24.625,1.5,271.8,5.9,29.4,0.0,0.2,80,0.2,12,0.3,14.3,7.4,5.6,10.9,7.8,96.0,7.5,72,6.7,46.6,46.6,46.6,46.6,46.6
71,2019-06-01,992.8,968.9,0.0,108.5,-0.5499999999999999,48.95,3.6,138.1,18.9,32.0,0.0,0.5,250,0.2,36,0.3,10.7,4.0,1.0,7.4,4.5,96.0,4.1,44,6.7,46.4,46.4,46.4,46.4,46.4
72,2019-06-02,1008.9,984.3,0.0,1530.5,-0.4,885.25,240.0,1530.5,885.25,0.0,0.6,7.2,125,2.3,16,0.8,9.3,0.4,-2.5,4.9,0.6,91.0,-0.2,248,6.2,41.5,41.5,41.5,41.5,41.5
73,2019-06-03,1019.7,994.5,0.0,918.1,40.08,58.50322580645161,0.4,918.1,3.3,0.0,1.1,2.0,0,0.0,0,0.0,11.3,-3.7,-6.1,3.8,-2.6,98.0,-2.9,128,4.1,41.0,41.0,41.0,41.0,41.0
74,2019-06-04,1011.0,986.7,0.0,1010.7,-3.88,75.30909090909091,1.4,1010.7,9.6,0.0,1.7,0.0,58,0.1,33,0.3,6.7,-2.7,-2.6,2.0,4.7,97.0,4.5,113,6.7,40.7,40.7,40.7,40.7,40.7
75,2019-06-06,1005.6,980.9,0.0,2524.3,3.61,105.75172413793103,0.4,2524.3,11.1,0.0,0.6,0.2,347,0.4,18,0.4,8.1,-2.7,-5.2,2.7,-1.5,98.0,-1.7,57,9.3,42.0,42.0,42.0,42.0,42.0
76,2019-06-07,1009.6,985.0,-0.8,161.0,-0.44,188.4375,5.4,1260.9,14.0,15.6,0.0,6.6,145,1.0,52,1.0,9.4,-1.5,-1.9,4.0,0.6,98.0,0.4,128,4.6,48.2,48.2,48.2,48.2,48.2
77,2019-06-08,1010.0,985.8,0.0,61.4,-6.470000000000001,42.65,1.4,221.6,15.7,8.6,0.0,1.6,321,0.2,57,0.4,10.4,0.6,0.0,5.5,6.0,97.0,5.8,108,4.1,42.8,42.8,42.8,42.8,42.8
78,2019-06-11,1020.0,995.6,0.0,4553.5,0.77,612.55,17.1,4553.5,58.4,0.0,1.1,0.0,2,0.3,17,0.4,11.1,5.1,5.3,8.1,6.1,98.0,5.9,297,3.1,41.5,41.5,41.5,41.5,41.5
79,2019-06-14,1013.5,989.3,0.0,2102.9,-0.1,1081.45,60.0,2102.9,1081.45,0.0,0.6,2.9,322,0.1,16,0.3,16.466382070437568,7.442857142857142,5.4,11.984193548387095,6.8,100.0,6.8,110,3.1,41.4,41.4,41.4,41.4,41.4
80,2019-06-15,1009.3,985.4,0.0,2023.6,1.04,182.78571428571428,1.0,2023.6,9.95,0.0,1.1,1.1,301,0.4,69,0.4,16.466382070437568,7.442857142857142,6.2,11.984193548387095,8.6,100.0,8.6,136,5.1,40.6,40.6,40.6,40.6,40.6
81,2019-06-16,1011.6,987.5,0.0,20.3,16.4,17.351219512195122,2.1,177.5,9.5,5.6,0.0,1.2,336,0.6,73,0.5,16.466382070437568,7.442857142857142,2.3,11.984193548387095,7.2,100.0,7.2,232,7.2,40.2,40.2,40.2,40.2,40.2
