Timestamp,UTC Offset,Multiple Gauge Rainfall Recency Alarm (on/off),Quality,Rainfall (mm),Quality,Rainfall (Accumulated) (mm),Quality
2022-10-29 01:00:00,13,,No data available,10,No quality or non-verified,248,Automated Process or Synthetic
2022-10-30 01:00:00,13,,No data available,70,No quality or non-verified,318,Automated Process or Synthetic
2022-10-31 01:00:00,13,,No data available,,No data available,318,Automated Process or Synthetic
2022-11-01 01:00:00,13,,No data available,,No data available,318,Automated Process or Synthetic
2022-11-02 01:00:00,13,,No data available,,No data available,318,Automated Process or Synthetic
2022-11-03 01:00:00,13,,No data available,1,No quality or non-verified,319,Automated Process or Synthetic
2022-11-04 01:00:00,13,,No data available,,No data available,319,Automated Process or Synthetic
2022-11-05 01:00:00,13,,No data available,,No data available,319,Automated Process or Synthetic
2022-11-06 01:00:00,13,,No data available,,No data available,319,Automated Process or Synthetic
2022-11-07 01:00:00,13,,No data available,2.5,No quality or non-verified,321.5,Automated Process or Synthetic
2022-11-08 01:00:00,13,,No data available,14,No quality or non-verified,335.5,Automated Process or Synthetic
2022-11-09 01:00:00,13,,No data available,2,No quality or non-verified,337.5,Automated Process or Synthetic
2022-11-10 01:00:00,13,,No data available,8.5,No quality or non-verified,346,Automated Process or Synthetic
2022-11-11 01:00:00,13,,No data available,26,No quality or non-verified,372,Automated Process or Synthetic
2022-11-12 01:00:00,13,,No data available,,No data available,372,Automated Process or Synthetic
2022-11-13 01:00:00,13,,No data available,1,No quality or non-verified,373,Automated Process or Synthetic
2022-11-14 01:00:00,13,,No data available,,No data available,373,Automated Process or Synthetic
2022-11-15 01:00:00,13,,No data available,,No data available,373,Automated Process or Synthetic
2022-11-16 01:00:00,13,,No data available,,No data available,373,Automated Process or Synthetic
2022-11-17 01:00:00,13,,No data available,20,No quality or non-verified,393,Automated Process or Synthetic
2022-11-18 01:00:00,13,,No data available,12,No quality or non-verified,405,Automated Process or Synthetic
2022-11-19 01:00:00,13,,No data available,19.5,No quality or non-verified,424.5,Automated Process or Synthetic
2022-11-20 01:00:00,13,,No data available,9,No quality or non-verified,433.5,Automated Process or Synthetic
2022-11-21 01:00:00,13,,No data available,1,No quality or non-verified,434.5,Automated Process or Synthetic
2022-11-22 01:00:00,13,,No data available,8.5,No quality or non-verified,443,Automated Process or Synthetic
2022-11-23 01:00:00,13,,No data available,4.5,No quality or non-verified,447.5,Automated Process or Synthetic
2022-11-24 01:00:00,13,,No data available,20.5,No quality or non-verified,468,Automated Process or Synthetic
2022-11-25 01:00:00,13,,No data available,2,No quality or non-verified,470,Automated Process or Synthetic
2022-11-26 01:00:00,13,,No data available,,No data available,470,Automated Process or Synthetic
2022-11-27 01:00:00,13,,No data available,11.5,No quality or non-verified,481.5,Automated Process or Synthetic
2022-11-28 01:00:00,13,,No data available,,No data available,481.5,Automated Process or Synthetic
2022-11-29 01:00:00,13,,No data available,3,No quality or non-verified,484.5,Automated Process or Synthetic
2022-11-30 01:00:00,13,,No data available,7,No quality or non-verified,491.5,Automated Process or Synthetic
2022-12-01 01:00:00,13,,No data available,0.5,No quality or non-verified,492,Automated Process or Synthetic
2022-12-02 01:00:00,13,,No data available,,No data available,492,Automated Process or Synthetic
2022-12-03 01:00:00,13,,No data available,3,No quality or non-verified,495,Automated Process or Synthetic
2022-12-04 01:00:00,13,,No data available,,No data available,495,Automated Process or Synthetic
2022-12-05 01:00:00,13,,No data available,,No data available,495,Automated Process or Synthetic
2022-12-06 01:00:00,13,,No data available,4,No quality or non-verified,499,Automated Process or Synthetic
2022-12-07 01:00:00,13,,No data available,11.5,No quality or non-verified,510.5,Automated Process or Synthetic
2022-12-08 01:00:00,13,,No data available,,No data available,510.5,Automated Process or Synthetic
2022-12-09 01:00:00,13,,No data available,1.5,No quality or non-verified,512,Automated Process or Synthetic
2022-12-10 01:00:00,13,,No data available,19.5,No quality or non-verified,531.5,Automated Process or Synthetic
2022-12-11 01:00:00,13,,No data available,16,No quality or non-verified,547.5,Automated Process or Synthetic
2022-12-12 01:00:00,13,,No data available,,No data available,547.5,Automated Process or Synthetic
2022-12-13 01:00:00,13,,No data available,,No data available,547.5,Automated Process or Synthetic
2022-12-14 01:00:00,13,,No data available,11.5,No quality or non-verified,559,Automated Process or Synthetic
2022-12-15 01:00:00,13,,No data available,3.5,No quality or non-verified,562.5,Automated Process or Synthetic
2022-12-16 01:00:00,13,,No data available,1,No quality or non-verified,563.5,Automated Process or Synthetic
2022-12-17 01:00:00,13,,No data available,12.5,No quality or non-verified,576,Automated Process or Synthetic
2022-12-18 01:00:00,13,,No data available,2,No quality or non-verified,578,Automated Process or Synthetic
2022-12-19 01:00:00,13,,No data available,12,No quality or non-verified,590,Automated Process or Synthetic
2022-12-20 01:00:00,13,,No data available,0.5,No quality or non-verified,590.5,Automated Process or Synthetic
2022-12-21 01:00:00,13,,No data available,,No data available,590.5,Automated Process or Synthetic
2022-12-22 01:00:00,13,,No data available,,No data available,590.5,Automated Process or Synthetic
2022-12-23 01:00:00,13,,No data available,,No data available,590.5,Automated Process or Synthetic
2022-12-24 01:00:00,13,,No data available,,No data available,590.5,Automated Process or Synthetic
2022-12-25 01:00:00,13,,No data available,,No data available,590.5,Automated Process or Synthetic
2022-12-26 01:00:00,13,,No data available,12,No quality or non-verified,602.5,Automated Process or Synthetic
2022-12-27 01:00:00,13,,No data available,0.5,No quality or non-verified,603,Automated Process or Synthetic
2022-12-28 01:00:00,13,,No data available,,No data available,603,Automated Process or Synthetic
2022-12-29 01:00:00,13,,No data available,,No data available,603,Automated Process or Synthetic
2022-12-30 01:00:00,13,,No data available,,No data available,603,Automated Process or Synthetic
2022-12-31 01:00:00,13,,No data available,,No data available,603,Automated Process or Synthetic
2023-01-01 01:00:00,13,0,Automated Process or Synthetic,,No data available,603,Automated Process or Synthetic
2023-01-02 01:00:00,13,0,Automated Process or Synthetic,,No data available,603,Automated Process or Synthetic
2023-01-03 01:00:00,13,0,Automated Process or Synthetic,0.5,No quality or non-verified,603.5,Automated Process or Synthetic
2023-01-04 01:00:00,13,0,Automated Process or Synthetic,22.5,No quality or non-verified,626,Automated Process or Synthetic
2023-01-05 01:00:00,13,0,Automated Process or Synthetic,12,No quality or non-verified,638,Automated Process or Synthetic
2023-01-06 01:00:00,13,0,Automated Process or Synthetic,15.5,No quality or non-verified,653.5,Automated Process or Synthetic
2023-01-07 01:00:00,13,0,Automated Process or Synthetic,12.5,No quality or non-verified,666,Automated Process or Synthetic
2023-01-08 01:00:00,13,0,Automated Process or Synthetic,6,No quality or non-verified,672,Automated Process or Synthetic
2023-01-09 01:00:00,13,0,Automated Process or Synthetic,5.5,No quality or non-verified,677.5,Automated Process or Synthetic
2023-01-10 01:00:00,13,0,Automated Process or Synthetic,21.5,No quality or non-verified,699,Automated Process or Synthetic
2023-01-11 01:00:00,13,0,Automated Process or Synthetic,4,No quality or non-verified,703,Automated Process or Synthetic
2023-01-12 01:00:00,13,0,Automated Process or Synthetic,3,No quality or non-verified,706,Automated Process or Synthetic
2023-01-13 01:00:00,13,0,Automated Process or Synthetic,,No data available,706,Automated Process or Synthetic
2023-01-14 01:00:00,13,0,Automated Process or Synthetic,5,No quality or non-verified,711,Automated Process or Synthetic
2023-01-15 01:00:00,13,0,Automated Process or Synthetic,,No data available,711,Automated Process or Synthetic
2023-01-16 01:00:00,13,0,Automated Process or Synthetic,5,No quality or non-verified,716,Automated Process or Synthetic
2023-01-17 01:00:00,13,0,Automated Process or Synthetic,5,No quality or non-verified,721,Automated Process or Synthetic
2023-01-18 01:00:00,13,0,Automated Process or Synthetic,0.5,No quality or non-verified,721.5,Automated Process or Synthetic
2023-01-19 01:00:00,13,0,Automated Process or Synthetic,,No data available,721.5,Automated Process or Synthetic
2023-01-20 01:00:00,13,0,Automated Process or Synthetic,,No data available,721.5,Automated Process or Synthetic
2023-01-21 01:00:00,13,0,Automated Process or Synthetic,,No data available,721.5,Automated Process or Synthetic
2023-01-22 01:00:00,13,0,Automated Process or Synthetic,,No data available,721.5,Automated Process or Synthetic
2023-01-23 01:00:00,13,0,Automated Process or Synthetic,,No data available,721.5,Automated Process or Synthetic
2023-01-24 01:00:00,13,0,Automated Process or Synthetic,,No data available,721.5,Automated Process or Synthetic
2023-01-25 01:00:00,13,0,Automated Process or Synthetic,,No data available,721.5,Automated Process or Synthetic
2023-01-26 01:00:00,13,0,Automated Process or Synthetic,,No data available,721.5,Automated Process or Synthetic
2023-01-27 01:00:00,13,0,Automated Process or Synthetic,280.5,No quality or non-verified,1002,Automated Process or Synthetic
2023-01-28 01:00:00,13,0,Automated Process or Synthetic,20.5,No quality or non-verified,1022.5,Automated Process or Synthetic
2023-01-29 01:00:00,13,0,Automated Process or Synthetic,12.5,No quality or non-verified,1035,Automated Process or Synthetic
2023-01-30 01:00:00,13,0,Automated Process or Synthetic,12.5,No quality or non-verified,1047.5,Automated Process or Synthetic
2023-01-31 01:00:00,13,0,Automated Process or Synthetic,16.5,No quality or non-verified,1064,Automated Process or Synthetic
2023-02-01 01:00:00,13,0,Automated Process or Synthetic,77.5,No quality or non-verified,1141.5,Automated Process or Synthetic
2023-02-02 01:00:00,13,0,Automated Process or Synthetic,1.5,No quality or non-verified,1143,Automated Process or Synthetic
2023-02-03 01:00:00,13,0,Automated Process or Synthetic,10,No quality or non-verified,1153,Automated Process or Synthetic
2023-02-04 01:00:00,13,0,Automated Process or Synthetic,,No data available,1153,Automated Process or Synthetic
2023-02-05 01:00:00,13,0,Automated Process or Synthetic,4,No quality or non-verified,1157,Automated Process or Synthetic
2023-02-06 01:00:00,13,0,Automated Process or Synthetic,6,No quality or non-verified,1163,Automated Process or Synthetic
2023-02-07 01:00:00,13,0,Automated Process or Synthetic,,No data available,1163,Automated Process or Synthetic
2023-02-08 01:00:00,13,0,Automated Process or Synthetic,,No data available,1163,Automated Process or Synthetic
2023-02-09 01:00:00,13,0,Automated Process or Synthetic,,No data available,1163,Automated Process or Synthetic
2023-02-10 01:00:00,13,0,Automated Process or Synthetic,,No data available,1163,Automated Process or Synthetic
2023-02-11 01:00:00,13,0,Automated Process or Synthetic,1,No quality or non-verified,1164,Automated Process or Synthetic
2023-02-12 01:00:00,13,0,Automated Process or Synthetic,16.5,No quality or non-verified,1180.5,Automated Process or Synthetic
2023-02-13 01:00:00,13,0,Automated Process or Synthetic,95,No quality or non-verified,1275.5,Automated Process or Synthetic
2023-02-14 01:00:00,13,0,Automated Process or Synthetic,44.5,No quality or non-verified,1320,Automated Process or Synthetic
2023-02-15 01:00:00,13,0,Automated Process or Synthetic,,No data available,1320,Automated Process or Synthetic
2023-02-16 01:00:00,13,0,Automated Process or Synthetic,0.5,No quality or non-verified,1320.5,Automated Process or Synthetic
2023-02-17 01:00:00,13,0,Automated Process or Synthetic,,No data available,1320.5,Automated Process or Synthetic
2023-02-18 01:00:00,13,0,Automated Process or Synthetic,,No data available,1320.5,Automated Process or Synthetic
2023-02-19 01:00:00,13,0,Automated Process or Synthetic,,No data available,1320.5,Automated Process or Synthetic
2023-02-20 01:00:00,13,0,Automated Process or Synthetic,,No data available,1320.5,Automated Process or Synthetic
2023-02-21 01:00:00,13,0,Automated Process or Synthetic,,No data available,1320.5,Automated Process or Synthetic
