Timestamp,UTC Offset,Multiple Gauge Rainfall Recency Alarm (on/off),Quality,Rainfall (mm),Quality,Rainfall (Accumulated) (mm),Quality
2023-05-25 00:00:00,12,0,Automated Process or Synthetic,,No data available,1760,Automated Process or Synthetic
2023-05-26 00:00:00,12,0,Automated Process or Synthetic,,No data available,1760,Automated Process or Synthetic
2023-05-27 00:00:00,12,0,Automated Process or Synthetic,1.5,No quality or non-verified,1761.5,Automated Process or Synthetic
2023-05-28 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1762,Automated Process or Synthetic
2023-05-29 00:00:00,12,0,Automated Process or Synthetic,11,No quality or non-verified,1773,Automated Process or Synthetic
2023-05-30 00:00:00,12,0,Automated Process or Synthetic,,No data available,1773,Automated Process or Synthetic
2023-05-31 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1773.5,Automated Process or Synthetic
2023-06-01 00:00:00,12,0,Automated Process or Synthetic,,No data available,1773.5,Automated Process or Synthetic
2023-06-02 00:00:00,12,0,Automated Process or Synthetic,5,No quality or non-verified,1778.5,Automated Process or Synthetic
2023-06-03 00:00:00,12,0,Automated Process or Synthetic,,No data available,1778.5,Automated Process or Synthetic
2023-06-04 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1779,Automated Process or Synthetic
2023-06-05 00:00:00,12,0,Automated Process or Synthetic,2.5,No quality or non-verified,1781.5,Automated Process or Synthetic
2023-06-06 00:00:00,12,0,Automated Process or Synthetic,5,No quality or non-verified,1786.5,Automated Process or Synthetic
2023-06-07 00:00:00,12,0,Automated Process or Synthetic,,No data available,1786.5,Automated Process or Synthetic
2023-06-08 00:00:00,12,0,Automated Process or Synthetic,,No data available,1786.5,Automated Process or Synthetic
2023-06-09 00:00:00,12,0,Automated Process or Synthetic,,No data available,1786.5,Automated Process or Synthetic
2023-06-10 00:00:00,12,0,Automated Process or Synthetic,,No data available,1786.5,Automated Process or Synthetic
2023-06-11 00:00:00,12,0,Automated Process or Synthetic,,No data available,1786.5,Automated Process or Synthetic
2023-06-12 00:00:00,12,0,Automated Process or Synthetic,,No data available,1786.5,Automated Process or Synthetic
2023-06-13 00:00:00,12,0,Automated Process or Synthetic,,No data available,1786.5,Automated Process or Synthetic
2023-06-14 00:00:00,12,0,Automated Process or Synthetic,,No data available,1786.5,Automated Process or Synthetic
2023-06-15 00:00:00,12,0,Automated Process or Synthetic,2.5,No quality or non-verified,1789,Automated Process or Synthetic
2023-06-16 00:00:00,12,0,Automated Process or Synthetic,21.5,No quality or non-verified,1810.5,Automated Process or Synthetic
2023-06-17 00:00:00,12,0,Automated Process or Synthetic,5,No quality or non-verified,1815.5,Automated Process or Synthetic
2023-06-18 00:00:00,12,0,Automated Process or Synthetic,8.5,No quality or non-verified,1824,Automated Process or Synthetic
2023-06-19 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1824.5,Automated Process or Synthetic
2023-06-20 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1825,Automated Process or Synthetic
2023-06-21 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1825.5,Automated Process or Synthetic
2023-06-22 00:00:00,12,0,Automated Process or Synthetic,32.5,No quality or non-verified,1858,Automated Process or Synthetic
2023-06-23 00:00:00,12,0,Automated Process or Synthetic,9.5,No quality or non-verified,1867.5,Automated Process or Synthetic
2023-06-24 00:00:00,12,0,Automated Process or Synthetic,5,No quality or non-verified,1872.5,Automated Process or Synthetic
2023-06-25 00:00:00,12,0,Automated Process or Synthetic,1,No quality or non-verified,1873.5,Automated Process or Synthetic
2023-06-26 00:00:00,12,0,Automated Process or Synthetic,16,No quality or non-verified,1889.5,Automated Process or Synthetic
2023-06-27 00:00:00,12,0,Automated Process or Synthetic,9.5,No quality or non-verified,1899,Automated Process or Synthetic
2023-06-28 00:00:00,12,0,Automated Process or Synthetic,1,No quality or non-verified,1900,Automated Process or Synthetic
2023-06-29 00:00:00,12,0,Automated Process or Synthetic,7.5,No quality or non-verified,1907.5,Automated Process or Synthetic
2023-06-30 00:00:00,12,0,Automated Process or Synthetic,26.5,No quality or non-verified,1934,Automated Process or Synthetic
2023-07-01 00:00:00,12,0,Automated Process or Synthetic,6,No quality or non-verified,1940,Automated Process or Synthetic
2023-07-02 00:00:00,12,0,Automated Process or Synthetic,9.5,No quality or non-verified,1949.5,Automated Process or Synthetic
2023-07-03 00:00:00,12,0,Automated Process or Synthetic,6,No quality or non-verified,1955.5,Automated Process or Synthetic
2023-07-04 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1956,Automated Process or Synthetic
2023-07-05 00:00:00,12,0,Automated Process or Synthetic,,No data available,1956,Automated Process or Synthetic
2023-07-06 00:00:00,12,0,Automated Process or Synthetic,,No data available,1956,Automated Process or Synthetic
2023-07-07 00:00:00,12,0,Automated Process or Synthetic,18.5,No quality or non-verified,1974.5,Automated Process or Synthetic
2023-07-08 00:00:00,12,0,Automated Process or Synthetic,4.5,No quality or non-verified,1979,Automated Process or Synthetic
2023-07-09 00:00:00,12,0,Automated Process or Synthetic,1,No quality or non-verified,1980,Automated Process or Synthetic
2023-07-10 00:00:00,12,0,Automated Process or Synthetic,6.5,No quality or non-verified,1986.5,Automated Process or Synthetic
2023-07-11 00:00:00,12,0,Automated Process or Synthetic,3.5,No quality or non-verified,1990,Automated Process or Synthetic
2023-07-12 00:00:00,12,0,Automated Process or Synthetic,4.5,No quality or non-verified,1994.5,Automated Process or Synthetic
2023-07-13 00:00:00,12,0,Automated Process or Synthetic,1.5,No quality or non-verified,1996,Automated Process or Synthetic
2023-07-14 00:00:00,12,0,Automated Process or Synthetic,2,No quality or non-verified,1998,Automated Process or Synthetic
2023-07-15 00:00:00,12,0,Automated Process or Synthetic,,No data available,1998,Automated Process or Synthetic
2023-07-16 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1998.5,Automated Process or Synthetic
2023-07-17 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1999,Automated Process or Synthetic
2023-07-18 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1999.5,Automated Process or Synthetic
2023-07-19 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,2000,Automated Process or Synthetic
2023-07-20 00:00:00,12,0,Automated Process or Synthetic,6,No quality or non-verified,2006,Automated Process or Synthetic
2023-07-21 00:00:00,12,0,Automated Process or Synthetic,57,No quality or non-verified,2063,Automated Process or Synthetic
2023-07-22 00:00:00,12,0,Automated Process or Synthetic,,No data available,2063,Automated Process or Synthetic
2023-07-23 00:00:00,12,0,Automated Process or Synthetic,,No data available,2063,Automated Process or Synthetic
2023-07-24 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,2063.5,Automated Process or Synthetic
2023-07-25 00:00:00,12,0,Automated Process or Synthetic,2,No quality or non-verified,2065.5,Automated Process or Synthetic
2023-07-26 00:00:00,12,0,Automated Process or Synthetic,10,No quality or non-verified,2075.5,Automated Process or Synthetic
2023-07-27 00:00:00,12,0,Automated Process or Synthetic,9.5,No quality or non-verified,2085,Automated Process or Synthetic
2023-07-28 00:00:00,12,2,Ok,3,No quality or non-verified,2088,Automated Process or Synthetic
2023-07-29 00:00:00,12,,No data available,,No data available,2088,Automated Process or Synthetic
2023-07-30 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,2088.5,Automated Process or Synthetic
2023-07-31 00:00:00,12,0,Automated Process or Synthetic,,No data available,2088.5,Automated Process or Synthetic
2023-08-01 00:00:00,12,0,Automated Process or Synthetic,,No data available,2088.5,Automated Process or Synthetic
2023-08-02 00:00:00,12,0,Automated Process or Synthetic,17,No quality or non-verified,2105.5,Automated Process or Synthetic
2023-08-03 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,2106,Automated Process or Synthetic
2023-08-04 00:00:00,12,,No data available,,No data available,2106,Automated Process or Synthetic
2023-08-05 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,2106.5,Automated Process or Synthetic
2023-08-06 00:00:00,12,0,Automated Process or Synthetic,,No data available,2106.5,Automated Process or Synthetic
2023-08-07 00:00:00,12,0,Automated Process or Synthetic,,No data available,2106.5,Automated Process or Synthetic
2023-08-08 00:00:00,12,0,Automated Process or Synthetic,2.5,No quality or non-verified,2109,Automated Process or Synthetic
2023-08-09 00:00:00,12,0,Automated Process or Synthetic,2,No quality or non-verified,2111,Automated Process or Synthetic
2023-08-10 00:00:00,12,0,Automated Process or Synthetic,4,No quality or non-verified,2115,Automated Process or Synthetic
2023-08-11 00:00:00,12,,No data available,,No data available,2115,Automated Process or Synthetic
2023-08-12 00:00:00,12,,No data available,0.5,No quality or non-verified,2115.5,Automated Process or Synthetic
2023-08-13 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,2116,Automated Process or Synthetic
2023-08-14 00:00:00,12,0,Automated Process or Synthetic,6,No quality or non-verified,2122,Automated Process or Synthetic
2023-08-15 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,2122.5,Automated Process or Synthetic
2023-08-16 00:00:00,12,0,Automated Process or Synthetic,3,No quality or non-verified,2125.5,Automated Process or Synthetic
2023-08-17 00:00:00,12,0,Automated Process or Synthetic,3,No quality or non-verified,2128.5,Automated Process or Synthetic
2023-08-18 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,2129,Automated Process or Synthetic
