,Date(NZST),Amount(mm),Deficit(mm),Runoff(mm),Period(Hrs),Freq
1375,20121007:0800,14.4,0.0,12.3,24,0.0
1376,20121008:0800,13.6,0.0,11.5,24,0.0
1377,20121009:0800,46.8,0.0,44.7,24,0.0
1378,20121010:0800,11.0,0.0,8.9,24,0.0
1379,20121011:0800,3.6,0.0,1.5,24,0.0
1380,20121012:0800,0.2,1.9,0.0,24,0.0
1381,20121013:0800,35.2,0.0,31.1,24,0.0
1382,20121014:0800,31.8,0.0,29.7,24,0.0
1383,20121015:0800,3.4,0.0,1.3,24,0.0
1384,20121016:0800,4.4,0.0,2.3,24,0.0
1385,20121017:0800,0.8,1.3,0.0,24,0.0
1386,20121018:0800,22.0,0.0,18.5,24,0.0
1387,20121019:0800,18.6,0.0,16.5,24,0.0
1388,20121020:0800,2.4,0.0,0.3,24,0.0
1389,20121021:0800,7.0,0.0,4.9,24,0.0
1390,20121022:0800,13.2,0.0,11.1,24,0.0
1391,20121023:0800,5.2,0.0,3.1,24,0.0
1392,20121024:0800,0.4,1.7,0.0,24,0.0
1393,20121025:0800,0.0,3.9,0.0,24,0.0
1394,20121026:0800,0.2,5.8,0.0,24,0.0
1395,20121027:0800,0.0,7.9,0.0,24,0.0
1396,20121028:0800,13.0,0.0,3.0,24,0.0
1397,20121029:0800,0.0,2.1,0.0,24,0.0
1398,20121030:0800,0.0,4.3,0.0,24,0.0
1399,20121031:0800,0.0,6.4,0.0,24,0.0
1400,20121101:0800,0.0,8.5,0.0,24,0.0
1401,20121102:0800,0.0,12.1,0.0,24,0.0
1402,20121103:0800,15.6,0.1,0.0,24,0.0
1403,20121104:0800,1.2,2.5,0.0,24,0.0
1404,20121105:0800,0.2,5.9,0.0,24,0.0
1405,20121106:0800,0.0,9.5,0.0,24,0.0
1406,20121107:0800,0.0,13.1,0.0,24,0.0
1407,20121108:0800,0.0,16.7,0.0,24,0.0
1408,20121109:0800,0.0,20.4,0.0,24,0.0
1409,20121110:0800,0.0,24.0,0.0,24,0.0
1410,20121111:0800,0.2,27.4,0.0,24,0.0
1411,20121112:0800,1.2,29.8,0.0,24,0.0
1412,20121113:0800,0.0,33.4,0.0,24,0.0
1413,20121114:0800,5.6,31.4,0.0,24,0.0
1414,20121115:0800,0.0,35.0,0.0,24,0.0
1415,20121116:0800,3.0,35.6,0.0,24,0.0
1416,20121117:0800,0.0,39.2,0.0,24,0.0
1417,20121118:0800,17.0,25.8,0.0,24,0.0
1418,20121119:0800,0.4,29.0,0.0,24,0.0
1419,20121120:0800,0.0,32.6,0.0,24,0.0
1420,20121121:0800,0.0,36.2,0.0,24,0.0
1421,20121122:0800,0.0,39.8,0.0,24,0.0
1422,20121123:0800,0.0,43.4,0.0,24,0.0
1423,20121124:0800,0.4,46.7,0.0,24,0.0
1424,20121125:0800,0.0,50.3,0.0,24,0.0
1425,20121126:0800,0.0,53.9,0.0,24,0.0
1426,20121127:0800,0.0,57.5,0.0,24,0.0
1427,20121128:0800,0.0,61.1,0.0,24,0.0
1428,20121129:0800,0.0,64.7,0.0,24,0.0
1429,20121130:0800,6.6,61.7,0.0,24,0.0
1430,20121201:0800,0.0,65.3,0.0,24,0.0
1431,20121202:0800,2.8,66.8,0.0,24,0.0
1432,20121203:0800,0.0,71.2,0.0,24,0.0
1433,20121204:0800,0.0,75.5,0.0,24,0.0
1434,20121205:0800,21.2,58.6,0.0,24,0.0
1435,20121206:0800,12.0,51.0,0.0,24,0.0
1436,20121207:0800,18.6,36.7,0.0,24,0.0
1437,20121208:0800,3.0,38.1,0.0,24,0.0
1438,20121209:0800,0.2,42.2,0.0,24,0.0
1439,20121210:0800,0.0,46.6,0.0,24,0.0
1440,20121211:0800,0.0,50.9,0.0,24,0.0
1441,20121212:0800,0.0,55.2,0.0,24,0.0
1442,20121213:0800,0.0,59.6,0.0,24,0.0
1443,20121214:0800,0.0,63.9,0.0,24,0.0
1444,20121215:0800,0.0,68.3,0.0,24,0.0
1445,20121216:0800,0.0,72.6,0.0,24,0.0
1446,20121217:0800,0.0,76.9,0.0,24,0.0
1447,20121218:0800,15.8,65.4,0.0,24,0.0
1448,20121219:0800,0.4,69.3,0.0,24,0.0
1449,20121220:0800,0.0,73.7,0.0,24,0.0
1450,20121221:0800,0.0,78.0,0.0,24,0.0
1451,20121222:0800,3.0,79.2,0.0,24,0.0
1452,20121223:0800,0.0,83.3,0.0,24,0.0
1453,20121224:0800,0.0,87.1,0.0,24,0.0
1454,20121225:0800,0.0,90.8,0.0,24,0.0
1455,20121226:0800,1.6,92.6,0.0,24,0.0
1456,20121227:0800,12.8,83.1,0.0,24,0.0
1457,20121228:0800,0.0,87.0,0.0,24,0.0
1458,20121229:0800,2.4,88.2,0.0,24,0.0
1459,20121230:0800,8.2,83.6,0.0,24,0.0
1460,20121231:0800,21.2,66.3,0.0,24,0.0
1461,20130101:0800,5.6,65.0,0.0,24,0.0
1462,20130102:0800,14.4,55.1,0.0,24,0.0
1463,20130103:0800,55.6,4.0,0.0,24,0.0
1464,20130104:0800,0.6,7.9,0.0,24,0.0
1465,20130105:0800,0.0,12.4,0.0,24,0.0
1466,20130106:0800,0.0,17.0,0.0,24,0.0
1467,20130107:0800,0.0,21.5,0.0,24,0.0
1468,20130108:0800,7.4,18.6,0.0,24,0.0
1469,20130109:0800,0.8,22.3,0.0,24,0.0
1470,20130110:0800,29.4,0.0,2.6,24,0.0
1471,20130111:0800,10.2,0.0,5.7,24,0.0
1472,20130112:0800,0.2,4.3,0.0,24,0.0
1473,20130113:0800,0.0,8.8,0.0,24,0.0
1474,20130114:0800,33.4,0.0,20.1,24,0.0
1475,20130115:0800,14.0,0.0,9.5,24,0.0
1476,20130116:0800,14.4,0.0,9.9,24,0.0
1477,20130117:0800,5.8,0.0,1.3,24,0.0
1478,20130118:0800,12.0,0.0,7.5,24,0.0
1479,20130119:0800,0.0,4.5,0.0,24,0.0
1480,20130120:0800,1.2,7.8,0.0,24,0.0
1481,20130121:0800,0.0,12.3,0.0,24,0.0
1482,20130122:0800,0.0,16.8,0.0,24,0.0
1483,20130123:0800,0.0,21.3,0.0,24,0.0
1484,20130124:0800,4.4,21.5,0.0,24,0.0
1485,20130125:0800,0.0,26.0,0.0,24,0.0
1486,20130126:0800,0.0,30.5,0.0,24,0.0
1487,20130127:0800,0.0,35.0,0.0,24,0.0
1488,20130128:0800,0.0,39.5,0.0,24,0.0
1489,20130129:0800,0.0,44.0,0.0,24,0.0
1490,20130130:0800,0.0,48.5,0.0,24,0.0
1491,20130131:0800,0.0,53.0,0.0,24,0.0
1492,20130201:0800,0.0,57.5,0.0,24,0.0
1493,20130202:0800,0.0,62.2,0.0,24,0.0
1494,20130203:0800,0.0,66.9,0.0,24,0.0
1495,20130204:0800,0.0,71.6,0.0,24,0.0
1496,20130205:0800,37.0,39.3,0.0,24,0.0
1497,20130206:0800,0.0,44.0,0.0,24,0.0
1498,20130207:0800,0.0,48.7,0.0,24,0.0
1499,20130208:0800,0.0,53.4,0.0,24,0.0
1500,20130209:0800,0.0,58.1,0.0,24,0.0
1501,20130210:0800,0.0,62.8,0.0,24,0.0
1502,20130211:0800,0.0,67.5,0.0,24,0.0
1503,20130212:0800,0.4,71.8,0.0,24,0.0
1504,20130213:0800,0.0,76.5,0.0,24,0.0
1505,20130214:0800,0.0,81.1,0.0,24,0.0
1506,20130215:0800,0.0,85.5,0.0,24,0.0
1507,20130216:0800,0.0,89.5,0.0,24,0.0
1508,20130217:0800,0.0,93.3,0.0,24,0.0
1509,20130218:0800,0.0,96.8,0.0,24,0.0
1510,20130219:0800,0.0,100.2,0.0,24,0.0
1511,20130220:0800,0.0,103.3,0.0,24,0.0
1512,20130221:0800,0.0,106.2,0.0,24,0.0
1513,20130222:0800,0.0,109.0,0.0,24,0.0
1514,20130223:0800,0.0,111.5,0.0,24,0.0
1515,20130224:0800,0.0,113.9,0.0,24,0.0
1516,20130225:0800,0.0,116.2,0.0,24,0.0
1517,20130226:0800,0.0,118.3,0.0,24,0.0
1518,20130227:0800,0.0,120.3,0.0,24,0.0
1519,20130228:0800,0.0,122.2,0.0,24,0.0
1520,20130301:0800,0.0,123.9,0.0,24,0.0
1521,20130302:0800,0.0,124.9,0.0,24,0.0
1522,20130303:0800,0.0,125.9,0.0,24,0.0
1523,20130304:0800,0.0,126.8,0.0,24,0.0
1524,20130305:0800,0.0,127.7,0.0,24,0.0
1525,20130306:0800,0.0,128.6,0.0,24,0.0
1526,20130307:0800,0.0,129.4,0.0,24,0.0
1527,20130308:0800,0.0,130.2,0.0,24,0.0
1528,20130309:0800,0.0,131.0,0.0,24,0.0
1529,20130310:0800,0.0,131.7,0.0,24,0.0
1530,20130311:0800,0.0,132.4,0.0,24,0.0
1531,20130312:0800,0.0,133.1,0.0,24,0.0
1532,20130313:0800,0.0,133.8,0.0,24,0.0
1533,20130314:0800,0.0,134.4,0.0,24,0.0
1534,20130315:0800,0.0,135.0,0.0,24,0.0
1535,20130316:0800,0.0,135.6,0.0,24,0.0
1536,20130317:0800,0.4,135.7,0.0,24,0.0
1537,20130318:0800,7.2,129.1,0.0,24,0.0
1538,20130319:0800,28.0,101.9,0.0,24,0.0
1539,20130320:0800,0.6,103.2,0.0,24,0.0
1540,20130321:0800,0.0,105.0,0.0,24,0.0
1541,20130322:0800,0.0,106.7,0.0,24,0.0
1542,20130323:0800,0.0,108.4,0.0,24,0.0
1543,20130324:0800,0.0,110.0,0.0,24,0.0
1544,20130325:0800,0.0,111.5,0.0,24,0.0
1545,20130326:0800,0.2,112.8,0.0,24,0.0
1546,20130327:0800,0.0,114.3,0.0,24,0.0
1547,20130328:0800,0.0,115.7,0.0,24,0.0
1548,20130329:0800,0.0,117.0,0.0,24,0.0
1549,20130330:0800,2.6,115.7,0.0,24,0.0
1550,20130331:0800,6.6,110.4,0.0,24,0.0
1551,20130401:0800,18.2,93.7,0.0,24,0.0
1552,20130402:0800,0.4,94.3,0.0,24,0.0
1553,20130403:0800,10.8,84.4,0.0,24,0.0
1554,20130404:0800,23.4,62.1,0.0,24,0.0
1555,20130405:0800,0.0,63.3,0.0,24,0.0
1556,20130406:0800,3.0,61.6,0.0,24,0.0
1557,20130407:0900,0.0,62.9,0.0,24,0.0
1558,20130408:0900,0.0,64.1,0.0,24,0.0
1559,20130409:0900,0.0,65.4,0.0,24,0.0
1560,20130410:0900,0.0,66.6,0.0,24,0.0
1561,20130411:0900,0.0,67.9,0.0,24,0.0
1562,20130412:0900,3.0,66.1,0.0,24,0.0
1563,20130413:0900,0.0,67.4,0.0,24,0.0
1564,20130414:0900,5.2,63.4,0.0,24,0.0
1565,20130415:0900,0.0,64.7,0.0,24,0.0
1566,20130416:0900,0.2,65.7,0.0,24,0.0
1567,20130417:0900,7.6,59.4,0.0,24,0.0
1568,20130418:0900,13.6,47.0,0.0,24,0.0
1569,20130419:0900,0.4,47.9,0.0,24,0.0
1570,20130420:0900,2.8,46.3,0.0,24,0.0
1571,20130421:0900,1.0,46.6,0.0,24,0.0
1572,20130422:0900,21.8,26.1,0.0,24,0.0
1573,20130423:0900,2.0,25.3,0.0,24,0.0
1574,20130424:0900,12.2,14.4,0.0,24,0.0
1575,20130425:0900,7.8,7.8,0.0,24,0.0
1576,20130426:0900,3.0,6.1,0.0,24,0.0
1577,20130427:0900,6.2,1.1,0.0,24,0.0
1578,20130428:0900,3.0,0.0,0.6,24,0.0
1579,20130429:0900,1.6,0.0,0.3,24,0.0
1580,20130430:0900,0.4,0.9,0.0,24,0.0
1581,20130501:0900,0.0,2.1,0.0,24,0.0
1582,20130502:0900,0.0,2.8,0.0,24,0.0
1583,20130503:0900,29.0,0.0,25.5,24,0.0
1584,20130504:0900,0.0,0.7,0.0,24,0.0
1585,20130505:0900,0.4,1.0,0.0,24,0.0
1586,20130506:0900,0.4,1.2,0.0,24,0.0
1587,20130507:0900,0.0,1.9,0.0,24,0.0
1588,20130508:0900,0.0,2.6,0.0,24,0.0
1589,20130509:0900,0.0,3.3,0.0,24,0.0
1590,20130510:0900,0.4,3.5,0.0,24,0.0
1591,20130511:0900,0.0,4.2,0.0,24,0.0
1592,20130512:0900,0.0,4.9,0.0,24,0.0
1593,20130513:0900,0.0,5.6,0.0,24,0.0
1594,20130514:0900,0.0,6.3,0.0,24,0.0
1595,20130515:0900,0.0,6.9,0.0,24,0.0
1596,20130516:0900,0.0,7.6,0.0,24,0.0
1597,20130517:0900,0.2,8.1,0.0,24,0.0
1598,20130518:0900,12.8,0.0,4.0,24,0.0
1599,20130519:0900,0.0,0.7,0.0,24,0.0
1600,20130520:0900,1.2,0.2,0.0,24,0.0
1601,20130521:0900,0.0,0.8,0.0,24,0.0
1602,20130522:0900,3.4,0.0,1.9,24,0.0
1603,20130523:0900,1.2,0.0,0.5,24,0.0
1604,20130524:0900,0.0,0.7,0.0,24,0.0
1605,20130525:0900,0.6,0.8,0.0,24,0.0
1606,20130526:0900,0.2,1.2,0.0,24,0.0
1607,20130527:0900,10.2,0.0,8.3,24,0.0
1608,20130528:0900,8.2,0.0,7.5,24,0.0
1609,20130529:0900,0.2,0.5,0.0,24,0.0
1610,20130530:0900,0.0,1.2,0.0,24,0.0
1611,20130531:0900,0.0,1.8,0.0,24,0.0
1612,20130601:0900,1.0,1.5,0.0,24,0.0
1613,20130602:0900,7.4,0.0,5.6,24,0.0
1614,20130603:0900,4.4,0.0,4.1,24,0.0
1615,20130604:0900,51.6,0.0,51.3,24,0.0
1616,20130605:0900,10.6,0.0,10.3,24,0.0
1617,20130606:0900,0.0,0.3,0.0,24,0.0
1618,20130607:0900,0.2,0.4,0.0,24,0.0
1619,20130608:0900,0.0,0.6,0.0,24,0.0
1620,20130609:0900,14.6,0.0,13.7,24,0.0
1621,20130610:0900,0.0,0.3,0.0,24,0.0
1622,20130611:0900,0.0,0.6,0.0,24,0.0
1623,20130612:0900,0.0,0.8,0.0,24,0.0
1624,20130613:0900,0.0,1.1,0.0,24,0.0
1625,20130614:0900,0.0,1.4,0.0,24,0.0
1626,20130615:0900,0.0,1.7,0.0,24,0.0
1627,20130616:0900,20.0,0.0,18.0,24,0.0
1628,20130617:0900,19.0,0.0,18.7,24,0.0
1629,20130618:0900,3.8,0.0,3.5,24,0.0
1630,20130619:0900,15.0,0.0,14.7,24,0.0
1631,20130620:0900,29.6,0.0,29.3,24,0.0
1632,20130621:0900,0.0,0.3,0.0,24,0.0
1633,20130622:0900,0.0,0.6,0.0,24,0.0
1634,20130623:0900,0.0,0.8,0.0,24,0.0
1635,20130624:0900,0.0,1.1,0.0,24,0.0
1636,20130625:0900,0.0,1.4,0.0,24,0.0
1637,20130626:0900,0.0,1.7,0.0,24,0.0
1638,20130627:0900,0.0,2.0,0.0,24,0.0
1639,20130628:0900,0.0,2.3,0.0,24,0.0
1640,20130629:0900,0.0,2.5,0.0,24,0.0
1641,20130630:0900,0.0,2.8,0.0,24,0.0
1642,20130701:0900,0.4,2.7,0.0,24,0.0
1643,20130702:0900,6.8,0.0,3.7,24,0.0
1644,20130703:0900,1.4,0.0,1.0,24,0.0
1645,20130704:0900,5.8,0.0,5.4,24,0.0
1646,20130705:0900,0.2,0.2,0.0,24,0.0
1647,20130706:0900,23.6,0.0,23.0,24,0.0
1648,20130707:0900,21.6,0.0,21.2,24,0.0
1649,20130708:0900,18.6,0.0,18.2,24,0.0
1650,20130709:0900,3.4,0.0,3.0,24,0.0
1651,20130710:0900,2.8,0.0,2.4,24,0.0
1652,20130711:0900,0.0,0.4,0.0,24,0.0
1653,20130712:0900,0.0,0.8,0.0,24,0.0
1654,20130713:0900,0.0,1.2,0.0,24,0.0
1655,20130714:0900,0.0,1.7,0.0,24,0.0
1656,20130715:0900,0.0,2.1,0.0,24,0.0
1657,20130716:0900,0.0,2.5,0.0,24,0.0
1658,20130717:0900,0.0,2.9,0.0,24,0.0
1659,20130718:0900,0.0,3.3,0.0,24,0.0
1660,20130719:0900,0.0,3.7,0.0,24,0.0
1661,20130720:0900,0.0,4.1,0.0,24,0.0
1662,20130721:0900,0.0,4.5,0.0,24,0.0
1663,20130722:0900,0.0,5.0,0.0,24,0.0
1664,20130723:0900,6.0,0.0,0.6,24,0.0
1665,20130724:0900,19.8,0.0,19.4,24,0.0
1666,20130725:0900,3.6,0.0,3.2,24,0.0
1667,20130726:0900,3.2,0.0,2.8,24,0.0
1668,20130727:0900,0.0,0.4,0.0,24,0.0
1669,20130728:0900,0.4,0.4,0.0,24,0.0
1670,20130729:0900,0.0,0.8,0.0,24,0.0
1671,20130730:0900,0.0,1.3,0.0,24,0.0
1672,20130731:0900,0.0,1.7,0.0,24,0.0
1673,20130801:0900,0.0,2.1,0.0,24,0.0
1674,20130802:0900,0.0,3.0,0.0,24,0.0
1675,20130803:0900,0.0,3.9,0.0,24,0.0
1676,20130804:0900,1.4,3.4,0.0,24,0.0
1677,20130805:0900,3.8,0.6,0.0,24,0.0
1678,20130806:0900,3.4,0.0,1.9,24,0.0
1679,20130807:0900,10.6,0.0,9.7,24,0.0
1680,20130808:0900,26.6,0.0,25.7,24,0.0
1681,20130809:0900,5.6,0.0,4.7,24,0.0
1682,20130810:0900,6.6,0.0,5.7,24,0.0
1683,20130811:0900,0.0,0.9,0.0,24,0.0
1684,20130812:0900,4.2,0.0,2.4,24,0.0
1685,20130813:0900,0.0,0.9,0.0,24,0.0
1686,20130814:0900,17.4,0.0,15.6,24,0.0
1687,20130815:0900,11.6,0.0,10.7,24,0.0
1688,20130816:0900,2.6,0.0,1.7,24,0.0
1689,20130817:0900,0.0,0.9,0.0,24,0.0
1690,20130818:0900,0.0,1.8,0.0,24,0.0
1691,20130819:0900,0.0,2.8,0.0,24,0.0
1692,20130820:0900,0.0,3.7,0.0,24,0.0
1693,20130821:0900,0.8,3.8,0.0,24,0.0
1694,20130822:0900,3.4,1.3,0.0,24,0.0
1695,20130823:0900,13.0,0.0,10.8,24,0.0
1696,20130824:0900,1.2,0.0,0.3,24,0.0
1697,20130825:0900,0.0,0.9,0.0,24,0.0
1698,20130826:0900,2.6,0.0,0.8,24,0.0
1699,20130827:0900,0.4,0.5,0.0,24,0.0
1700,20130828:0900,0.0,1.4,0.0,24,0.0
1701,20130829:0900,5.8,0.0,3.4,24,0.0
1702,20130830:0900,0.0,0.9,0.0,24,0.0
1703,20130831:0900,0.0,1.8,0.0,24,0.0
1704,20130901:0900,0.0,2.8,0.0,24,0.0
1705,20130902:0900,0.0,4.4,0.0,24,0.0
1706,20130903:0900,0.0,6.1,0.0,24,0.0
1707,20130904:0900,8.6,0.0,0.9,24,0.0
1708,20130905:0900,1.0,0.7,0.0,24,0.0
1709,20130906:0900,0.0,2.3,0.0,24,0.0
1710,20130907:0900,0.0,4.0,0.0,24,0.0
1711,20130908:0900,10.0,0.0,4.3,24,0.0
1712,20130909:0900,8.8,0.0,7.1,24,0.0
1713,20130910:0900,2.2,0.0,0.5,24,0.0
1714,20130911:0900,80.8,0.0,79.1,24,0.0
1715,20130912:0900,30.8,0.0,29.1,24,0.0
1716,20130913:0900,6.4,0.0,4.7,24,0.0
1717,20130914:0900,0.4,1.3,0.0,24,0.0
1718,20130915:0900,2.0,0.9,0.0,24,0.0
1719,20130916:0900,0.0,2.6,0.0,24,0.0
1720,20130917:0900,0.0,4.3,0.0,24,0.0
1721,20130918:0900,0.0,5.9,0.0,24,0.0
1722,20130919:0900,0.0,7.6,0.0,24,0.0
1723,20130920:0900,25.8,0.0,16.6,24,0.0
1724,20130921:0900,17.4,0.0,15.7,24,0.0
1725,20130922:0900,8.6,0.0,6.9,24,0.0
1726,20130923:0900,10.4,0.0,8.7,24,0.0
1727,20130924:0900,3.4,0.0,1.7,24,0.0
1728,20130925:0900,0.2,1.5,0.0,24,0.0
1729,20130926:0900,1.8,1.3,0.0,24,0.0
1730,20130927:0900,0.0,3.0,0.0,24,0.0
1731,20130928:0900,24.4,0.0,19.7,24,0.0
1732,20130929:0800,11.4,0.0,9.7,24,0.0
1733,20130930:0800,7.2,0.0,5.5,24,0.0
1734,20131001:0800,0.0,1.7,0.0,24,0.0
1735,20131002:0800,0.0,3.7,0.0,24,0.0
1736,20131003:0800,3.8,1.9,0.0,24,0.0
1737,20131004:0800,3.0,0.9,0.0,24,0.0
1738,20131005:0800,0.0,2.9,0.0,24,0.0
1739,20131006:0800,0.0,5.0,0.0,24,0.0
1740,20131007:0800,0.6,6.4,0.0,24,0.0
1741,20131008:0800,7.4,1.0,0.0,24,0.0
1742,20131009:0800,9.0,0.0,6.0,24,0.0
1743,20131010:0800,0.0,2.0,0.0,24,0.0
1744,20131011:0800,1.0,3.0,0.0,24,0.0
1745,20131012:0800,14.4,0.0,9.3,24,0.0
1746,20131013:0800,10.6,0.0,8.6,24,0.0
1747,20131014:0800,10.2,0.0,8.2,24,0.0
1748,20131015:0800,40.6,0.0,38.6,24,0.0
1749,20131016:0800,14.8,0.0,12.8,24,0.0
1750,20131017:0800,0.2,1.8,0.0,24,0.0
1751,20131018:0800,0.8,3.0,0.0,24,0.0
1752,20131019:0800,7.4,0.0,2.3,24,0.0
1753,20131020:0800,0.0,2.0,0.0,24,0.0
1754,20131021:0800,0.0,4.0,0.0,24,0.0
1755,20131022:0800,14.6,0.0,8.5,24,0.0
1756,20131023:0800,13.8,0.0,11.8,24,0.0
1757,20131024:0800,5.8,0.0,3.8,24,0.0
1758,20131025:0800,37.4,0.0,35.4,24,0.0
1759,20131026:0800,13.0,0.0,11.0,24,0.0
1760,20131027:0800,20.4,0.0,18.4,24,0.0
1761,20131028:0800,5.8,0.0,3.8,24,0.0
1762,20131029:0800,0.0,2.0,0.0,24,0.0
1763,20131030:0800,0.0,4.0,0.0,24,0.0
1764,20131031:0800,28.6,0.0,22.5,24,0.0
1765,20131101:0800,2.0,0.0,0.0,24,0.0
1766,20131102:0800,2.0,1.7,0.0,24,0.0
1767,20131103:0800,0.0,5.4,0.0,24,0.0
1768,20131104:0800,0.0,9.1,0.0,24,0.0
1769,20131105:0800,0.0,12.8,0.0,24,0.0
1770,20131106:0800,0.0,16.5,0.0,24,0.0
1771,20131107:0800,0.0,20.2,0.0,24,0.0
1772,20131108:0800,0.0,23.8,0.0,24,0.0
1773,20131109:0800,0.0,27.5,0.0,24,0.0
1774,20131110:0800,0.0,31.2,0.0,24,0.0
1775,20131111:0800,0.0,34.9,0.0,24,0.0
1776,20131112:0800,0.0,38.6,0.0,24,0.0
1777,20131113:0800,0.0,42.3,0.0,24,0.0
1778,20131114:0800,0.0,46.0,0.0,24,0.0
1779,20131115:0800,0.0,49.7,0.0,24,0.0
1780,20131116:0800,0.0,53.4,0.0,24,0.0
1781,20131117:0800,0.6,56.5,0.0,24,0.0
1782,20131118:0800,7.8,52.3,0.0,24,0.0
1783,20131119:0800,0.0,56.0,0.0,24,0.0
1784,20131120:0800,0.0,59.7,0.0,24,0.0
1785,20131121:0800,1.0,62.4,0.0,24,0.0
1786,20131122:0800,0.0,66.1,0.0,24,0.0
1787,20131123:0800,0.0,69.8,0.0,24,0.0
1788,20131124:0800,0.0,73.5,0.0,24,0.0
1789,20131125:0800,0.0,77.2,0.0,24,0.0
1790,20131126:0800,21.8,59.0,0.0,24,0.0
1791,20131127:0800,5.0,57.7,0.0,24,0.0
1792,20131128:0800,0.4,60.9,0.0,24,0.0
1793,20131129:0800,0.2,64.4,0.0,24,0.0
1794,20131130:0800,14.6,53.5,0.0,24,0.0
1795,20131201:0800,14.2,43.0,0.0,24,0.0
1796,20131202:0800,0.8,46.2,0.0,24,0.0
1797,20131203:0800,0.0,50.1,0.0,24,0.0
1798,20131204:0800,0.0,54.1,0.0,24,0.0
1799,20131205:0800,0.0,58.0,0.0,24,0.0
1800,20131206:0800,0.0,62.0,0.0,24,0.0
1801,20131207:0800,6.6,59.3,0.0,24,0.0
1802,20131208:0800,20.8,42.5,0.0,24,0.0
1803,20131209:0800,18.0,28.4,0.0,24,0.0
1804,20131210:0800,8.6,23.7,0.0,24,0.0
1805,20131211:0800,0.2,27.5,0.0,24,0.0
1806,20131212:0800,0.0,31.4,0.0,24,0.0
1807,20131213:0800,13.8,21.6,0.0,24,0.0
1808,20131214:0800,0.0,25.5,0.0,24,0.0
1809,20131215:0800,0.0,29.5,0.0,24,0.0
1810,20131216:0800,0.0,33.4,0.0,24,0.0
1811,20131217:0800,3.2,34.2,0.0,24,0.0
1812,20131218:0800,0.0,38.1,0.0,24,0.0
1813,20131219:0800,0.2,41.9,0.0,24,0.0
1814,20131220:0800,0.0,45.8,0.0,24,0.0
1815,20131221:0800,0.0,49.8,0.0,24,0.0
1816,20131222:0800,12.0,41.7,0.0,24,0.0
1817,20131223:0800,0.0,45.7,0.0,24,0.0
1818,20131224:0800,1.0,48.6,0.0,24,0.0
1819,20131225:0800,15.2,37.4,0.0,24,0.0
1820,20131226:0800,0.6,40.7,0.0,24,0.0
1821,20131227:0800,1.2,43.5,0.0,24,0.0
1822,20131228:0800,0.0,47.4,0.0,24,0.0
1823,20131229:0800,2.8,48.6,0.0,24,0.0
1824,20131230:0800,1.4,51.1,0.0,24,0.0
1825,20131231:0800,12.0,43.1,0.0,24,0.0
1826,20140101:0800,8.8,38.2,0.0,24,0.0
1827,20140102:0800,10.0,31.8,0.0,24,0.0
1828,20140103:0800,31.2,4.3,0.0,24,0.0
1829,20140104:0800,2.8,5.1,0.0,24,0.0
1830,20140105:0800,3.6,5.1,0.0,24,0.0
1831,20140106:0800,5.2,3.6,0.0,24,0.0
1832,20140107:0800,1.8,5.4,0.0,24,0.0
1833,20140108:0800,11.4,0.0,2.4,24,0.0
1834,20140109:0800,10.8,0.0,7.2,24,0.0
1835,20140110:0800,2.8,0.8,0.0,24,0.0
1836,20140111:0800,0.0,4.5,0.0,24,0.0
1837,20140112:0800,0.0,8.1,0.0,24,0.0
1838,20140113:0800,6.4,5.3,0.0,24,0.0
1839,20140114:0800,3.0,6.0,0.0,24,0.0
1840,20140115:0800,0.0,9.6,0.0,24,0.0
1841,20140116:0800,0.0,13.2,0.0,24,0.0
1842,20140117:0800,4.0,12.9,0.0,24,0.0
1843,20140118:0800,0.0,16.5,0.0,24,0.0
1844,20140119:0800,0.0,20.1,0.0,24,0.0
1845,20140120:0800,0.0,23.8,0.0,24,0.0
1846,20140121:0800,4.8,22.6,0.0,24,0.0
1847,20140122:0800,2.4,23.8,0.0,24,0.0
1848,20140123:0800,4.2,23.3,0.0,24,0.0
1849,20140124:0800,4.8,22.1,0.0,24,0.0
1850,20140125:0800,0.0,25.7,0.0,24,0.0
1851,20140126:0800,2.2,27.1,0.0,24,0.0
1852,20140127:0800,22.6,8.2,0.0,24,0.0
1853,20140128:0800,0.0,11.8,0.0,24,0.0
1854,20140129:0800,0.0,15.4,0.0,24,0.0
1855,20140130:0800,0.0,19.1,0.0,24,0.0
1856,20140131:0800,0.0,22.7,0.0,24,0.0
1857,20140201:0800,0.0,26.3,0.0,24,0.0
1858,20140202:0800,0.0,30.3,0.0,24,0.0
1859,20140203:0800,0.0,34.2,0.0,24,0.0
1860,20140204:0800,0.0,38.1,0.0,24,0.0
1861,20140205:0800,0.0,42.0,0.0,24,0.0
1862,20140206:0800,0.4,45.5,0.0,24,0.0
1863,20140207:0800,0.0,49.5,0.0,24,0.0
1864,20140208:0800,2.6,50.8,0.0,24,0.0
1865,20140209:0800,0.0,54.7,0.0,24,0.0
1866,20140210:0800,0.0,58.6,0.0,24,0.0
1867,20140211:0800,0.0,62.6,0.0,24,0.0
1868,20140212:0800,0.2,66.3,0.0,24,0.0
1869,20140213:0800,1.4,68.8,0.0,24,0.0
1870,20140214:0800,0.6,72.1,0.0,24,0.0
1871,20140215:0800,0.4,75.6,0.0,24,0.0
1872,20140216:0800,0.0,79.5,0.0,24,0.0
