,Date(NZST),Amount(mm),Deficit(mm),Runoff(mm),Period(Hrs),Freq
116,20090427:0900,0.0,1.3,0.0,24,0.0
117,20090428:0900,86.8,0.0,84.2,24,0.0
118,20090429:0900,30.4,0.0,29.1,24,0.0
119,20090430:0900,13.0,0.0,11.7,24,0.0
120,20090501:0900,4.0,0.0,2.7,24,0.0
121,20090502:0900,0.0,0.6,0.0,24,0.0
122,20090503:0900,0.0,1.2,0.0,24,0.0
123,20090504:0900,0.0,1.7,0.0,24,0.0
124,20090505:0900,0.0,2.3,0.0,24,0.0
125,20090506:0900,13.8,0.0,10.9,24,0.0
126,20090507:0900,0.0,0.6,0.0,24,0.0
127,20090508:0900,6.6,0.0,5.4,24,0.0
128,20090509:0900,0.0,0.6,0.0,24,0.0
129,20090510:0900,8.2,0.0,7.0,24,0.0
130,20090511:0900,0.0,0.6,0.0,24,0.0
131,20090512:0900,0.0,1.2,0.0,24,0.0
132,20090513:0900,2.8,0.0,1.1,24,0.0
133,20090514:0900,5.0,0.0,4.4,24,0.0
134,20090515:0900,30.8,0.0,30.2,24,0.0
135,20090516:0900,4.4,0.0,3.8,24,0.0
136,20090517:0900,40.2,0.0,39.6,24,0.0
137,20090518:0900,20.8,0.0,20.2,24,0.0
138,20090519:0900,22.4,0.0,21.8,24,0.0
139,20090520:0900,12.6,0.0,12.0,24,0.0
140,20090521:0900,0.0,0.6,0.0,24,0.0
141,20090522:0900,0.0,1.2,0.0,24,0.0
142,20090523:0900,0.0,1.7,0.0,24,0.0
143,20090524:0900,0.0,2.3,0.0,24,0.0
144,20090525:0900,0.0,2.9,0.0,24,0.0
145,20090526:0900,0.0,3.5,0.0,24,0.0
146,20090527:0900,0.0,4.1,0.0,24,0.0
147,20090528:0900,0.0,4.6,0.0,24,0.0
148,20090529:0900,0.0,5.2,0.0,24,0.0
149,20090530:0900,0.2,5.6,0.0,24,0.0
150,20090531:0900,0.0,6.2,0.0,24,0.0
151,20090601:0900,0.0,6.8,0.0,24,0.0
152,20090602:0900,0.0,7.0,0.0,24,0.0
153,20090603:0900,0.0,7.2,0.0,24,0.0
154,20090604:0900,0.0,7.4,0.0,24,0.0
155,20090605:0900,1.8,5.8,0.0,24,0.0
156,20090606:0900,5.0,1.0,0.0,24,0.0
157,20090607:0900,0.2,1.0,0.0,24,0.0
158,20090608:0900,0.0,1.2,0.0,24,0.0
159,20090609:0900,5.8,0.0,4.4,24,0.0
160,20090610:0900,15.0,0.0,14.8,24,0.0
161,20090611:0900,19.0,0.0,18.8,24,0.0
162,20090612:0900,13.8,0.0,13.6,24,0.0
163,20090613:0900,10.6,0.0,10.4,24,0.0
164,20090614:0900,0.4,0.0,0.2,24,0.0
