"site","base_temperature","period_start","period_end","p_value","slope","conf_low_90","conf_high_90","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon","region","unit","conf_low_66","conf_high_66"
"Lake Tekapo (Canterbury)","5","1972","2022",0.9223559101771722,0.2310344827586144,-2.2588235294117567,2.9678571428571394,0.09746653335219396,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.002,170.441,"Canterbury","Degree Celsius",-1.1812500000000057,1.8103448275862069
"Masterton (Wellington)","10","1972","2022",0.001226520105977113,5.222222222222222,2.697142857142853,7.637499999999989,3.2326400228477663,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.957,175.707,"Wellington","Degree Celsius",3.838709677419362,6.6678571428571445
"Masterton (Wellington)","5","1972","2022",5.400511589898478e-4,6.781818181818173,3.6818181818181817,9.592307692307678,3.4600619340028858,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.957,175.707,"Wellington","Degree Celsius",4.73513513513513,8.347826086956502
"Milford Sound (Southland)","10","1972","2022",0.004949764052204732,3.7666666666666706,1.495999999999999,5.614634146341465,2.8102850449882593,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.67384,167.92406,"Southland","Degree Celsius",2.6136363636363638,4.937500000000003
"Milford Sound (Southland)","5","1972","2022",3.306560003658945e-4,6.582608695652168,3.7916666666666665,9.612500000000004,3.590017311805811,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.67384,167.92406,"Southland","Degree Celsius",4.763636363636331,8.405263157894739
"Napier (Hawke's Bay)","10","1972","2022",7.064239286921176e-4,4.679999999999995,2.519999999999997,6.584999999999991,3.387073758990029,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.49846,176.91189,"Hawke's Bay","Degree Celsius",3.5,5.7363636363636346
"Napier (Hawke's Bay)","5","1972","2022",9.043952681829058e-5,6.262500000000017,3.9642857142857144,8.149999999999986,3.914905756313124,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.49846,176.91189,"Hawke's Bay","Degree Celsius",4.992857142857182,7.344444444444384
"Nelson (Nelson)","10","1972","2022",4.014693326360572e-7,7.1891891891891895,5.209090909090926,9.23846153846154,5.068259734314086,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.299,173.226,"Nelson","Degree Celsius",6.079310344827585,8.426666666666673
"Nelson (Nelson)","5","1972","2022",3.652923249779654e-8,10.028571428571425,7.533333333333303,12.51612903225808,5.506859134398959,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.299,173.226,"Nelson","Degree Celsius",8.737500000000011,11.349999999999909
"New Plymouth (Taranaki)","10","1972","2022",4.363988264497142e-4,5.225000000000011,3.19230769230771,7.704545454545465,3.5170334236035554,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.0079,174.18382,"Taranaki","Degree Celsius",4.059375000000003,6.450000000000017
"New Plymouth (Taranaki)","5","1972","2022",1.4400003253842644e-4,6.04,3.746511627906985,8.371428571428494,3.8011948007355643,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.0079,174.18382,"Taranaki","Degree Celsius",4.775,7.282857142857146
"Queenstown (Otago)","10","1972","2022",9.201686546421586e-4,3.982857142857142,1.9518518518518535,5.734782608695656,3.313862133974595,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.01758,168.74005,"Otago","Degree Celsius",2.9400000000000017,4.981250000000003
"Queenstown (Otago)","5","1972","2022",1.2623847503269307e-4,5.753124999999997,3.2718750000000014,8.84583333333334,3.8336836451862957,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.01758,168.74005,"Otago","Degree Celsius",4.435897435897436,7.50285714285714
"Reefton (West Coast)","10","1972","2022",3.959353748317561e-5,5.920000000000002,3.6250000000000284,8.625,4.109838823017512,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.11578,171.86014,"West Coast","Degree Celsius",4.764444444444441,7.5806451612903265
"Reefton (West Coast)","5","1972","2022",7.344219067508802e-6,8.463636363636356,6.100000000000002,11.597560975609756,4.483460534200922,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.11578,171.86014,"West Coast","Degree Celsius",6.89333333333334,10.066666666666672
"Rotorua (Bay of Plenty)","10","1972","2022",0.029499033012745347,3.1441176470588195,0.6846153846153828,5.556756756756754,2.1767525781989985,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.10595,176.31485,"Bay of Plenty","Degree Celsius",1.6538461538461537,4.409302325581399
"Rotorua (Bay of Plenty)","5","1972","2022",0.023440875596689777,3.822222222222232,1.213513513513516,6.599999999999996,2.266171651698365,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.10595,176.31485,"Bay of Plenty","Degree Celsius",2.5176470588235267,5.577777777777775
"Tara Hills (Canterbury)","10","1972","2022",0.01731797788718084,2.671428571428578,0.9047619047619102,4.395555555555557,2.3798863582352,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.52612,169.88948,"Canterbury","Degree Celsius",1.7029411764705908,3.924999999999997
"Tara Hills (Canterbury)","5","1972","2022",7.721344112959865e-4,5.4274999999999975,2.9375,7.94473684210526,3.3625954006506915,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.52612,169.88948,"Canterbury","Degree Celsius",3.6999999999999695,6.882758620689652
"Taumarunui (Manawatū-Whanganui)","10","1972","2022",0.5053974787823221,1.2900000000000091,-1.9714285714285649,4.218604651162793,0.6660213112399921,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.88784,175.25981,"Manawatū-Whanganui","Degree Celsius",-0.682142857142862,3.102439024390245
"Taumarunui (Manawatū-Whanganui)","5","1972","2022",0.26234527414859454,2.9400000000000093,-0.9148148148148081,6.375555555555557,1.1208651335502304,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.88784,175.25981,"Manawatū-Whanganui","Degree Celsius",0.466666666666697,4.988888888888899
"Taupō (Waikato)","10","1972","2022",0.029499033012745347,3.1565217391304405,0.9454545454545469,6,2.1767525781989985,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.74263,176.08104,"Waikato","Degree Celsius",1.974999999999966,4.761111111111114
"Taupō (Waikato)","5","1972","2022",0.017707148764317053,4.5625,1.4904761904761992,8.246153846153833,2.3716856449033865,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.74263,176.08104,"Waikato","Degree Celsius",2.706666666666691,6.799999999999985
"Tauranga (Bay of Plenty)","10","1972","2022",1.4028916415031338e-6,8.356097560975607,6.193548387096774,11.246874999999996,4.824593400933601,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.673,176.196,"Bay of Plenty","Degree Celsius",7.240909090909099,10.028571428571436
"Tauranga (Bay of Plenty)","5","1972","2022",1.4028916415031338e-6,9.45434782608696,6.73333333333331,12.155263157894739,4.824593400933601,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.673,176.196,"Bay of Plenty","Degree Celsius",8.085714285714285,10.948387096774182
"Timaru (Canterbury)","10","1972","2022",0.3138606891117794,1.11276595744681,-0.6550000000000011,2.9833333333333294,1.007154177972671,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.30517,171.22141,"Canterbury","Degree Celsius",0.07142857142857142,2.209090909090915
"Timaru (Canterbury)","5","1972","2022",0.11888647256334975,2.127272727272694,-0.2150000000000091,4.933333333333394,1.5594645336351034,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.30517,171.22141,"Canterbury","Degree Celsius",0.6666666666666666,3.533333333333303
"Waiouru (Manawatū-Whanganui)","10","1972","2022",0.004705541443797013,3.491666666666665,1.525,5.6480000000000015,2.826529467213625,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.46249,175.66283,"Manawatū-Whanganui","Degree Celsius",2.346428571428573,4.688235294117643
"Waiouru (Manawatū-Whanganui)","5","1972","2022",0.003833988610230563,6.073170731707317,2.780000000000003,9.54042553191489,2.8915071561150874,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.46249,175.66283,"Manawatū-Whanganui","Degree Celsius",3.9352941176470644,7.88518518518518
"Wellington (Wellington)","10","1972","2022",0.002383856501785575,4.399999999999996,2.328571428571422,6.428571428571429,3.0377069561433783,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.285,174.768,"Wellington","Degree Celsius",3.117391304347828,5.762162162162164
"Wellington (Wellington)","5","1972","2022",3.306560003658945e-4,6.2722222222222275,3.6875,8.509999999999945,3.590017311805811,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.285,174.768,"Wellington","Degree Celsius",4.764705882352941,7.620930232558135
"Whanganui (Manawatū-Whanganui)","10","1972","2022",0.001717525046534292,5.205000000000001,2.8057142857142807,8.016666666666664,3.1351734894955725,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.93704,175.04509,"Manawatū-Whanganui","Degree Celsius",3.8047619047618984,6.7450000000000045
"Whanganui (Manawatū-Whanganui)","5","1972","2022",4.784306223998795e-4,6.608823529411772,3.8621621621621647,9.678947368421058,3.4925507784536167,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.93704,175.04509,"Manawatū-Whanganui","Degree Celsius",5.1875,8.544117647058824
"Whangaparāoa (Auckland)","10","1972","2022",1.0342336020152018e-4,6.918749999999989,4.467647058823538,9.626666666666665,3.882416911862393,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-36.606,174.835,"Auckland","Degree Celsius",5.472413793103442,8.48709677419356
"Whangaparāoa (Auckland)","5","1972","2022",1.3484399019535968e-4,7.019047619047602,4.377777777777788,9.855555555555586,3.81743922296093,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-36.606,174.835,"Auckland","Degree Celsius",5.450000000000004,8.56190476190476
"Whangārei (Northland)","10","1972","2022",1.5218193127432997e-6,9.07368421052632,6.720000000000008,11.651851851851857,4.808348978708235,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-35.769,174.364,"Northland","Degree Celsius",7.610344827586201,10.611538461538466
"Whangārei (Northland)","5","1972","2022",9.303994682950804e-7,9.32127659574468,7.078260869565206,12.33170731707317,4.905815512060429,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-35.769,174.364,"Northland","Degree Celsius",7.9913043478260946,11.020000000000012
"Auckland (Auckland)","10","1972","2022",5.486727422603197e-7,NA,NA,NA,4.873326667609698,"Mann-Kendall",51,NA,601,15158.333333333334,0.4713725490196079,"greater","Very likely increasing",-37.00813,174.78873,"Auckland","Degree Celsius",NA,NA
"Auckland (Auckland)","5","1972","2022",5.052796165758314e-7,NA,NA,NA,4.889571089835064,"Mann-Kendall",51,NA,603,15158.333333333334,0.4729411764705883,"greater","Very likely increasing",-37.00813,174.78873,"Auckland","Degree Celsius",NA,NA
"Blenheim (Marlborough)","10","1972","2022",0.008853574382158527,NA,NA,NA,2.3716856449033865,"Mann-Kendall",51,NA,293,15158.333333333334,0.2298039215686275,"greater","Very likely increasing",-41.52133,173.86439,"Marlborough","Degree Celsius",NA,NA
"Blenheim (Marlborough)","5","1972","2022",0.0011292434070231028,NA,NA,NA,3.053951378368744,"Mann-Kendall",51,NA,377,15158.333333333334,0.29568627450980395,"greater","Very likely increasing",-41.52133,173.86439,"Marlborough","Degree Celsius",NA,NA
"Christchurch (Canterbury)","10","1972","2022",0.09826965360481887,NA,NA,NA,1.2914741670969176,"Mann-Kendall",51,NA,160,15157.333333333334,0.12553943688710623,"greater","Very likely increasing",-43.493,172.537,"Canterbury","Degree Celsius",NA,NA
"Christchurch (Canterbury)","5","1972","2022",0.041091913392367174,NA,NA,NA,1.7381531781141255,"Mann-Kendall",51,NA,215,15158.333333333334,0.1686274509803922,"greater","Very likely increasing",-43.493,172.537,"Canterbury","Degree Celsius",NA,NA
