"site","period_start","period_end","p_value","slope","conf_low_90","conf_high_90","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon","region","conf_low_66","conf_high_66"
"Waiouru (Manawatū-Whanganui)","1972","2022",0.03751128702329401,-0.25,-0.3953488372093023,-0.05263157894736842,-2.080155340316819,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.46249,175.66283,"Manawatū-Whanganui",-0.3333333333333333,-0.13525564803804982
"Whanganui (Manawatū-Whanganui)","1972","2022",0.638801995728844,0,0,0,-0.46937446695596324,"Sen's slope",51,"All values tied. Warning zero inflated data (more than 20% of time series are zeros).",NA,NA,NA,NA,NA,-39.93704,175.04509,"Manawatū-Whanganui",0,0
"Whangārei (Northland)","1972","2022",0.018836066509649637,0,0,0,-2.3487595441297837,"Sen's slope",51,"All values tied. Warning zero inflated data (more than 20% of time series are zeros).",NA,NA,NA,NA,NA,-35.769,174.364,"Northland",0,0
"Blenheim (Marlborough)","1972","2022",0.9190967235770264,NA,NA,NA,-1.3990214433694748,"Mann-Kendall",51,NA,-173,15115,-0.13753243113307187,"greater","Very likely decreasing",-41.52133,173.86439,"Marlborough",NA,NA
"Christchurch (Canterbury)","1972","2022",0.6367982257500737,NA,NA,NA,-0.34991358888904367,"Mann-Kendall",51,NA,-44,15101.333333333334,-0.035050026344105756,"greater","Indeterminate",-43.493,172.537,"Canterbury",NA,NA
"Dannevirke (Manawatū-Whanganui)","1972","2022",0.18079494974500934,NA,NA,NA,0.9123397422389475,"Mann-Kendall",51,NA,113,15070.333333333334,0.09078941382780796,"greater","Likely increasing",-40.21,176.109,"Manawatū-Whanganui",NA,NA
"Dunedin (Otago)","1972","2022",0.7861696973994108,NA,NA,NA,-0.7932012056465163,"Mann-Kendall",51,NA,-98,14954.666666666666,-0.07996470475439946,"greater","Likely decreasing",-45.90129,170.5147,"Otago",NA,NA
"Gisborne (Gisborne)","1972","2022",0.9999999957186323,NA,NA,NA,-5.756989262191515,"Mann-Kendall",51,NA,-698,14658,-0.5883229545367887,"greater","Very likely decreasing",-38.6586,177.9851,"Gisborne",NA,NA
"Gore (Southland)","1972","2022",0.9999855636587076,NA,NA,NA,-4.182180321432806,"Mann-Kendall",51,NA,-515,15105,-0.4100787705974239,"greater","Very likely decreasing",-46.115,168.887,"Southland",NA,NA
"Hamilton (Waikato)","1972","2022",0.7584782570476833,NA,NA,NA,-0.7014159259697614,"Mann-Kendall",51,NA,-87,15033,-0.07001516049249977,"greater","Likely decreasing",-37.86088,175.33175,"Waikato",NA,NA
"Hokitika (West Coast)","1972","2022",0.9993549223713495,NA,NA,NA,-3.218160670707251,"Mann-Kendall",51,NA,-396,15065.333333333334,-0.31803382027060156,"greater","Very likely decreasing",-42.71228,170.98428,"West Coast",NA,NA
"Invercargill (Southland)","1972","2022",0.9998855016368305,NA,NA,NA,-3.6846726867865596,"Mann-Kendall",51,NA,-454,15114.666666666666,-0.3607779301031965,"greater","Very likely decreasing",-46.41741,168.33052,"Southland",NA,NA
"Kerikeri (Northland)","1972","2022",0.40674493832258074,NA,NA,NA,0.2359262782648793,"Mann-Kendall",51,NA,21,7186.333333333333,0.028263129873684525,"greater","Indeterminate",-35.183,173.926,"Northland",NA,NA
"Lake Tekapo (Canterbury)","1972","2022",0.16052916208787218,NA,NA,NA,0.9922853982516808,"Mann-Kendall",51,NA,123,15116.333333333334,0.09754764572248446,"greater","Likely increasing",-44.002,170.441,"Canterbury",NA,NA
"Masterton (Wellington)","1972","2022",1.5007459613339113e-5,NA,NA,NA,4.173353117206842,"Mann-Kendall",51,NA,514,15110,0.40911716786673963,"greater","Very likely increasing",-40.957,175.707,"Wellington",NA,NA
"Milford Sound (Southland)","1972","2022",0.9999908465892091,NA,NA,NA,-4.2846000465292615,"Mann-Kendall",51,NA,-528,15128.666666666666,-0.4182383221533473,"greater","Very likely decreasing",-44.67384,167.92406,"Southland",NA,NA
"Napier (Hawke's Bay)","1972","2022",0.9999840762102655,NA,NA,NA,-4.159836283836516,"Mann-Kendall",51,NA,-511,15031,-0.41398237820896766,"greater","Very likely decreasing",-39.49846,176.91189,"Hawke's Bay",NA,NA
