"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Dunedin (Otago)",2021,2,"2021-05-26","2021-08-21",-45.90129,170.5147
"Gisborne (Gisborne)",2021,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2021,21,"2021-05-13","2021-09-17",-46.115,168.887
"Hamilton (Waikato)",2021,17,"2021-05-03","2021-08-19",-37.86088,175.33175
"Hokitika (West Coast)",2021,4,"2021-06-30","2021-08-10",-42.71228,170.98428
"Invercargill (Southland)",2021,24,"2021-05-13","2021-09-18",-46.41741,168.33052
"Kerikeri (Northland)",2021,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2021,80,"2021-04-25","2021-11-04",-44.002,170.441
"Masterton (Wellington)",2021,35,"2021-04-29","2021-10-01",-40.957,175.707
"Milford Sound (Southland)",2021,12,"2021-05-25","2021-08-21",-44.67384,167.92406
"Napier (Hawke's Bay)",2021,3,"2021-07-05","2021-08-22",-39.49846,176.91189
"Nelson (Nelson)",2021,7,"2021-06-30","2021-07-14",-41.299,173.226
"New Plymouth (Taranaki)",2021,3,"2021-06-30","2021-08-10",-39.0079,174.18382
"Queenstown (Otago)",2021,61,"2021-04-28","2021-10-20",-45.01758,168.74005
"Reefton (West Coast)",2021,32,"2021-05-13","2021-09-28",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2021,16,"2021-05-03","2021-08-26",-38.10595,176.31485
"Tara Hills (Canterbury)",2021,103,"2021-04-03","2021-11-06",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2021,35,"2021-04-29","2021-10-15",-38.88784,175.25981
"Taupō (Waikato)",2021,32,"2021-05-02","2021-10-15",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2021,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2021,54,"2021-04-27","2021-11-05",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2021,52,"2021-01-30","2021-10-15",-39.46249,175.66283
"Wellington (Wellington)",2021,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2021,2,"2021-07-12","2021-07-13",-39.93704,175.04509
"Whangaparāoa (Auckland)",2021,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2021,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2020,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2020,32,"2020-04-15","2020-10-16",-41.52133,173.86439
"Christchurch (Canterbury)",2020,48,"2020-03-18","2020-09-30",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2020,15,"2020-05-21","2020-10-01",-40.21,176.109
"Dunedin (Otago)",2020,7,"2020-06-14","2020-09-30",-45.90129,170.5147
"Gisborne (Gisborne)",2020,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2020,34,"2020-05-13","2020-10-15",-46.115,168.887
"Hamilton (Waikato)",2020,15,"2020-05-20","2020-09-09",-37.86088,175.33175
"Hokitika (West Coast)",2020,3,"2020-07-02","2020-07-09",-42.71228,170.98428
"Invercargill (Southland)",2020,27,"2020-05-13","2020-10-15",-46.41741,168.33052
"Kerikeri (Northland)",2020,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2020,95,"2020-03-18","2020-12-27",-44.002,170.441
"Masterton (Wellington)",2020,36,"2020-05-02","2020-10-17",-40.957,175.707
"Milford Sound (Southland)",2020,22,"2020-06-07","2020-09-30",-44.67384,167.92406
"Napier (Hawke's Bay)",2020,5,"2020-05-22","2020-07-25",-39.49846,176.91189
"Nelson (Nelson)",2020,1,NA,NA,-41.299,173.226
"New Plymouth (Taranaki)",2020,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2020,61,"2020-05-16","2020-10-15",-45.01758,168.74005
"Reefton (West Coast)",2020,31,"2020-05-06","2020-10-16",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2020,26,"2020-05-07","2020-10-17",-38.10595,176.31485
"Tara Hills (Canterbury)",2020,97,"2020-03-18","2020-12-27",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2020,50,"2020-05-07","2020-10-17",-38.88784,175.25981
"Taupō (Waikato)",2020,33,"2020-05-07","2020-10-17",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2020,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2020,67,"2020-04-14","2020-10-16",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2020,47,"2020-05-07","2020-12-04",-39.46249,175.66283
"Wellington (Wellington)",2020,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2020,2,"2020-08-15","2020-08-16",-39.93704,175.04509
"Whangaparāoa (Auckland)",2020,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2020,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2019,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2019,38,"2019-04-13","2019-10-06",-41.52133,173.86439
"Christchurch (Canterbury)",2019,52,"2019-05-18","2019-10-31",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2019,15,"2019-04-19","2019-10-04",-40.21,176.109
"Dunedin (Otago)",2019,1,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)",2019,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2019,11,"2019-06-19","2019-09-14",-46.115,168.887
"Hamilton (Waikato)",2019,11,"2019-06-03","2019-08-19",-37.86088,175.33175
"Hokitika (West Coast)",2019,7,"2019-06-02","2019-08-18",-42.71228,170.98428
"Invercargill (Southland)",2019,15,"2019-04-06","2019-09-15",-46.41741,168.33052
"Kerikeri (Northland)",2019,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2019,98,"2019-03-01","2019-10-31",-44.002,170.441
"Masterton (Wellington)",2019,37,"2019-04-20","2019-10-06",-40.957,175.707
"Milford Sound (Southland)",2019,14,"2019-06-03","2019-09-10",-44.67384,167.92406
"Napier (Hawke's Bay)",2019,6,"2019-05-18","2019-08-20",-39.49846,176.91189
"Nelson (Nelson)",2019,6,"2019-06-06","2019-08-18",-41.299,173.226
"New Plymouth (Taranaki)",2019,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2019,55,"2019-04-07","2019-10-06",-45.01758,168.74005
"Reefton (West Coast)",2019,26,"2019-05-01","2019-10-06",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2019,11,"2019-06-03","2019-08-02",-38.10595,176.31485
"Tara Hills (Canterbury)",2019,116.00892857142857,"2019-02-25","2019-10-31",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2019,31,"2019-04-15","2019-10-03",-38.88784,175.25981
"Taupō (Waikato)",2019,36,"2019-04-14","2019-10-30",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2019,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2019,79,"2019-04-13","2019-10-25",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2019,41,"2019-04-18","2019-12-22",-39.46249,175.66283
"Wellington (Wellington)",2019,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2019,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2019,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2019,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2018,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2018,23,"2018-04-12","2018-10-13",-41.52133,173.86439
"Christchurch (Canterbury)",2018,35,"2018-04-12","2018-10-15",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2018,22,"2018-05-24","2018-10-19",-40.21,176.109
"Dunedin (Otago)",2018,5,"2018-05-30","2018-07-25",-45.90129,170.5147
"Gisborne (Gisborne)",2018,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2018,31,"2018-05-13","2018-10-11",-46.115,168.887
"Hamilton (Waikato)",2018,16,"2018-05-29","2018-08-19",-37.86088,175.33175
"Hokitika (West Coast)",2018,4,"2018-05-26","2018-09-07",-42.71228,170.98428
"Invercargill (Southland)",2018,33,"2018-04-14","2018-10-31",-46.41741,168.33052
"Kerikeri (Northland)",2018,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2018,113,"2018-04-10","2018-11-21",-44.002,170.441
"Masterton (Wellington)",2018,29,"2018-04-23","2018-10-19",-40.957,175.707
"Milford Sound (Southland)",2018,27,"2018-05-25","2018-08-20",-44.67384,167.92406
"Napier (Hawke's Bay)",2018,7,"2018-06-23","2018-09-10",-39.49846,176.91189
"Nelson (Nelson)",2018,9,"2018-05-29","2018-09-07",-41.299,173.226
"New Plymouth (Taranaki)",2018,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2018,76,"2018-04-14","2018-10-31",-45.01758,168.74005
"Reefton (West Coast)",2018,28,"2018-04-11","2018-10-13",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2018,14,"2018-05-31","2018-10-19",-38.10595,176.31485
"Tara Hills (Canterbury)",2018,106,"2018-04-01","2018-11-21",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2018,24,"2018-05-29","2018-10-15",-38.88784,175.25981
"Taupō (Waikato)",2018,42,"2018-04-12","2018-10-19",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2018,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2018,67,"2018-04-12","2018-10-15",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2018,45,"2018-05-26","2018-12-07",-39.46249,175.66283
"Wellington (Wellington)",2018,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2018,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2018,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2018,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2017,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2017,31,"2017-05-01","2017-09-12",-41.52133,173.86439
"Christchurch (Canterbury)",2017,44,"2017-05-02","2017-11-07",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2017,11,"2017-05-22","2017-08-23",-40.21,176.109
"Dunedin (Otago)",2017,6,"2017-06-26","2017-07-31",-45.90129,170.5147
"Gisborne (Gisborne)",2017,0,NA,NA,-38.6586,177.9851
"Gore (Southland)",2017,41,"2017-05-22","2017-09-02",-46.115,168.887
"Hamilton (Waikato)",2017,16,"2017-05-21","2017-08-24",-37.86088,175.33175
"Hokitika (West Coast)",2017,7,"2017-05-21","2017-08-05",-42.71228,170.98428
"Invercargill (Southland)",2017,38,"2017-05-22","2017-10-05",-46.41741,168.33052
"Kerikeri (Northland)",2017,1,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2017,92,"2017-01-05","2017-12-20",-44.002,170.441
"Masterton (Wellington)",2017,27,"2017-05-22","2017-10-19",-40.957,175.707
"Milford Sound (Southland)",2017,21,"2017-05-22","2017-09-12",-44.67384,167.92406
"Napier (Hawke's Bay)",2017,4,"2017-06-30","2017-07-31",-39.49846,176.91189
"Nelson (Nelson)",2017,8,"2017-06-15","2017-08-04",-41.299,173.226
"New Plymouth (Taranaki)",2017,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2017,66,"2017-05-01","2017-10-12",-45.01758,168.74005
"Reefton (West Coast)",2017,25,"2017-05-02","2017-09-04",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2017,12,"2017-05-21","2017-08-06",-38.10595,176.31485
"Tara Hills (Canterbury)",2017,102,"2017-01-05","2017-10-15",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2017,29,"2017-05-02","2017-08-25",-38.88784,175.25981
"Taupō (Waikato)",2017,33,"2017-04-21","2017-10-19",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2017,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2017,60,"2017-05-02","2017-10-06",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2017,37,"2017-04-21","2017-11-07",-39.46249,175.66283
"Wellington (Wellington)",2017,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2017,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2017,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2017,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2016,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2016,36,"2016-04-15","2016-09-21",-41.52133,173.86439
"Christchurch (Canterbury)",2016,46,"2016-06-03","2016-10-22",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2016,10,"2016-05-23","2016-08-17",-40.21,176.109
"Dunedin (Otago)",2016,11,"2016-06-08","2016-08-11",-45.90129,170.5147
"Gisborne (Gisborne)",2016,0,NA,NA,-38.6586,177.9851
"Gore (Southland)",2016,31,"2016-05-25","2016-09-10",-46.115,168.887
"Hamilton (Waikato)",2016,16,"2016-06-03","2016-09-11",-37.86088,175.33175
"Hokitika (West Coast)",2016,9,"2016-07-09","2016-09-09",-42.71228,170.98428
"Invercargill (Southland)",2016,28,"2016-05-24","2016-09-15",-46.41741,168.33052
"Kerikeri (Northland)",2016,2,"2016-07-02","2016-07-03",-35.183,173.926
"Lake Tekapo (Canterbury)",2016,76,"2016-03-12","2016-10-30",-44.002,170.441
"Masterton (Wellington)",2016,28,"2016-04-15","2016-09-12",-40.957,175.707
"Milford Sound (Southland)",2016,18,"2016-06-02","2016-08-12",-44.67384,167.92406
"Napier (Hawke's Bay)",2016,5,"2016-06-04","2016-07-22",-39.49846,176.91189
"Nelson (Nelson)",2016,10,"2016-07-02","2016-09-10",-41.299,173.226
"New Plymouth (Taranaki)",2016,2,"2016-07-02","2016-08-08",-39.0079,174.18382
"Queenstown (Otago)",2016,61,"2016-05-06","2016-10-30",-45.01758,168.74005
"Reefton (West Coast)",2016,28,"2016-06-02","2016-09-10",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2016,19,"2016-06-03","2016-09-11",-38.10595,176.31485
"Tara Hills (Canterbury)",2016,81,"2016-04-19","2016-10-30",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2016,30,"2016-06-01","2016-10-31",-38.88784,175.25981
"Taupō (Waikato)",2016,26,"2016-06-01","2016-10-31",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2016,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2016,62,"2016-05-17","2016-10-10",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2016,42,"2016-04-14","2016-10-31",-39.46249,175.66283
"Wellington (Wellington)",2016,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2016,4,"2016-08-08","2016-08-11",-39.93704,175.04509
"Whangaparāoa (Auckland)",2016,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2016,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2015,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2015,48,"2015-04-14","2015-11-13",-41.52133,173.86439
"Christchurch (Canterbury)",2015,47,"2015-05-23","2015-11-05",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2015,23,"2015-05-04","2015-11-14",-40.21,176.109
"Dunedin (Otago)",2015,11,"2015-06-17","2015-08-11",-45.90129,170.5147
"Gisborne (Gisborne)",2015,5,"2015-06-18","2015-09-15",-38.6586,177.9851
"Gore (Southland)",2015,30,"2015-05-25","2015-09-21",-46.115,168.887
"Hamilton (Waikato)",2015,23,"2015-05-28","2015-08-29",-37.86088,175.33175
"Hokitika (West Coast)",2015,17,"2015-05-26","2015-08-12",-42.71228,170.98428
"Invercargill (Southland)",2015,28,"2015-05-29","2015-09-25",-46.41741,168.33052
"Kerikeri (Northland)",2015,1,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2015,112,"2015-03-18","2015-11-19",-44.002,170.441
"Masterton (Wellington)",2015,39,"2015-04-15","2015-11-14",-40.957,175.707
"Milford Sound (Southland)",2015,38,"2015-05-28","2015-09-09",-44.67384,167.92406
"Napier (Hawke's Bay)",2015,15,"2015-05-26","2015-09-13",-39.49846,176.91189
"Nelson (Nelson)",2015,21,"2015-05-27","2015-08-12",-41.299,173.226
"New Plymouth (Taranaki)",2015,3,"2015-06-16","2015-07-21",-39.0079,174.18382
"Queenstown (Otago)",2015,81,"2015-03-19","2015-11-16",-45.01758,168.74005
"Reefton (West Coast)",2015,38,"2015-05-25","2015-09-27",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2015,24,"2015-04-15","2015-09-08",-38.10595,176.31485
"Tara Hills (Canterbury)",2015,111,"2015-03-19","2015-11-13",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2015,41,"2015-03-20","2015-11-06",-38.88784,175.25981
"Taupō (Waikato)",2015,46,"2015-04-15","2015-11-14",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2015,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2015,89,"2015-04-16","2015-11-05",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2015,62,"2015-03-20","2015-11-19",-39.46249,175.66283
"Wellington (Wellington)",2015,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2015,3,"2015-06-23","2015-07-14",-39.93704,175.04509
"Whangaparāoa (Auckland)",2015,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2015,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2014,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2014,36,"2014-05-17","2014-12-02",-41.52133,173.86439
"Christchurch (Canterbury)",2014,58,"2014-05-16","2014-11-20",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2014,12,"2014-05-18","2014-08-28",-40.21,176.109
"Dunedin (Otago)",2014,4,"2014-07-17","2014-08-08",-45.90129,170.5147
"Gisborne (Gisborne)",2014,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2014,22,"2014-05-01","2014-08-20",-46.115,168.887
"Hamilton (Waikato)",2014,20,"2014-05-17","2014-08-25",-37.86088,175.33175
"Hokitika (West Coast)",2014,12,"2014-07-03","2014-08-22",-42.71228,170.98428
"Invercargill (Southland)",2014,16,"2014-05-01","2014-09-29",-46.41741,168.33052
"Kerikeri (Northland)",2014,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2014,108.00892857142857,"2014-01-18","2014-12-02",-44.002,170.441
"Masterton (Wellington)",2014,22,"2014-05-17","2014-10-05",-40.957,175.707
"Milford Sound (Southland)",2014,28,"2014-05-27","2014-09-02",-44.67384,167.92406
"Napier (Hawke's Bay)",2014,4,"2014-05-17","2014-08-11",-39.49846,176.91189
"Nelson (Nelson)",2014,11,"2014-05-27","2014-08-15",-41.299,173.226
"New Plymouth (Taranaki)",2014,4,"2014-07-03","2014-08-15",-39.0079,174.18382
"Queenstown (Otago)",2014,78,"2014-04-30","2014-12-02",-45.01758,168.74005
"Reefton (West Coast)",2014,40,"2014-05-16","2014-09-29",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2014,18,"2014-05-17","2014-10-25",-38.10595,176.31485
"Tara Hills (Canterbury)",2014,109.00892857142857,"2014-02-24","2014-12-02",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2014,36,"2014-05-16","2014-10-25",-38.88784,175.25981
"Taupō (Waikato)",2014,35,"2014-03-04","2014-10-25",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2014,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2014,69,"2014-05-16","2014-10-25",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2014,51,"2014-01-28","2014-12-03",-39.46249,175.66283
"Wellington (Wellington)",2014,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2014,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2014,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2014,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2013,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2013,30,"2013-05-11","2013-09-18",-41.52133,173.86439
"Christchurch (Canterbury)",2013,38,"2013-04-10","2013-10-10",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2013,11,"2013-05-30","2013-09-19",-40.21,176.109
"Dunedin (Otago)",2013,6,"2013-06-05","2013-07-14",-45.90129,170.5147
"Gisborne (Gisborne)",2013,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2013,17,"2013-04-06","2013-10-09",-46.115,168.887
"Hamilton (Waikato)",2013,11,"2013-05-30","2013-09-18",-37.86088,175.33175
"Hokitika (West Coast)",2013,8,"2013-05-28","2013-07-15",-42.71228,170.98428
"Invercargill (Southland)",2013,18,"2013-04-10","2013-09-18",-46.41741,168.33052
"Kerikeri (Northland)",2013,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2013,92,"2013-04-04","2013-10-28",-44.002,170.441
"Masterton (Wellington)",2013,26,"2013-05-30","2013-09-19",-40.957,175.707
"Milford Sound (Southland)",2013,10,"2013-06-23","2013-09-18",-44.67384,167.92406
"Napier (Hawke's Bay)",2013,5,"2013-05-30","2013-07-29",-39.49846,176.91189
"Nelson (Nelson)",2013,7,"2013-05-30","2013-07-16",-41.299,173.226
"New Plymouth (Taranaki)",2013,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2013,60,"2013-04-06","2013-10-16",-45.01758,168.74005
"Reefton (West Coast)",2013,26,"2013-05-11","2013-09-17",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2013,10,"2013-05-30","2013-09-18",-38.10595,176.31485
"Tara Hills (Canterbury)",2013,98,"2013-04-04","2013-10-16",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2013,27,"2013-04-08","2013-09-19",-38.88784,175.25981
"Taupō (Waikato)",2013,26,"2013-04-08","2013-09-19",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2013,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2013,55,"2013-05-01","2013-10-29",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2013,36,"2013-04-07","2013-10-20",-39.46249,175.66283
"Wellington (Wellington)",2013,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2013,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2013,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2013,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2012,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2012,46,"2012-05-02","2012-11-07",-41.52133,173.86439
"Christchurch (Canterbury)",2012,55,"2012-04-25","2012-11-08",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2012,27,"2012-05-17","2012-11-09",-40.21,176.109
"Dunedin (Otago)",2012,7,"2012-06-07","2012-07-23",-45.90129,170.5147
"Gisborne (Gisborne)",2012,0,NA,NA,-38.6586,177.9851
"Gore (Southland)",2012,26,"2012-05-20","2012-11-06",-46.115,168.887
"Hamilton (Waikato)",2012,24,"2012-05-03","2012-09-13",-37.86088,175.33175
"Hokitika (West Coast)",2012,10,"2012-06-15","2012-09-12",-42.71228,170.98428
"Invercargill (Southland)",2012,28,"2012-05-07","2012-11-06",-46.41741,168.33052
"Kerikeri (Northland)",2012,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2012,100,"2012-03-26","2012-11-07",-44.002,170.441
"Masterton (Wellington)",2012,40,"2012-05-08","2012-10-20",-40.957,175.707
"Milford Sound (Southland)",2012,19,"2012-06-07","2012-07-27",-44.67384,167.92406
"Napier (Hawke's Bay)",2012,8,"2012-05-30","2012-09-13",-39.49846,176.91189
"Nelson (Nelson)",2012,9,"2012-06-13","2012-07-28",-41.299,173.226
"New Plymouth (Taranaki)",2012,2,"2012-06-13","2012-09-13",-39.0079,174.18382
"Queenstown (Otago)",2012,78,"2012-04-12","2012-11-06",-45.01758,168.74005
"Reefton (West Coast)",2012,40,"2012-05-02","2012-09-14",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2012,25,"2012-05-20","2012-10-24",-38.10595,176.31485
"Tara Hills (Canterbury)",2012,111,"2012-03-26","2012-11-19",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2012,59,"2012-04-19","2012-11-07",-38.88784,175.25981
"Taupō (Waikato)",2012,45,"2012-05-02","2012-12-01",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2012,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2012,72,"2012-03-21","2012-11-04",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2012,65,"2012-04-19","2012-11-10",-39.46249,175.66283
"Wellington (Wellington)",2012,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2012,3,"2012-07-01","2012-07-03",-39.93704,175.04509
"Whangaparāoa (Auckland)",2012,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2012,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2011,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2011,48,"2011-04-19","2011-10-10",-41.52133,173.86439
"Christchurch (Canterbury)",2011,50,"2011-04-28","2011-10-09",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2011,23,"2011-06-17","2011-09-27",-40.21,176.109
"Dunedin (Otago)",2011,7,"2011-07-07","2011-08-20",-45.90129,170.5147
"Gisborne (Gisborne)",2011,3,"2011-07-19","2011-08-01",-38.6586,177.9851
"Gore (Southland)",2011,32,"2011-04-27","2011-10-27",-46.115,168.887
"Hamilton (Waikato)",2011,17,"2011-07-02","2011-08-22",-37.86088,175.33175
"Hokitika (West Coast)",2011,9,"2011-07-16","2011-08-20",-42.71228,170.98428
"Invercargill (Southland)",2011,26,"2011-04-27","2011-10-27",-46.41741,168.33052
"Kerikeri (Northland)",2011,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2011,91,"2011-04-02","2011-11-05",-44.002,170.441
"Masterton (Wellington)",2011,41,"2011-05-19","2011-10-10",-40.957,175.707
"Milford Sound (Southland)",2011,26,"2011-07-01","2011-09-18",-44.67384,167.92406
"Napier (Hawke's Bay)",2011,13,"2011-06-17","2011-09-22",-39.49846,176.91189
"Nelson (Nelson)",2011,11,"2011-07-04","2011-08-20",-41.299,173.226
"New Plymouth (Taranaki)",2011,4,"2011-07-16","2011-08-21",-39.0079,174.18382
"Queenstown (Otago)",2011,82,"2011-04-19","2011-11-05",-45.01758,168.74005
"Reefton (West Coast)",2011,29,"2011-04-19","2011-09-26",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2011,16,"2011-05-19","2011-09-27",-38.10595,176.31485
"Tara Hills (Canterbury)",2011,109,"2011-04-02","2011-11-05",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2011,38,"2011-04-08","2011-09-30",-38.88784,175.25981
"Taupō (Waikato)",2011,39,"2011-04-08","2011-09-30",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2011,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2011,82,"2011-04-19","2011-11-05",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2011,48,"2011-03-08","2011-10-09",-39.46249,175.66283
"Wellington (Wellington)",2011,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2011,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2011,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2011,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2010,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2010,25,"2010-04-11","2010-10-12",-41.52133,173.86439
"Christchurch (Canterbury)",2010,44,"2010-04-08","2010-10-19",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2010,11,"2010-06-05","2010-08-12",-40.21,176.109
