"site","season","precipitation","precipitation_units","period_start","period_end","lat","lon","anomaly_1961","anomaly_1991"
"Auckland (Auckland)","Spring",386,"mm","2022-09-01","2022-11-30",-37.00813,174.78873,130.5,135.1
"Blenheim (Marlborough)","Spring",194.29999999999998,"mm","2022-09-01","2022-11-30",-41.52133,173.86439,23.1,14.8
"Christchurch (Canterbury)","Spring",183,"mm","2022-09-01","2022-11-30",-43.493,172.537,47.1,46.1
"Dannevirke (Manawatū-Whanganui)","Spring",312.6,"mm","2022-09-01","2022-11-30",-40.21,176.109,69.2,33.7
"Dunedin (Otago)","Spring",119.8,"mm","2022-09-01","2022-11-30",-45.90129,170.5147,-33.7,-44.7
"Gisborne (Gisborne)","Spring",340.9,"mm","2022-09-01","2022-11-30",-38.6586,177.9851,133.2,143.1
"Gore (Southland)","Spring",245.4,"mm","2022-09-01","2022-11-30",-46.115,168.887,33.9,4.8
"Hamilton (Waikato)","Spring",538.2,"mm","2022-09-01","2022-11-30",-37.86088,175.33175,237.7,239
"Hokitika (West Coast)","Spring",653.9,"mm","2022-09-01","2022-11-30",-42.71228,170.98428,-130.5,-98.5
"Invercargill (Southland)","Spring",284.7,"mm","2022-09-01","2022-11-30",-46.41741,168.33052,30.7,-4
"Kerikeri (Northland)","Spring",533,"mm","2022-09-01","2022-11-30",-35.183,173.926,163.9,195.5
"Lake Tekapo (Canterbury)","Spring",140.20000000000002,"mm","2022-09-01","2022-11-30",-44.002,170.441,-10.3,-7.7
"Masterton (Wellington)","Spring",370,"mm","2022-09-01","2022-11-30",-40.957,175.707,186.6,154.3
"Milford Sound (Southland)","Spring",1311.6,"mm","2022-09-01","2022-11-30",-44.67384,167.92406,-294.2,-320.1
"Napier (Hawke's Bay)","Spring",264.1,"mm","2022-09-01","2022-11-30",-39.49846,176.91189,109.7,98.1
"Nelson (Nelson)","Spring",216.6,"mm","2022-09-01","2022-11-30",-41.299,173.226,-17.1,-10.3
"New Plymouth (Taranaki)","Spring",455.6,"mm","2022-09-01","2022-11-30",-39.0079,174.18382,102.2,104.4
"Queenstown (Otago)","Spring",178.6,"mm","2022-09-01","2022-11-30",-45.01758,168.74005,1.6,-6.1
"Reefton (West Coast)","Spring",408.2,"mm","2022-09-01","2022-11-30",-42.11578,171.86014,-151.9,-107.6
"Rotorua (Bay of Plenty)","Spring",695,"mm","2022-09-01","2022-11-30",-38.10595,176.31485,353.7,412.1
"Tara Hills (Canterbury)","Spring",112.60000000000001,"mm","2022-09-01","2022-11-30",-44.52612,169.88948,-24,-12.6
"Taumarunui (Manawatū-Whanganui)","Spring",531,"mm","2022-09-01","2022-11-30",-38.88784,175.25981,155.6,129.5
"Taupō (Waikato)","Spring",509.6,"mm","2022-09-01","2022-11-30",-38.74263,176.08104,282.5,291.8
"Tauranga (Bay of Plenty)","Spring",566.4,"mm","2022-09-01","2022-11-30",-37.673,176.196,271.6,333.2
"Timaru (Canterbury)","Spring",177,"mm","2022-09-01","2022-11-30",-44.30517,171.22141,51.2,38.9
"Waiouru (Manawatū-Whanganui)","Spring",312.6,"mm","2022-09-01","2022-11-30",-39.46249,175.66283,57.6,10.6
"Wellington (Wellington)","Spring",347.4,"mm","2022-09-01","2022-11-30",-41.285,174.768,32.8,14.3
"Whanganui (Manawatū-Whanganui)","Spring",293.8,"mm","2022-09-01","2022-11-30",-39.93704,175.04509,88.3,53.5
"Whangaparāoa (Auckland)","Spring",344.1,"mm","2022-09-01","2022-11-30",-36.606,174.835,84.3,122.4
"Whangārei (Northland)","Spring",620.6,"mm","2022-09-01","2022-11-30",-35.769,174.364,301.3,355.1
"Auckland (Auckland)","Winter",560.6,"mm","2022-06-01","2022-08-31",-37.00813,174.78873,200.8,190.8
"Blenheim (Marlborough)","Winter",561.8,"mm","2022-06-01","2022-08-31",-41.52133,173.86439,364.3,353.5
"Christchurch (Canterbury)","Winter",402.2,"mm","2022-06-01","2022-08-31",-43.493,172.537,223.7,211.7
"Dannevirke (Manawatū-Whanganui)","Winter",440.8,"mm","2022-06-01","2022-08-31",-40.21,176.109,144.7,169
"Dunedin (Otago)","Winter",285.4,"mm","2022-06-01","2022-08-31",-45.90129,170.5147,113.8,126
"Gisborne (Gisborne)","Winter",257.8,"mm","2022-06-01","2022-08-31",-38.6586,177.9851,-90.6,-59.7
"Gore (Southland)","Winter",240,"mm","2022-06-01","2022-08-31",-46.115,168.887,54.7,45.3
"Hamilton (Waikato)","Winter",544.8,"mm","2022-06-01","2022-08-31",-37.86088,175.33175,172.1,163.4
"Hokitika (West Coast)","Winter",1131.7,"mm","2022-06-01","2022-08-31",-42.71228,170.98428,459.7,399.2
"Invercargill (Southland)","Winter",268.6,"mm","2022-06-01","2022-08-31",-46.41741,168.33052,34.9,-4
"Kerikeri (Northland)","Winter",1088,"mm","2022-06-01","2022-08-31",-35.183,173.926,522.4,537.3
"Lake Tekapo (Canterbury)","Winter",357.3,"mm","2022-06-01","2022-08-31",-44.002,170.441,187.5,196.4
"Masterton (Wellington)","Winter",387,"mm","2022-06-01","2022-08-31",-40.957,175.707,121.1,117.5
"Milford Sound (Southland)","Winter",1820.6999999999998,"mm","2022-06-01","2022-08-31",-44.67384,167.92406,719.3,537.9
"Napier (Hawke's Bay)","Winter",212.8,"mm","2022-06-01","2022-08-31",-39.49846,176.91189,-22.9,-20.4
"Nelson (Nelson)","Winter",710.5999999999999,"mm","2022-06-01","2022-08-31",-41.299,173.226,465,463.7
"New Plymouth (Taranaki)","Winter",763.8,"mm","2022-06-01","2022-08-31",-39.0079,174.18382,307.2,349
"Queenstown (Otago)","Winter",318.8,"mm","2022-06-01","2022-08-31",-45.01758,168.74005,165.8,143.3
"Reefton (West Coast)","Winter",767.2,"mm","2022-06-01","2022-08-31",-42.11578,171.86014,242.6,230.4
"Rotorua (Bay of Plenty)","Winter",711.1,"mm","2022-06-01","2022-08-31",-38.10595,176.31485,299.2,318.8
"Tara Hills (Canterbury)","Winter",398.8,"mm","2022-06-01","2022-08-31",-44.52612,169.88948,281.5,276.8
"Taumarunui (Manawatū-Whanganui)","Winter",575,"mm","2022-06-01","2022-08-31",-38.88784,175.25981,188.1,143.4
"Taupō (Waikato)","Winter",423,"mm","2022-06-01","2022-08-31",-38.74263,176.08104,162.7,141.9
"Tauranga (Bay of Plenty)","Winter",616.8000000000001,"mm","2022-06-01","2022-08-31",-37.673,176.196,228.4,255.2
"Timaru (Canterbury)","Winter",296,"mm","2022-06-01","2022-08-31",-44.30517,171.22141,179,165
"Waiouru (Manawatū-Whanganui)","Winter",209.4,"mm","2022-06-01","2022-08-31",-39.46249,175.66283,-89,-134.9
"Wellington (Wellington)","Winter",743.8,"mm","2022-06-01","2022-08-31",-41.285,174.768,303.5,340.6
"Whanganui (Manawatū-Whanganui)","Winter",308.4,"mm","2022-06-01","2022-08-31",-39.93704,175.04509,67.6,46.9
"Whangaparāoa (Auckland)","Winter",384.2,"mm","2022-06-01","2022-08-31",-36.606,174.835,18.3,58.1
"Whangārei (Northland)","Winter",622.8,"mm","2022-06-01","2022-08-31",-35.769,174.364,136.9,174.8
"Auckland (Auckland)","Autumn",232.4,"mm","2022-03-01","2022-05-31",-37.00813,174.78873,-42.2,-46.4
"Blenheim (Marlborough)","Autumn",116.2,"mm","2022-03-01","2022-05-31",-41.52133,173.86439,-67.7,-52.2
"Christchurch (Canterbury)","Autumn",109.4,"mm","2022-03-01","2022-05-31",-43.493,172.537,-58.8,-51.4
"Dannevirke (Manawatū-Whanganui)","Autumn",239.2,"mm","2022-03-01","2022-05-31",-40.21,176.109,-20,5.8
"Dunedin (Otago)","Autumn",66,"mm","2022-03-01","2022-05-31",-45.90129,170.5147,-120.2,-105.6
"Gisborne (Gisborne)","Autumn",488.4,"mm","2022-03-01","2022-05-31",-38.6586,177.9851,222.1,184.9
"Gore (Southland)","Autumn",236.6,"mm","2022-03-01","2022-05-31",-46.115,168.887,-15.4,2.9
"Hamilton (Waikato)","Autumn",270.8,"mm","2022-03-01","2022-05-31",-37.86088,175.33175,-8.1,-18.5
"Hokitika (West Coast)","Autumn",568.6,"mm","2022-03-01","2022-05-31",-42.71228,170.98428,-133.2,-143.3
"Invercargill (Southland)","Autumn",268.3,"mm","2022-03-01","2022-05-31",-46.41741,168.33052,-42.1,-20.6
"Kerikeri (Northland)","Autumn",488,"mm","2022-03-01","2022-05-31",-35.183,173.926,89.4,60.9
"Lake Tekapo (Canterbury)","Autumn",67,"mm","2022-03-01","2022-05-31",-44.002,170.441,-84.5,-90.6
"Masterton (Wellington)","Autumn",193.6,"mm","2022-03-01","2022-05-31",-40.957,175.707,-12.6,-14.6
"Milford Sound (Southland)","Autumn",1455.8999999999999,"mm","2022-03-01","2022-05-31",-44.67384,167.92406,-181,-159.5
"Napier (Hawke's Bay)","Autumn",231.2,"mm","2022-03-01","2022-05-31",-39.49846,176.91189,27,36
"Nelson (Nelson)","Autumn",167.2,"mm","2022-03-01","2022-05-31",-41.299,173.226,-80.4,-62
"New Plymouth (Taranaki)","Autumn",310.4,"mm","2022-03-01","2022-05-31",-39.0079,174.18382,-62,-46.6
"Queenstown (Otago)","Autumn",105.6,"mm","2022-03-01","2022-05-31",-45.01758,168.74005,-81.5,-72.2
"Reefton (West Coast)","Autumn",379.8,"mm","2022-03-01","2022-05-31",-42.11578,171.86014,-99.4,-50.9
"Rotorua (Bay of Plenty)","Autumn",440.40000000000003,"mm","2022-03-01","2022-05-31",-38.10595,176.31485,97.6,75.3
"Tara Hills (Canterbury)","Autumn",78.4,"mm","2022-03-01","2022-05-31",-44.52612,169.88948,-68.3,-42.9
"Taumarunui (Manawatū-Whanganui)","Autumn",285,"mm","2022-03-01","2022-05-31",-38.88784,175.25981,-18.8,-45.8
"Taupō (Waikato)","Autumn",241.2,"mm","2022-03-01","2022-05-31",-38.74263,176.08104,31.2,18.7
"Tauranga (Bay of Plenty)","Autumn",411.4,"mm","2022-03-01","2022-05-31",-37.673,176.196,65.6,60.5
"Timaru (Canterbury)","Autumn",79.8,"mm","2022-03-01","2022-05-31",-44.30517,171.22141,-67.8,-48.7
"Waiouru (Manawatū-Whanganui)","Autumn",231.2,"mm","2022-03-01","2022-05-31",-39.46249,175.66283,-13.5,-23.9
"Wellington (Wellington)","Autumn",209.60000000000002,"mm","2022-03-01","2022-05-31",-41.285,174.768,-132.8,-101.6
"Whanganui (Manawatū-Whanganui)","Autumn",245.39999999999998,"mm","2022-03-01","2022-05-31",-39.93704,175.04509,34.4,21.1
"Whangaparāoa (Auckland)","Autumn",206.2,"mm","2022-03-01","2022-05-31",-36.606,174.835,-59.9,-68
"Whangārei (Northland)","Autumn",545.4,"mm","2022-03-01","2022-05-31",-35.769,174.364,173,226
"Auckland (Auckland)","Annual",1358,"mm","2022-01-01","2022-12-31",-37.00813,174.78873,228.1,258.3
"Blenheim (Marlborough)","Annual",1127.5,"mm","2022-01-01","2022-12-31",-41.52133,173.86439,432.9,421.9
"Christchurch (Canterbury)","Annual",942,"mm","2022-01-01","2022-12-31",-43.493,172.537,326.2,323.8
"Dannevirke (Manawatū-Whanganui)","Annual",1299.4,"mm","2022-01-01","2022-12-31",-40.21,176.109,269.9,290.4
"Dunedin (Otago)","Annual",588.8,"mm","2022-01-01","2022-12-31",-45.90129,170.5147,-98.2,-111.2
"Gisborne (Gisborne)","Annual",1356.5,"mm","2022-01-01","2022-12-31",-38.6586,177.9851,334.9,336.3
"Gore (Southland)","Annual",977.8,"mm","2022-01-01","2022-12-31",-46.115,168.887,75.6,39.4
"Hamilton (Waikato)","Annual",1554.2,"mm","2022-01-01","2022-12-31",-37.86088,175.33175,335,333.7
"Hokitika (West Coast)","Annual",2925.8,"mm","2022-01-01","2022-12-31",-42.71228,170.98428,101.5,19.8
"Invercargill (Southland)","Annual",964.7,"mm","2022-01-01","2022-12-31",-46.41741,168.33052,-116.9,-164.8
"Kerikeri (Northland)","Annual",2427.8,"mm","2022-01-01","2022-12-31",-35.183,173.926,798.4,783.8
"Lake Tekapo (Canterbury)","Annual",704.5,"mm","2022-01-01","2022-12-31",-44.002,170.441,106.7,105.2
"Masterton (Wellington)","Annual",1434.5,"mm","2022-01-01","2022-12-31",-40.957,175.707,626.2,579.9
"Milford Sound (Southland)","Annual",5420.9,"mm","2022-01-01","2022-12-31",-44.67384,167.92406,-538.9,-784.2
"Napier (Hawke's Bay)","Annual",979.9,"mm","2022-01-01","2022-12-31",-39.49846,176.91189,225.1,227.7
"Nelson (Nelson)","Annual",1364.3999999999999,"mm","2022-01-01","2022-12-31",-41.299,173.226,444.6,443.9
"New Plymouth (Taranaki)","Annual",1935.4,"mm","2022-01-01","2022-12-31",-39.0079,174.18382,437.1,521.1
"Queenstown (Otago)","Annual",730.2,"mm","2022-01-01","2022-12-31",-45.01758,168.74005,57.1,4.3
"Reefton (West Coast)","Annual",2057.6,"mm","2022-01-01","2022-12-31",-42.11578,171.86014,69.9,165
"Rotorua (Bay of Plenty)","Annual",2199.5,"mm","2022-01-01","2022-12-31",-38.10595,176.31485,756.6,853
"Tara Hills (Canterbury)","Annual",762.2,"mm","2022-01-01","2022-12-31",-44.52612,169.88948,211.6,249
"Taumarunui (Manawatū-Whanganui)","Annual",1725,"mm","2022-01-01","2022-12-31",-38.88784,175.25981,351.4,245.1
"Taupō (Waikato)","Annual",1523.4,"mm","2022-01-01","2022-12-31",-38.74263,176.08104,588.1,576.6
"Tauranga (Bay of Plenty)","Annual",1840.7,"mm","2022-01-01","2022-12-31",-37.673,176.196,522.9,636.5
"Timaru (Canterbury)","Annual",789.6,"mm","2022-01-01","2022-12-31",-44.30517,171.22141,259.9,241.2
"Waiouru (Manawatū-Whanganui)","Annual",954,"mm","2022-01-01","2022-12-31",-39.46249,175.66283,-86.5,-184.8
"Wellington (Wellington)","Annual",1763,"mm","2022-01-01","2022-12-31",-41.285,174.768,422.9,467.5
"Whanganui (Manawatū-Whanganui)","Annual",1150.2,"mm","2022-01-01","2022-12-31",-39.93704,175.04509,291.1,209.6
"Whangaparāoa (Auckland)","Annual",1106.7,"mm","2022-01-01","2022-12-31",-36.606,174.835,-9.2,80.2
"Whangārei (Northland)","Annual",2118.1,"mm","2022-01-01","2022-12-31",-35.769,174.364,640.2,835
"Auckland (Auckland)","Summer",178.20000000000002,"mm","2021-12-01","2022-02-28",-37.00813,174.78873,-63.1,-21.6
"Blenheim (Marlborough)","Summer",284.8,"mm","2021-12-01","2022-02-28",-41.52133,173.86439,142.8,135.9
"Christchurch (Canterbury)","Summer",314.2,"mm","2021-12-01","2022-02-28",-43.493,172.537,179.6,185
"Dannevirke (Manawatū-Whanganui)","Summer",375.6,"mm","2021-12-01","2022-02-28",-40.21,176.109,140,151.2
"Dunedin (Otago)","Summer",150.4,"mm","2021-12-01","2022-02-28",-45.90129,170.5147,-25.1,-53.5
"Gisborne (Gisborne)","Summer",283.29999999999995,"mm","2021-12-01","2022-02-28",-38.6586,177.9851,80.7,81.9
"Gore (Southland)","Summer",194.4,"mm","2021-12-01","2022-02-28",-46.115,168.887,-56.3,-76.6
"Hamilton (Waikato)","Summer",175.20000000000002,"mm","2021-12-01","2022-02-28",-37.86088,175.33175,-92.5,-75.2
"Hokitika (West Coast)","Summer",830.1999999999999,"mm","2021-12-01","2022-02-28",-42.71228,170.98428,176.6,116
"Invercargill (Southland)","Summer",145.5,"mm","2021-12-01","2022-02-28",-46.41741,168.33052,-133.9,-136.3
"Kerikeri (Northland)","Summer",300.6,"mm","2021-12-01","2022-02-28",-35.183,173.926,1.1,-28.4
"Lake Tekapo (Canterbury)","Summer",178.2,"mm","2021-12-01","2022-02-28",-44.002,170.441,52.4,45
"Masterton (Wellington)","Summer",541.3,"mm","2021-12-01","2022-02-28",-40.957,175.707,386,380.2
"Milford Sound (Southland)","Summer",1248,"mm","2021-12-01","2022-02-28",-44.67384,167.92406,-339,-451.4
"Napier (Hawke's Bay)","Summer",309.8,"mm","2021-12-01","2022-02-28",-39.49846,176.91189,145.6,152.2
"Nelson (Nelson)","Summer",317.6,"mm","2021-12-01","2022-02-28",-41.299,173.226,123.6,102.4
"New Plymouth (Taranaki)","Summer",544.4,"mm","2021-12-01","2022-02-28",-39.0079,174.18382,228.5,256.5
"Queenstown (Otago)","Summer",179.39999999999998,"mm","2021-12-01","2022-02-28",-45.01758,168.74005,25.9,-10.2
"Reefton (West Coast)","Summer",562.6,"mm","2021-12-01","2022-02-28",-42.11578,171.86014,142.1,153.2
"Rotorua (Bay of Plenty)","Summer",349.4,"mm","2021-12-01","2022-02-28",-38.10595,176.31485,2.9,43
"Tara Hills (Canterbury)","Summer",200,"mm","2021-12-01","2022-02-28",-44.52612,169.88948,51.5,54.6
"Taumarunui (Manawatū-Whanganui)","Summer",272.8,"mm","2021-12-01","2022-02-28",-38.88784,175.25981,-34.5,-42
"Taupō (Waikato)","Summer",299.6,"mm","2021-12-01","2022-02-28",-38.74263,176.08104,61.6,74.6
"Tauranga (Bay of Plenty)","Summer",225.1,"mm","2021-12-01","2022-02-28",-37.673,176.196,-65,-33.5
"Timaru (Canterbury)","Summer",256,"mm","2021-12-01","2022-02-28",-44.30517,171.22141,116.1,105
"Waiouru (Manawatū-Whanganui)","Summer",200,"mm","2021-12-01","2022-02-28",-39.46249,175.66283,-44.6,-36.9
"Wellington (Wellington)","Summer",594.6,"mm","2021-12-01","2022-02-28",-41.285,174.768,351.3,348.2
"Whanganui (Manawatū-Whanganui)","Summer",404.6,"mm","2021-12-01","2022-02-28",-39.93704,175.04509,202.7,191.5
"Whangaparāoa (Auckland)","Summer",142.4,"mm","2021-12-01","2022-02-28",-36.606,174.835,-84.2,-62.3
"Whangārei (Northland)","Summer",206.2,"mm","2021-12-01","2022-02-28",-35.769,174.364,-98.7,-44.1
"Auckland (Auckland)","Spring",253.8,"mm","2021-09-01","2021-11-30",-37.00813,174.78873,-1.7,2.9
"Blenheim (Marlborough)","Spring",164,"mm","2021-09-01","2021-11-30",-41.52133,173.86439,-7.2,-15.5
"Christchurch (Canterbury)","Spring",131,"mm","2021-09-01","2021-11-30",-43.493,172.537,-4.9,-5.9
"Dannevirke (Manawatū-Whanganui)","Spring",241.4,"mm","2021-09-01","2021-11-30",-40.21,176.109,-2,-37.5
"Dunedin (Otago)","Spring",141.4,"mm","2021-09-01","2021-11-30",-45.90129,170.5147,-12.1,-23.1
"Gisborne (Gisborne)","Spring",436,"mm","2021-09-01","2021-11-30",-38.6586,177.9851,228.3,238.2
"Gore (Southland)","Spring",230.4,"mm","2021-09-01","2021-11-30",-46.115,168.887,18.9,-10.2
"Hamilton (Waikato)","Spring",362.4,"mm","2021-09-01","2021-11-30",-37.86088,175.33175,61.9,63.2
"Hokitika (West Coast)","Spring",850.3,"mm","2021-09-01","2021-11-30",-42.71228,170.98428,65.9,97.9
"Invercargill (Southland)","Spring",300.5,"mm","2021-09-01","2021-11-30",-46.41741,168.33052,46.5,11.8
"Kerikeri (Northland)","Spring",713,"mm","2021-09-01","2021-11-30",-35.183,173.926,343.9,375.5
"Lake Tekapo (Canterbury)","Spring",192.9,"mm","2021-09-01","2021-11-30",-44.002,170.441,42.4,45
"Masterton (Wellington)","Spring",162,"mm","2021-09-01","2021-11-30",-40.957,175.707,-21.4,-53.7
"Milford Sound (Southland)","Spring",1567,"mm","2021-09-01","2021-11-30",-44.67384,167.92406,-38.8,-64.7
"Napier (Hawke's Bay)","Spring",196.20000000000002,"mm","2021-09-01","2021-11-30",-39.49846,176.91189,41.8,30.2
"Nelson (Nelson)","Spring",243.2,"mm","2021-09-01","2021-11-30",-41.299,173.226,9.5,16.2
"New Plymouth (Taranaki)","Spring",384,"mm","2021-09-01","2021-11-30",-39.0079,174.18382,30.6,32.8
"Queenstown (Otago)","Spring",181.4,"mm","2021-09-01","2021-11-30",-45.01758,168.74005,4.4,-3.3
"Reefton (West Coast)","Spring",633,"mm","2021-09-01","2021-11-30",-42.11578,171.86014,72.9,117.2
"Rotorua (Bay of Plenty)","Spring",315.7,"mm","2021-09-01","2021-11-30",-38.10595,176.31485,-25.6,32.8
"Tara Hills (Canterbury)","Spring",160,"mm","2021-09-01","2021-11-30",-44.52612,169.88948,23.3,34.8
"Taumarunui (Manawatū-Whanganui)","Spring",329,"mm","2021-09-01","2021-11-30",-38.88784,175.25981,-46.4,-72.5
"Taupō (Waikato)","Spring",257.4,"mm","2021-09-01","2021-11-30",-38.74263,176.08104,30.3,39.6
"Tauranga (Bay of Plenty)","Spring",271.4,"mm","2021-09-01","2021-11-30",-37.673,176.196,-23.4,38.2
"Timaru (Canterbury)","Spring",113,"mm","2021-09-01","2021-11-30",-44.30517,171.22141,-12.8,-25.1
"Waiouru (Manawatū-Whanganui)","Spring",256.3,"mm","2021-09-01","2021-11-30",-39.46249,175.66283,1.3,-45.7
"Wellington (Wellington)","Spring",267.6,"mm","2021-09-01","2021-11-30",-41.285,174.768,-47,-65.5
"Whanganui (Manawatū-Whanganui)","Spring",287.20000000000005,"mm","2021-09-01","2021-11-30",-39.93704,175.04509,81.7,46.9
"Whangaparāoa (Auckland)","Spring",262.5,"mm","2021-09-01","2021-11-30",-36.606,174.835,2.7,40.8
"Whangārei (Northland)","Spring",445.6,"mm","2021-09-01","2021-11-30",-35.769,174.364,126.3,180.1
"Auckland (Auckland)","Winter",280.6,"mm","2021-06-01","2021-08-31",-37.00813,174.78873,-79.2,-89.2
"Blenheim (Marlborough)","Winter",335,"mm","2021-06-01","2021-08-31",-41.52133,173.86439,137.5,126.7
"Christchurch (Canterbury)","Winter",159.39999999999998,"mm","2021-06-01","2021-08-31",-43.493,172.537,-19.1,-31.1
"Dannevirke (Manawatū-Whanganui)","Winter",205.60000000000002,"mm","2021-06-01","2021-08-31",-40.21,176.109,-90.5,-66.2
"Dunedin (Otago)","Winter",142.39999999999998,"mm","2021-06-01","2021-08-31",-45.90129,170.5147,-29.2,-17
"Gisborne (Gisborne)","Winter",241.1,"mm","2021-06-01","2021-08-31",-38.6586,177.9851,-107.3,-76.4
"Gore (Southland)","Winter",218.8,"mm","2021-06-01","2021-08-31",-46.115,168.887,33.5,24.1
"Hamilton (Waikato)","Winter",374.4,"mm","2021-06-01","2021-08-31",-37.86088,175.33175,1.7,-7
"Hokitika (West Coast)","Winter",931.2,"mm","2021-06-01","2021-08-31",-42.71228,170.98428,259.2,198.7
"Invercargill (Southland)","Winter",305.8,"mm","2021-06-01","2021-08-31",-46.41741,168.33052,72.1,33.2
"Kerikeri (Northland)","Winter",658.6,"mm","2021-06-01","2021-08-31",-35.183,173.926,93,107.9
"Lake Tekapo (Canterbury)","Winter",225.8,"mm","2021-06-01","2021-08-31",-44.002,170.441,56,64.9
"Masterton (Wellington)","Winter",363.40000000000003,"mm","2021-06-01","2021-08-31",-40.957,175.707,97.5,93.9
"Milford Sound (Southland)","Winter",1838.8000000000002,"mm","2021-06-01","2021-08-31",-44.67384,167.92406,737.4,556
"Napier (Hawke's Bay)","Winter",164.6,"mm","2021-06-01","2021-08-31",-39.49846,176.91189,-71.1,-68.7
"Nelson (Nelson)","Winter",422.8,"mm","2021-06-01","2021-08-31",-41.299,173.226,177.2,175.9
"New Plymouth (Taranaki)","Winter",381.2,"mm","2021-06-01","2021-08-31",-39.0079,174.18382,-75.4,-33.6
"Queenstown (Otago)","Winter",235,"mm","2021-06-01","2021-08-31",-45.01758,168.74005,82,59.5
"Reefton (West Coast)","Winter",733.8,"mm","2021-06-01","2021-08-31",-42.11578,171.86014,209.2,197
"Rotorua (Bay of Plenty)","Winter",400.6,"mm","2021-06-01","2021-08-31",-38.10595,176.31485,-11.3,8.3
"Tara Hills (Canterbury)","Winter",155.2,"mm","2021-06-01","2021-08-31",-44.52612,169.88948,37.9,33.2
"Taumarunui (Manawatū-Whanganui)","Winter",396,"mm","2021-06-01","2021-08-31",-38.88784,175.25981,9.1,-35.6
"Taupō (Waikato)","Winter",309.2,"mm","2021-06-01","2021-08-31",-38.74263,176.08104,48.9,28.1
"Tauranga (Bay of Plenty)","Winter",300,"mm","2021-06-01","2021-08-31",-37.673,176.196,-88.4,-61.6
"Timaru (Canterbury)","Winter",68.4,"mm","2021-06-01","2021-08-31",-44.30517,171.22141,-48.6,-62.6
"Waiouru (Manawatū-Whanganui)","Winter",350.8,"mm","2021-06-01","2021-08-31",-39.46249,175.66283,52.4,6.5
"Wellington (Wellington)","Winter",499,"mm","2021-06-01","2021-08-31",-41.285,174.768,58.7,95.8
"Whanganui (Manawatū-Whanganui)","Winter",264.6,"mm","2021-06-01","2021-08-31",-39.93704,175.04509,23.8,3.1
"Whangaparāoa (Auckland)","Winter",322.79999999999995,"mm","2021-06-01","2021-08-31",-36.606,174.835,-43.1,-3.3
"Whangārei (Northland)","Winter",586.2,"mm","2021-06-01","2021-08-31",-35.769,174.364,100.3,138.2
"Auckland (Auckland)","Autumn",181.8,"mm","2021-03-01","2021-05-31",-37.00813,174.78873,-92.8,-97
"Blenheim (Marlborough)","Autumn",186.6,"mm","2021-03-01","2021-05-31",-41.52133,173.86439,2.7,18.2
"Christchurch (Canterbury)","Autumn",207.6,"mm","2021-03-01","2021-05-31",-43.493,172.537,39.4,46.8
"Dannevirke (Manawatū-Whanganui)","Autumn",135.5,"mm","2021-03-01","2021-05-31",-40.21,176.109,-123.7,-97.9
"Dunedin (Otago)","Autumn",83,"mm","2021-03-01","2021-05-31",-45.90129,170.5147,-103.2,-88.6
"Gisborne (Gisborne)","Autumn",212.5,"mm","2021-03-01","2021-05-31",-38.6586,177.9851,-53.8,-91
"Gore (Southland)","Autumn",163.79999999999998,"mm","2021-03-01","2021-05-31",-46.115,168.887,-88.2,-69.9
"Hamilton (Waikato)","Autumn",306.4,"mm","2021-03-01","2021-05-31",-37.86088,175.33175,27.5,17.1
"Hokitika (West Coast)","Autumn",817.7,"mm","2021-03-01","2021-05-31",-42.71228,170.98428,115.9,105.8
"Invercargill (Southland)","Autumn",277.2,"mm","2021-03-01","2021-05-31",-46.41741,168.33052,-33.2,-11.7
"Kerikeri (Northland)","Autumn",341.8,"mm","2021-03-01","2021-05-31",-35.183,173.926,-56.8,-85.3
"Lake Tekapo (Canterbury)","Autumn",257.5,"mm","2021-03-01","2021-05-31",-44.002,170.441,106,99.9
"Masterton (Wellington)","Autumn",172.2,"mm","2021-03-01","2021-05-31",-40.957,175.707,-34,-36
"Milford Sound (Southland)","Autumn",1574.8,"mm","2021-03-01","2021-05-31",-44.67384,167.92406,-62.1,-40.6
"Napier (Hawke's Bay)","Autumn",104.19999999999999,"mm","2021-03-01","2021-05-31",-39.49846,176.91189,-100,-91
"Nelson (Nelson)","Autumn",372.2,"mm","2021-03-01","2021-05-31",-41.299,173.226,124.6,143
"New Plymouth (Taranaki)","Autumn",399.6,"mm","2021-03-01","2021-05-31",-39.0079,174.18382,27.2,42.6
"Queenstown (Otago)","Autumn",155.4,"mm","2021-03-01","2021-05-31",-45.01758,168.74005,-31.7,-22.4
"Reefton (West Coast)","Autumn",471.2,"mm","2021-03-01","2021-05-31",-42.11578,171.86014,-8,40.5
"Rotorua (Bay of Plenty)","Autumn",318.4,"mm","2021-03-01","2021-05-31",-38.10595,176.31485,-24.4,-46.7
"Tara Hills (Canterbury)","Autumn",71.8,"mm","2021-03-01","2021-05-31",-44.52612,169.88948,-74.9,-49.5
"Taumarunui (Manawatū-Whanganui)","Autumn",263.4,"mm","2021-03-01","2021-05-31",-38.88784,175.25981,-40.4,-67.4
"Taupō (Waikato)","Autumn",186.4,"mm","2021-03-01","2021-05-31",-38.74263,176.08104,-23.6,-36.1
"Tauranga (Bay of Plenty)","Autumn",193,"mm","2021-03-01","2021-05-31",-37.673,176.196,-152.8,-157.9
"Timaru (Canterbury)","Autumn",131,"mm","2021-03-01","2021-05-31",-44.30517,171.22141,-16.6,2.5
