Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
3925,20190326:0800,21.8,24,15.9,24,16.3,24,18.9,-,24,D
3925,20190327:0800,19.4,24,15.4,24,15.5,24,17.4,-,24,D
3925,20190328:0800,19.3,24,7.2,24,4.8,24,13.3,-,24,D
3925,20190329:0800,22.4,24,8,24,5.5,24,15.2,-,24,D
3925,20190330:0800,24.2,24,9.1,24,10.5,24,16.7,-,24,D
3925,20190331:0800,26.1,24,12.8,24,11.1,24,19.5,-,24,D
3925,20190401:0800,24.8,24,14.1,24,14,24,19.5,-,24,D
3925,20190402:0800,19.9,24,6.4,24,3.2,24,13.2,-,24,D
3925,20190403:0800,17.8,24,2.9,24,-0.4,24,10.4,-,24,D
3925,20190404:0800,19.5,24,4.4,24,1.7,24,12,-,24,D
3925,20190405:0800,18,24,6,24,6.5,24,12,-,24,D
3925,20190406:0800,16.5,24,2.4,24,-2.1,24,9.5,-,24,D
3925,20190407:0900,16.2,24,4.2,24,0.5,24,10.2,-,24,D
3925,20190408:0900,19.9,24,2.3,24,-0.1,24,11.1,-,24,D
3925,20190409:0900,21.6,24,5.6,24,3.2,24,13.6,-,24,D
3925,20190410:0900,19.2,24,9.2,24,7.5,24,14.2,-,24,D
3925,20190411:0900,21,24,13.2,24,12.8,24,17.1,-,24,D
3925,20190412:0900,15.8,24,9.7,24,6.2,24,12.8,-,24,D
3925,20190413:0900,19.3,24,1.6,24,-1.4,24,10.5,-,24,D
3925,20190414:0900,18.4,24,2.6,24,1.2,24,10.5,-,24,D
3925,20190415:0900,19.2,24,3.2,24,-0.2,24,11.2,-,24,D
3925,20190416:0900,20.5,24,6.2,24,4.2,24,13.4,-,24,D
3925,20190417:0900,20.5,24,4.7,24,2.3,24,12.6,-,24,D
3925,20190418:0900,20.1,24,6.3,24,3.8,24,13.2,-,24,D
3925,20190419:0900,20,24,7.6,24,3,24,13.8,-,24,D
3925,20190420:0900,19.1,24,7.2,24,3.3,24,13.2,-,24,D
3925,20190421:0900,14.4,24,8.5,24,9.6,24,11.5,-,24,D
3925,20190422:0900,16.8,24,9.1,24,7.2,24,13,-,24,D
3925,20190423:0900,19.6,24,5.1,24,1.9,24,12.4,-,24,D
3925,20190424:0900,21.2,24,6.4,24,3.9,24,13.8,-,24,D
3925,20190425:0900,19.1,24,7.6,24,5.3,24,13.4,-,24,D
3925,20190426:0900,18.4,24,9.7,24,7,24,14.1,-,24,D
3925,20190427:0900,19.9,24,9.2,24,4.6,24,14.6,-,24,D
3925,20190428:0900,17.2,24,7,24,3.8,24,12.1,-,24,D
3925,20190429:0900,16.4,24,8.6,24,9.6,24,12.5,-,24,D
3925,20190430:0900,13.8,24,0.6,24,-2.6,24,7.2,-,24,D
3925,20190501:0900,14.7,24,-0.3,24,-2.5,24,7.2,-,24,D
3925,20190502:0900,16.2,24,1.9,24,3.4,24,9.1,-,24,D
3925,20190503:0900,15,24,7,24,8.2,24,11,-,24,D
3925,20190504:0900,18.6,24,7.9,24,2.9,24,13.3,-,24,D
3925,20190505:0900,16.7,24,10.2,24,8.3,24,13.5,-,24,D
3925,20190506:0900,19,24,8.1,24,4.7,24,13.6,-,24,D
3925,20190507:0900,20,24,8.1,24,7,24,14.1,-,24,D
3925,20190508:0900,20.1,24,5.7,24,2.7,24,12.9,-,24,D
3925,20190509:0900,14.6,24,8.4,24,9.8,24,11.5,-,24,D
3925,20190510:0900,16.6,24,11.5,24,9.8,24,14.1,-,24,D
3925,20190511:0900,19.1,24,11.9,24,10.7,24,15.5,-,24,D
3925,20190512:0900,17.4,24,9.8,24,5.2,24,13.6,-,24,D
3925,20190513:0900,14.5,24,7.3,24,3.7,24,10.9,-,24,D
3925,20190514:0900,16.1,24,7.9,24,6.4,24,12,-,24,D
3925,20190515:0900,15.4,24,8.4,24,8.5,24,11.9,-,24,D
3925,20190516:0900,13.3,24,8,24,5.7,24,10.7,-,24,D
3925,20190517:0900,11,24,5.2,24,1,24,8.1,-,24,D
3925,20190518:0900,14,24,4.5,24,1.9,24,9.3,-,24,D
3925,20190519:0900,13.4,24,5.8,24,7.4,24,9.6,-,24,D
3925,20190520:0900,12.5,24,6.9,24,4.6,24,9.7,-,24,D
3925,20190521:0900,14.4,24,5.7,24,1.6,24,10.1,-,24,D
3925,20190522:0900,15.2,24,4.8,24,2.6,24,10,-,24,D
3925,20190523:0900,14.2,24,6,24,2.7,24,10.1,-,24,D
3925,20190524:0900,15.9,24,6.7,24,2.7,24,11.3,-,24,D
3925,20190525:0900,15.6,24,7.1,24,2.8,24,11.4,-,24,D
3925,20190526:0900,13.2,24,6,24,5.2,24,9.6,-,24,D
3925,20190527:0900,15.3,24,6.4,24,3.6,24,10.9,-,24,D
3925,20190528:0900,15.6,24,9.5,24,10.9,24,12.6,-,24,D
3925,20190529:0900,13.4,24,7.3,24,3.6,24,10.4,-,24,D
3925,20190530:0900,13.8,24,8.7,24,10.2,24,11.3,-,24,D
3925,20190531:0900,14.3,24,7.4,24,5.6,24,10.9,-,24,D
3925,20190601:0900,10.7,24,4,24,1,24,7.4,-,24,D
3925,20190602:0900,9.3,24,0.4,24,-2.5,24,4.9,-,24,D
3925,20190603:0900,11.3,24,-3.7,24,-6.1,24,3.8,-,24,D
3925,20190604:0900,6.7,24,-2.7,24,-2.6,24,2,-,24,D
3925,20190605:0900,8.4,24,0.7,24,-1.6,24,4.6,-,24,D
