Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
3925,20090628:2359,0,24,D
3925,20090629:2359,0,24,D
3925,20090630:2359,1.6,24,D
3925,20090701:2359,5.9,24,D
3925,20090702:2359,0,24,D
3925,20090703:2359,0.4,24,D
3925,20090704:2359,0,24,D
3925,20090705:2359,0,24,D
3925,20090706:2359,0,24,D
3925,20090707:2359,2.8,24,D
3925,20090708:2359,7.9,24,D
3925,20090709:2359,4.7,24,D
3925,20090710:2359,0,24,D
3925,20090711:2359,7.1,24,D
3925,20090712:2359,6.8,24,D
3925,20090713:2359,5.1,24,D
3925,20090714:2359,0,24,D
3925,20090715:2359,2,24,D
3925,20090716:2359,5.5,24,D
3925,20090717:2359,1.9,24,D
3925,20090718:2359,0.8,24,D
3925,20090719:2359,1.1,24,D
3925,20090720:2359,0.5,24,D
3925,20090721:2359,0.1,24,D
3925,20090722:2359,0.3,24,D
3925,20090723:2359,0,24,D
3925,20090724:2359,8.3,24,D
3925,20090725:2359,5.9,24,D
3925,20090726:2359,5.9,24,D
3925,20090727:2359,3.5,24,D
3925,20090728:2359,0,24,D
3925,20090729:2359,1,24,D
3925,20090730:2359,3.5,24,D
3925,20090731:2359,0.2,24,D
3925,20090801:2359,3,24,D
3925,20090802:2359,0.6,24,D
3925,20090803:2359,1.2,24,D
3925,20090804:2359,0.7,24,D
3925,20090805:2359,0.6,24,D
3925,20090806:2359,7.2,24,D
3925,20090807:2359,4.9,24,D
3925,20090808:2359,4.5,24,D
3925,20090809:2359,3.1,24,D
3925,20090810:2359,4,24,D
3925,20090811:2359,0.3,24,D
3925,20090812:2359,1.9,24,D
3925,20090813:2359,1.4,24,D
3925,20090814:2359,3.5,24,D
3925,20090815:2359,0.3,24,D
3925,20090816:2359,3.9,24,D
3925,20090817:2359,6.3,24,D
3925,20090818:2359,0,24,D
3925,20090819:2359,9.4,24,D
3925,20090820:2359,8,24,D
3925,20090821:2359,5.8,24,D
3925,20090822:2359,5.5,24,D
3925,20090823:2359,0.3,24,D
3925,20090824:2359,1.4,24,D
3925,20090825:2359,0.1,24,D
3925,20090826:2359,2,24,D
3925,20090827:2359,1.4,24,D
3925,20090828:2359,0.7,24,D
3925,20090829:2359,5.7,24,D
3925,20090830:2359,0.3,24,D
3925,20090831:2359,3.6,24,D
3925,20090901:2359,2.2,24,D
3925,20090902:2359,4,24,D
3925,20090903:2359,6.8,24,D
3925,20090904:2359,9.5,24,D
3925,20090905:2359,6.7,24,D
3925,20090906:2359,9,24,D
3925,20090907:2359,8.8,24,D
3925,20090908:2359,10.2,24,D
3925,20090909:2359,10,24,D
3925,20090910:2359,1.2,24,D
3925,20090911:2359,4.8,24,D
3925,20090912:2359,5.9,24,D
3925,20090913:2359,6,24,D
3925,20090914:2359,9,24,D
3925,20090915:2359,9.6,24,D
3925,20090916:2359,8,24,D
3925,20090917:2359,5.3,24,D
3925,20090918:2359,0,24,D
3925,20090919:2359,10.7,24,D
3925,20090920:2359,10.8,24,D
3925,20090921:2359,8.4,24,D
3925,20090922:2359,3.6,24,D
3925,20090923:2359,5,24,D
3925,20090924:2359,0,24,D
3925,20090925:2359,0.3,24,D
3925,20090926:2359,10.8,24,D
3925,20090927:2259,2.9,24,D
3925,20090928:2259,2.8,24,D
3925,20090929:2259,1.5,24,D
3925,20090930:2259,9,24,D
3925,20091001:2259,5.2,24,D
3925,20091002:2259,0.3,24,D
3925,20091003:2259,2.4,24,D
3925,20091004:2259,9.3,24,D
3925,20091005:2259,11.5,24,D
3925,20091006:2259,11.5,24,D
3925,20091007:2259,11,24,D
3925,20091008:2259,0,24,D
3925,20091009:2259,0,24,D
3925,20091010:2259,11.7,24,D
3925,20091011:2259,11.8,24,D
3925,20091012:2259,8.7,24,D
3925,20091013:2259,7.2,24,D
3925,20091014:2259,0.7,24,D
3925,20091015:2259,9.3,24,D
3925,20091016:2259,0.5,24,D
3925,20091017:2259,2.1,24,D
3925,20091018:2259,7.5,24,D
3925,20091019:2259,2.2,24,D
3925,20091020:2259,10.3,24,D
3925,20091021:2259,0.8,24,D
3925,20091022:2259,8.6,24,D
3925,20091023:2259,11.3,24,D
3925,20091024:2259,8.8,24,D
3925,20091025:2259,6.4,24,D
3925,20091026:2259,4.6,24,D
3925,20091027:2259,12.1,24,D
3925,20091028:2259,8.1,24,D
3925,20091029:2259,8.9,24,D
3925,20091030:2259,10.9,24,D
3925,20091031:2259,12.3,24,D
3925,20091101:2259,2.6,24,D
3925,20091102:2259,0.7,24,D
3925,20091103:2259,9.5,24,D
3925,20091104:2259,2.7,24,D
3925,20091105:2259,4.2,24,D
3925,20091106:2259,11.3,24,D
3925,20091107:2259,2.8,24,D
3925,20091108:2259,7.8,24,D
3925,20091109:2259,7.7,24,D
3925,20091110:2259,1.3,24,D
3925,20091111:2259,5.6,24,D
3925,20091112:2259,9.5,24,D
3925,20091113:2259,4.4,24,D
3925,20091114:2259,4.6,24,D
3925,20091115:2259,1.3,24,D
3925,20091116:2259,2.8,24,D
3925,20091117:2259,7.2,24,D
3925,20091118:2259,12.1,24,D
3925,20091119:2259,3.9,24,D
3925,20091120:2259,0,24,D
3925,20091121:2259,1,24,D
3925,20091122:2259,6.8,24,D
3925,20091123:2259,2.6,24,D
3925,20091124:2259,9.5,24,D
3925,20091125:2259,5.4,24,D
3925,20091126:2259,6.1,24,D
3925,20091127:2259,5.4,24,D
3925,20091128:2259,5.3,24,D
3925,20091129:2259,11.8,24,D
3925,20091130:2259,0,24,D
3925,20091201:2259,0.8,24,D
3925,20091202:2259,0.8,24,D
3925,20091203:2259,12.8,24,D
3925,20091204:2259,11.3,24,D
3925,20091205:2259,0.6,24,D
3925,20091206:2259,1.4,24,D
3925,20091207:2259,8.8,24,D
3925,20091208:2259,10.7,24,D
3925,20091209:2259,2.8,24,D
3925,20091210:2259,0.6,24,D
3925,20091211:2259,0.2,24,D
3925,20091212:2259,2.1,24,D
3925,20091213:2259,0,24,D
3925,20091214:2259,6.4,24,D
3925,20091215:2259,9.1,24,D
3925,20091216:2259,2.8,24,D
3925,20091217:2259,7.2,24,D
3925,20091218:2259,7,24,D
3925,20091219:2259,3.1,24,D
3925,20091220:2259,5.8,24,D
3925,20091221:2259,13.5,24,D
3925,20091222:2259,13.1,24,D
3925,20091223:2259,4.4,24,D
3925,20091224:2259,12.8,24,D
3925,20091225:2259,11,24,D
3925,20091226:2259,1.6,24,D
3925,20091227:2259,1.8,24,D
3925,20091228:2259,9,24,D
3925,20091229:2259,4.6,24,D
3925,20091230:2259,4.3,24,D
3925,20091231:2259,3.3,24,D
3925,20100101:2259,7.4,24,D
3925,20100102:2259,0,24,D
3925,20100103:2259,1.1,24,D
3925,20100104:2259,2.9,24,D
3925,20100105:2259,9.1,24,D
3925,20100106:2259,2.3,24,D
3925,20100107:2259,0,24,D
3925,20100108:2259,8,24,D
3925,20100109:2259,3,24,D
3925,20100110:2259,0.3,24,D
3925,20100111:2259,5.9,24,D
3925,20100112:2259,9.3,24,D
3925,20100113:2259,1.2,24,D
3925,20100114:2259,10.4,24,D
3925,20100115:2259,11.1,24,D
3925,20100116:2259,7.8,24,D
3925,20100117:2259,7.6,24,D
3925,20100118:2259,5.6,24,D
3925,20100119:2259,8.8,24,D
3925,20100120:2259,1.8,24,D
3925,20100121:2259,5.8,24,D
3925,20100122:2259,2.9,24,D
3925,20100123:2259,6.6,24,D
3925,20100124:2259,0.5,24,D
3925,20100125:2259,6.9,24,D
3925,20100126:2259,11.6,24,D
3925,20100127:2259,5,24,D
3925,20100128:2259,12.4,24,D
3925,20100129:2259,8.4,24,D
3925,20100130:2259,10.6,24,D
3925,20100131:2259,12.9,24,D
3925,20100201:2259,12.8,24,D
3925,20100202:2259,12.4,24,D
3925,20100203:2259,12.7,24,D
3925,20100204:2259,12.7,24,D
3925,20100205:2259,8.5,24,D
3925,20100206:2259,9.8,24,D
3925,20100207:2259,6.3,24,D
3925,20100208:2259,5.6,24,D
3925,20100209:2259,8.3,24,D
3925,20100210:2259,0,24,D
3925,20100211:2259,7,24,D
3925,20100212:2259,4,24,D
3925,20100213:2259,6.2,24,D
3925,20100214:2259,1,24,D
3925,20100215:2259,10.3,24,D
3925,20100216:2259,6.7,24,D
3925,20100217:2259,0,24,D
3925,20100218:2259,2.4,24,D
3925,20100219:2259,7.9,24,D
3925,20100220:2259,8.8,24,D
3925,20100221:2259,12.2,24,D
3925,20100222:2259,11.8,24,D
3925,20100223:2259,9.4,24,D
3925,20100224:2259,0.8,24,D
3925,20100225:2259,2.4,24,D
3925,20100226:2259,11.3,24,D
3925,20100227:2259,10.2,24,D
3925,20100228:2259,2,24,D
3925,20100301:2259,5,24,D
3925,20100302:2259,5.7,24,D
3925,20100303:2259,5.2,24,D
3925,20100304:2259,10.2,24,D
3925,20100305:2259,8.4,24,D
3925,20100306:2259,11.5,24,D
3925,20100307:2259,11.5,24,D
3925,20100308:2259,9.2,24,D
3925,20100309:2259,8.4,24,D
3925,20100310:2259,6.9,24,D
3925,20100311:2259,8.1,24,D
3925,20100312:2259,4.2,24,D
3925,20100313:2259,2.7,24,D
3925,20100314:2259,7.1,24,D
3925,20100315:2259,7.8,24,D
3925,20100316:2259,2.9,24,D
3925,20100317:2259,10.8,24,D
3925,20100318:2259,3.3,24,D
3925,20100319:2259,6.2,24,D
3925,20100320:2259,1.5,24,D
3925,20100321:2259,0.9,24,D
3925,20100322:2259,1.9,24,D
3925,20100323:2259,4.1,24,D
3925,20100324:2259,0,24,D
3925,20100325:2259,1.5,24,D
3925,20100326:2259,5.1,24,D
3925,20100327:2259,4.2,24,D
3925,20100328:2259,9.5,24,D
3925,20100329:2259,2.5,24,D
3925,20100330:2259,0,24,D
3925,20100331:2259,1.8,24,D
3925,20100401:2259,1.7,24,D
3925,20100402:2259,1.5,24,D
3925,20100403:2259,4.4,24,D
3925,20100404:2359,0.7,24,D
3925,20100405:2359,0.1,24,D
3925,20100406:2359,3.4,24,D
3925,20100407:2359,10.1,24,D
3925,20100408:2359,10,24,D
3925,20100409:2359,9.9,24,D
3925,20100410:2359,5.5,24,D
3925,20100411:2359,5.5,24,D
3925,20100412:2359,5.1,24,D
3925,20100413:2359,0,24,D
3925,20100414:2359,2.8,24,D
3925,20100415:2359,0.7,24,D
3925,20100416:2359,8.6,24,D
3925,20100417:2359,1.4,24,D
3925,20100418:2359,5.1,24,D
3925,20100419:2359,0.5,24,D
3925,20100420:2359,7.7,24,D
3925,20100421:2359,3.6,24,D
3925,20100422:2359,6.9,24,D
3925,20100423:2359,0.6,24,D
3925,20100424:2359,0,24,D
3925,20100425:2359,0.1,24,D
3925,20100426:2359,0.3,24,D
3925,20100427:2359,0,24,D
3925,20100428:2359,3.1,24,D
3925,20100429:2359,2.9,24,D
3925,20100430:2359,0,24,D
3925,20100501:2359,7.9,24,D
3925,20100502:2359,1.7,24,D
3925,20100503:2359,2.3,24,D
3925,20100504:2359,6.1,24,D
3925,20100505:2359,0.8,24,D
3925,20100506:2359,0.6,24,D
3925,20100507:2359,0,24,D
3925,20100508:2359,0.6,24,D
3925,20100509:2359,6,24,D
3925,20100510:2359,5.2,24,D
3925,20100511:2359,8,24,D
3925,20100512:2359,2.3,24,D
3925,20100513:2359,3.7,24,D
3925,20100514:2359,4.3,24,D
3925,20100515:2359,4.6,24,D
3925,20100516:2359,2.3,24,D
3925,20100517:2359,1.9,24,D
3925,20100518:2359,3.4,24,D
3925,20100519:2359,2.4,24,D
3925,20100520:2359,7,24,D
3925,20100521:2359,4.4,24,D
3925,20100522:2359,3.1,24,D
3925,20100523:2359,0,24,D
3925,20100524:2359,0,24,D
3925,20100525:2359,0,24,D
3925,20100526:2359,2,24,D
3925,20100527:2359,0,24,D
3925,20100528:2359,0,24,D
3925,20100529:2359,0.8,24,D
3925,20100530:2359,4.8,24,D
3925,20100531:2359,7.9,24,D
3925,20100601:2359,0.8,24,D
3925,20100602:2359,3.8,24,D
3925,20100603:2359,5,24,D
3925,20100604:2359,0,24,D
3925,20100605:2359,1.5,24,D
3925,20100606:2359,0,24,D
3925,20100607:2359,0,24,D
3925,20100608:2359,6.8,24,D
3925,20100609:2359,3.5,24,D
3925,20100610:2359,0.1,24,D
3925,20100611:2359,1,24,D
3925,20100612:2359,1.3,24,D
3925,20100613:2359,2.9,24,D
3925,20100614:2359,0.1,24,D
3925,20100615:2359,2,24,D
3925,20100616:2359,1.5,24,D
3925,20100617:2359,1,24,D
3925,20100618:2359,0,24,D
3925,20100619:2359,0.1,24,D
3925,20100620:2359,1,24,D
3925,20100621:2359,2.2,24,D
3925,20100622:2359,0.3,24,D
3925,20100623:2359,0,24,D
3925,20100624:2359,4.5,24,D
3925,20100625:2359,0.9,24,D
3925,20100626:2359,6.5,24,D
3925,20100627:2359,7.2,24,D
3925,20100628:2359,1.3,24,D
3925,20100629:2359,2.4,24,D
3925,20100630:2359,4.1,24,D
3925,20100701:2359,2.1,24,D
3925,20100702:2359,2.3,24,D
3925,20100703:2359,1.1,24,D
3925,20100704:2359,2.8,24,D
3925,20100705:2359,5.2,24,D
3925,20100706:2359,3.7,24,D
3925,20100707:2359,3.9,24,D
3925,20100708:2359,7.7,24,D
3925,20100709:2359,7.9,24,D
3925,20100710:2359,7.9,24,D
3925,20100711:2359,6.7,24,D
3925,20100712:2359,3.7,24,D
3925,20100713:2359,2.4,24,D
3925,20100714:2359,4,24,D
3925,20100715:2359,3.8,24,D
3925,20100716:2359,0,24,D
3925,20100717:2359,1.2,24,D
3925,20100718:2359,2.9,24,D
3925,20100719:2359,3.5,24,D
3925,20100720:2359,1.1,24,D
3925,20100721:2359,0.6,24,D
3925,20100722:2359,2.7,24,D
3925,20100723:2359,1.2,24,D
3925,20100724:2359,7.3,24,D
3925,20100725:2359,3,24,D
3925,20100726:2359,2.5,24,D
3925,20100727:2359,1.9,24,D
3925,20100728:2359,2.9,24,D
3925,20100729:2359,3.2,24,D
3925,20100730:2359,6.6,24,D
3925,20100731:2359,0,24,D
3925,20100801:2359,0.2,24,D
3925,20100802:2359,0.8,24,D
3925,20100803:2359,5.5,24,D
3925,20100804:2359,0.5,24,D
3925,20100805:2359,5.3,24,D
3925,20100806:2359,1.8,24,D
3925,20100807:2359,0,24,D
3925,20100808:2359,0.4,24,D
3925,20100809:2359,8.4,24,D
3925,20100810:2359,8.8,24,D
3925,20100811:2359,5.8,24,D
3925,20100812:2359,0,24,D
3925,20100813:2359,0,24,D
3925,20100814:2359,5.1,24,D
3925,20100815:2359,6.6,24,D
3925,20100816:2359,1.5,24,D
3925,20100817:2359,0.6,24,D
3925,20100818:2359,4.3,24,D
3925,20100819:2359,6.8,24,D
3925,20100820:2359,7.8,24,D
3925,20100821:2359,3,24,D
3925,20100822:2359,1,24,D
3925,20100823:2359,2,24,D
3925,20100824:2359,3.7,24,D
3925,20100825:2359,4.2,24,D
3925,20100826:2359,4,24,D
3925,20100827:2359,1.6,24,D
3925,20100828:2359,0.1,24,D
3925,20100829:2359,5.1,24,D
3925,20100830:2359,7.7,24,D
3925,20100831:2359,6.3,24,D
3925,20100901:2359,3.6,24,D
3925,20100902:2359,0.2,24,D
3925,20100903:2359,1.3,24,D
3925,20100904:2359,1.7,24,D
3925,20100905:2359,1.4,24,D
3925,20100906:2359,0.2,24,D
3925,20100907:2359,3.9,24,D
3925,20100908:2359,6.2,24,D
3925,20100909:2359,8.6,24,D
3925,20100910:2359,5.8,24,D
3925,20100911:2359,0,24,D
3925,20100912:2359,1.9,24,D
3925,20100913:2359,0.5,24,D
3925,20100914:2359,1,24,D
3925,20100915:2359,5.9,24,D
3925,20100916:2359,1.7,24,D
3925,20100917:2359,0.7,24,D
3925,20100918:2359,1.9,24,D
3925,20100919:2359,5.4,24,D
3925,20100920:2359,1.1,24,D
3925,20100921:2359,2.5,24,D
3925,20100922:2359,4.1,24,D
3925,20100923:2359,3.2,24,D
3925,20100924:2359,0.4,24,D
3925,20100925:2359,5.2,24,D
3925,20100926:2259,3.3,24,D
3925,20100927:2259,9.3,24,D
3925,20100928:2259,0.8,24,D
3925,20100929:2259,0,24,D
3925,20100930:2259,0.3,24,D
3925,20101001:2259,7.2,24,D
3925,20101002:2259,8.2,24,D
3925,20101003:2259,11.4,24,D
3925,20101004:2259,9.9,24,D
3925,20101005:2259,6.8,24,D
3925,20101006:2259,0.6,24,D
3925,20101007:2259,6.4,24,D
3925,20101008:2259,1,24,D
3925,20101009:2259,0.9,24,D
3925,20101010:2259,0.7,24,D
3925,20101011:2259,11.8,24,D
3925,20101012:2259,11.8,24,D
3925,20101013:2259,11.8,24,D
3925,20101014:2259,11.9,24,D
3925,20101015:2259,11.9,24,D
3925,20101016:2259,9.3,24,D
3925,20101017:2259,2.3,24,D
3925,20101018:2259,4.1,24,D
3925,20101019:2259,1.8,24,D
3925,20101020:2259,5.5,24,D
3925,20101021:2259,4.2,24,D
3925,20101022:2259,9.8,24,D
3925,20101023:2259,11.7,24,D
3925,20101024:2259,4.4,24,D
3925,20101025:2259,4,24,D
3925,20101026:2259,12.4,24,D
3925,20101027:2259,7.2,24,D
3925,20101028:2259,3,24,D
3925,20101029:2259,2.3,24,D
3925,20101030:2259,12.5,24,D
3925,20101031:2259,12.2,24,D
3925,20101101:2259,6.8,24,D
3925,20101102:2259,7.9,24,D
3925,20101103:2259,8.2,24,D
3925,20101104:2259,1.1,24,D
3925,20101105:2259,2,24,D
3925,20101106:2259,12.7,24,D
3925,20101107:2259,12.3,24,D
3925,20101108:2259,4.3,24,D
3925,20101109:2259,12.8,24,D
3925,20101110:2259,11.1,24,D
3925,20101111:2259,5.1,24,D
3925,20101112:2259,4.9,24,D
3925,20101113:2259,10.7,24,D
3925,20101114:2259,1.4,24,D
3925,20101115:2259,9.9,24,D
3925,20101116:2259,4.2,24,D
3925,20101117:2259,9.5,24,D
3925,20101118:2259,6.4,24,D
3925,20101119:2259,3.6,24,D
3925,20101120:2259,0.1,24,D
3925,20101121:2259,7.4,24,D
3925,20101122:2259,10.6,24,D
3925,20101123:2259,10,24,D
3925,20101124:2259,12.9,24,D
