Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C),,,,,,
20090516,13.6,12.6,88,11.7,,,,,,
20090517,9.7,8.8,88,7.8,,,,,,
20090518,8.8,8.2,91,7.4,,,,,,
20090519,6.7,6.5,97,6.3,,,,,,
20090520,1.3,1.2,97,0.9,,,,,,
20090521,0.5,-0.1,88,-1.2,,,,,,
20090522,-1,-1,98,-1.2,,,,,,
20090523,-1.3,-1.5,95,-2,,,,,,
20090524,6,4.8,82,3.2,,,,,,
20090525,7,5.6,79,3.6,,,,,,
20090526,-0.2,-0.3,97,-0.6,,,,,,
20090527,0.2,0.1,98,-0.1,,,,,,
20090528,1,0.9,98,0.7,,,,,,
20090529,5.1,4.9,96,4.5,,,,,,
20090530,6.2,6,97,5.8,,,,,,
20090531,3.9,3.3,89,2.3,,,,,,
20090601,-2.7,-2.8,95,-3.3,,,,,,
20090602,-4.3,-4.3,97,-4.8,,,,,,
20090603,-2.1,-2.1,98,-2.3,,,,,,
20090604,0.3,0.2,98,0,,,,,,
20090605,3.8,3.6,97,3.4,,,,,,
20090606,5.7,5.1,91,4.4,,,,,,
20090607,-0.7,-0.8,98,-1,,,,,,
20090608,0.4,0.4,99,0.3,,,,,,
20090609,6.9,6,87,4.9,,,,,,
20090610,7.4,7.2,97,7,,,,,,
20090611,9.4,9.1,96,8.8,,,,,,
20090612,8.7,8.4,96,8.1,,,,,,
20090613,7.3,7.1,97,6.9,,,,,,
20090614,8.5,8.2,95,7.8,,,,,,
20090615,5,4.8,96,4.4,,,,,,
20090616,2.7,2.4,95,2,,,,,,
20090617,-4.3,-4.3,97,-4.8,,,,,,
20090618,-3.6,-3.6,98,-4,,,,,,
20090619,-4.8,-4.8,97,-5.4,,,,,,
20090620,-4.9,-4.9,97,-5.5,,,,,,
20090621,-5.6,-5.6,96,-6.3,,,,,,
20090622,-4,-4,98,-4.5,,,,,,
20090623,-2.7,-2.7,98,-3,,,,,,
20090624,-1.1,-1.1,99,-1.2,,,,,,
20090625,-0.7,-0.7,99,-0.8,,,,,,
20090626,2.9,2.8,98,2.6,,,,,,
20090627,5.7,5.6,98,5.4,,,,,,
20090628,2.6,2.4,97,2.2,,,,,,
20090629,7.2,3.8,52,-2,,,,,,
20090630,1.7,1.4,94,0.8,,,,,,
20090701,-2.8,-2.8,99,-3.1,,,,,,
20090702,-1.6,-1.6,99,-1.8,,,,,,
20090703,2,2,99,1.9,,,,,,
20090704,3.7,3.6,98,3.4,,,,,,
20090705,4.4,4.2,96,3.8,,,,,,
20090706,3.7,3.6,98,3.4,,,,,,
20090707,4.6,4.4,97,4.2,,,,,,
20090708,1.7,1.5,96,1.1,,,,,,
20090709,-2.4,-2.4,99,-2.7,,,,,,
20090710,-2,-2,99,-2.2,,,,,,
20090711,-3.4,-3.4,99,-3.8,,,,,,
20090712,1,0.5,91,-0.3,,,,,,
20090713,-4.5,-4.5,97,-5,,,,,,
20090714,0.1,0,98,-0.2,,,,,,
20090715,6.3,6,95,5.6,,,,,,
20090716,6,5.9,98,5.7,,,,,,
20090717,4.7,4.6,98,4.4,,,,,,
20090718,6.1,5.2,86,3.9,,,,,,
