Date(NZST),Radiation(MJ/m2)
20140618,3.29
20140619,4.49
20140620,3.63
20140621,1.95
20140622,7.25
20140623,4.59
20140624,3.31
20140625,1.81
20140626,4.26
20140627,2.19
20140628,4.51
20140629,5.55
20140630,4.45
20140701,5.21
20140702,4.48
20140703,4.29
20140704,4.35
20140705,4.15
20140706,6.17
20140707,5.17
20140708,6.8
20140709,4
20140710,3.46
20140711,2.56
20140712,2.23
20140713,5.59
20140714,4.13
20140715,4.33
20140716,7.71
20140717,8.11
20140718,3.18
20140719,8.06
20140720,8.15
20140721,8.26
20140722,8.42
20140723,7.22
20140724,4.84
20140725,5.02
20140726,4.85
20140727,6.62
20140728,7.75
20140729,2.64
20140730,3.53
20140731,3.26
20140801,4.14
20140802,2.56
20140803,4.32
20140804,7.41
20140805,5.38
20140806,8.99
20140807,2.79
20140808,7.31
20140809,8.91
20140810,7.68
20140811,2.35
20140812,6.14
20140813,5.11
20140814,3.53
20140815,9.54
20140816,9.43
20140817,7.82
20140818,8.9
20140819,5.31
20140820,8.48
20140821,12.49
20140822,12.08
20140823,12.61
20140824,12.52
20140825,6.33
20140826,13.45
20140827,12.69
20140828,12.58
20140829,13.57
20140830,14.2
20140831,14.4
20140901,13.66
20140902,14.95
20140903,14.41
20140904,13.29
20140905,10.09
20140906,14.57
20140907,10.34
20140908,12.82
20140909,5.84
20140910,10.48
20140911,8.63
20140912,12.48
20140913,8.43
20140914,15.84
20140915,7.75
20140916,4.03
20140917,10.4
20140918,10.5
20140919,7
20140920,11.98
20140921,11.01
20140922,18.71
20140923,13.54
20140924,18.46
20140925,9.99
20140926,6.41
20140927,6.24
20140928,18.06
20140929,20.54
20140930,20.3
20141001,19.68
20141002,5.64
20141003,8.25
20141004,9.8
20141005,9.87
20141006,11.82
20141007,18.24
20141008,11.79
20141009,15.87
20141010,19.98
20141011,19.99
20141012,18.54
20141013,17.47
20141014,20.45
20141015,22.69
20141016,20.16
20141017,14.1
20141018,11.6
20141019,14.58
20141020,13.31
20141021,6.96
20141022,16.07
20141023,22.26
20141024,19
20141025,19.88
20141026,8.31
20141027,22.42
20141028,15.36
20141029,5.25
20141030,9.86
20141031,13.27
20141101,13.32
20141102,12
20141103,14.2
20141104,19.17
20141105,15.92
20141106,20.75
20141107,24.88
20141108,25.7
20141109,20.55
20141110,10.65
20141111,8.13
20141112,16.26
20141113,24.32
20141114,20.95
20141115,16.91
20141116,21.55
20141117,10.29
20141118,19.22
20141119,10.98
20141120,18.16
20141121,9.33
20141122,6.24
20141123,21.78
20141124,25.92
20141125,9.76
20141126,22.51
20141127,13.25
20141128,18.43
20141129,16.04
20141130,18.84
20141201,23.92
20141202,31.22
20141203,22.75
20141204,9.01
20141205,25.36
20141206,18.1
20141207,17.62
20141208,26.11
20141209,14.54
20141210,6.46
20141211,10.46
20141212,25.04
20141213,27.52
20141214,32.1
20141215,31.63
20141216,31.08
20141217,10.04
20141218,14.68
20141219,15.26
20141220,12.3
20141221,13.5
20141222,28.13
20141223,31.41
20141224,31.69
20141225,23.05
20141226,24.51
20141227,13.76
20141228,21.61
20141229,18.2
20141230,19.12
20141231,8.58
20150101,27.7
20150102,22.69
20150103,27.06
20150104,26.66
20150105,30.79
20150106,27.16
20150107,30.67
20150108,26.66
20150109,30.2
20150110,29.57
20150111,22.76
20150112,25.38
20150113,30.25
20150114,25.04
20150115,21.03
20150116,8.69
20150117,23.27
20150118,23.04
20150119,19.49
20150120,21.32
20150121,30.49
20150122,30.95
20150123,30.37
20150124,30.96
20150125,30.11
20150126,29.16
20150127,30.54
20150128,25.5
20150129,25.97
20150130,17.24
20150131,12.26
20150201,18.68
20150202,17.6
20150203,18.54
20150204,8.57
20150205,9.91
20150206,26.5
20150207,25.48
20150208,23.82
20150209,10.78
20150210,27.31
20150211,27.02
20150212,26.96
20150213,26.49
20150214,17.96
20150215,27.02
20150216,26.15
20150217,22.87
20150218,26.66
20150219,16.42
20150220,25.12
20150221,12.22
20150222,20.93
20150223,13.52
20150224,16.88
20150225,18.83
20150226,13.26
20150227,23.91
20150228,19.71
20150301,16.38
20150302,23.18
20150303,10.71
20150304,13.97
20150305,13.64
20150306,7.66
20150307,6.64
20150308,11.31
20150309,17.56
20150310,20.81
20150311,17.9
20150312,15.41
20150313,12.77
20150314,19.05
20150315,19.32
20150316,19.35
20150317,20.97
20150318,20.45
20150319,19.63
20150320,8.8
20150321,16.72
20150322,7.8
20150323,14.38
20150324,8.69
20150325,10.88
20150326,12.38
20150327,15.26
20150328,9.81
20150329,6.2
20150330,12.75
20150331,15.37
20150401,16.93
20150402,10.12
20150403,10.3
20150404,9.1
20150405,16.03
20150406,5.47
20150407,9.17
20150408,5.84
20150409,8.89
20150410,7.8
20150411,12.16
20150412,6.2
20150413,6.71
20150414,14.82
20150415,13.44
20150416,14.17
20150417,6.98
20150418,13.72
20150419,10.14
20150420,8.5
20150421,3.32
20150422,9.37
20150423,12.55
20150424,12.15
20150425,4.21
20150426,4.28
20150427,3.72
20150428,6.17
20150429,5.66
20150430,11.27
20150501,6.72
20150502,10.23
20150503,10.25
20150504,8.75
20150505,3.96
20150506,2.43
20150507,7.18
20150508,4.44
20150509,6.02
20150510,9.03
20150511,3.17
20150512,5.44
20150513,5.81
20150514,3.81
20150515,5.1
20150516,7.83
20150517,7.51
20150518,4.31
20150519,6.32
20150520,4.79
20150521,3.48
20150522,5.65
20150523,8.33
20150524,3.32
20150525,7.95
20150526,5.43
20150527,6.48
20150528,7.84
20150529,5.53
20150530,2.83
20150531,4.58
20150601,3.73
20150602,7.1
20150603,6.87
20150604,7.13
20150605,5.33
20150606,5.16
20150607,4.79
20150608,3.85
20150609,3.47
20150610,2.64
20150611,5.06
20150612,2.09
20150613,2.87
20150614,3.39
20150615,5.38
20150616,5.45
20150617,4.12
20150618,1.41
20150619,1.95
20150620,4.68
20150621,3.33
20150622,7.2
20150623,6.67
20150624,7.24
20150625,7.51
20150626,3.45
20150627,5.51
20150628,3.84
20150629,2.97
20150630,5.73
20150701,4.52
20150702,5.28
20150703,2.72
20150704,6.08
20150705,5.2
20150706,3.91
20150707,6.9
20150708,8.59
20150709,7.73
20150710,8.63
20150711,8.53
20150712,8.52
20150713,8.36
20150714,3.65
20150715,1.72
20150716,5.41
20150717,7.28
20150718,1.82
20150719,9.13
20150720,3.38
20150721,6.27
20150722,7.84
20150723,6.15
20150724,8.53
20150725,7.45
20150726,3.26
20150727,3.64
20150728,5.83
20150729,7.46
20150730,7.55
20150731,6.27
20150801,4.45
20150802,7.2
20150803,1.76
20150804,3.36
20150805,8.7
20150806,8.5
20150807,2.91
20150808,10.7
20150809,9.67
20150810,11.84
20150811,11.27
20150812,10.58
20150813,4.46
20150814,4.29
20150815,10.13
20150816,12.83
20150817,7.73
20150818,4.11
20150819,8.22
20150820,12.62
20150821,11.86
20150822,8.05
20150823,8.85
20150824,4.15
20150825,6.97
20150826,14.07
20150827,7.48
20150828,5.87
20150829,4.56
20150830,13.47
20150831,12.5
20150901,3.63
20150902,8.37
20150903,12.58
20150904,7.89
20150905,7.8
20150906,10.28
20150907,14.63
20150908,13.72
20150909,12.77
20150910,6.7
20150911,8.55
20150912,14.53
20150913,9.43
20150914,10.93
20150915,3.13
20150916,7.39
20150917,7.51
20150918,12.44
20150919,13.83
20150920,19.47
20150921,20.1
20150922,14.84
20150923,17.68
20150924,20.61
20150925,20.76
20150926,21.24
20150927,16.28
20150928,20.84
20150929,16.16
20150930,17.65
20151001,7.06
20151002,12.2
20151003,17.97
20151004,11.95
20151005,18.25
20151006,21.62
20151007,20.09
20151008,14.8
20151009,13.85
20151010,19.36
20151011,15.87
20151012,7.32
20151013,14.18
20151014,20.02
20151015,23.23
20151016,18.66
20151017,9.39
20151018,17.66
20151019,18.75
20151020,14.96
20151021,7.14
20151022,21.62
20151023,10.23
20151024,25.35
20151025,16.12
20151026,24.49
20151027,7.53
20151028,7.89
20151029,22.18
20151030,22.72
20151031,23.24
20151101,24.68
20151102,21.09
20151103,12.95
20151104,16.06
20151105,29.43
20151106,27.77
20151107,25.19
20151108,11.15
20151109,23.92
20151110,20.37
20151111,14.05
20151112,21.5
20151113,26.68
20151114,15.87
20151115,15.47
20151116,20.35
20151117,17.66
20151118,30.13
20151119,20.92
20151120,9.82
20151121,12.28
20151122,19.15
20151123,14.48
20151124,13.02
20151125,14.28
20151126,30.42
20151127,7.6
20151128,23.06
20151129,23.9
20151130,29.73
20151201,9.72
20151202,13.24
20151203,14.77
20151204,23.73
20151205,14.64
20151206,28.93
20151207,24.07
20151208,20.97
20151209,25.87
20151210,10.52
20151211,15.86
20151212,7.32
20151213,16.85
20151214,14.03
20151215,16.66
20151216,22.49
20151217,21.19
20151218,26.95
20151219,27.43
20151220,8.13
20151221,32.34
20151222,21.49
20151223,28.44
20151224,29.68
20151225,32.92
20151226,32.94
20151227,33.64
20151228,34.2
20151229,33.65
20151230,31.44
20151231,34.71
20160101,31.53
20160102,6.37
20160103,13.49
20160104,34.6
20160105,34.09
20160106,29.03
20160107,23.05
20160108,16.11
20160109,21.57
20160110,26.34
20160111,31.94
20160112,24.99
20160113,20.65
20160114,27.36
20160115,19.73
20160116,7.54
20160117,15.36
20160118,11.19
20160119,13.01
20160120,24.96
20160121,18.19
20160122,16.34
20160123,23.9
20160124,9.93
20160125,24.38
20160126,10.13
20160127,8.14
20160128,23.43
20160129,27.52
20160130,27.53
20160131,30.24
20160201,29.58
20160202,27.45
20160203,29.35
20160204,24.66
20160205,20.38
20160206,28.82
20160207,28.84
20160208,26.83
20160209,22.84
20160210,26.42
20160211,28.06
20160212,26.12
20160213,27.54
20160214,27.62
20160215,24.05
20160216,18.55
20160217,4.88
20160218,11.23
20160219,9.39
20160220,20.05
20160221,23.11
20160222,24.64
20160223,19.35
20160224,13.18
20160225,9.27
20160226,22.79
20160227,10.57
20160228,21.05
20160229,17.88
20160301,23.58
20160302,24.78
20160303,16.63
20160304,21.41
20160305,11.86
20160306,12.17
20160307,11.23
20160308,13.95
20160309,21.66
20160310,8.66
20160311,23.15
20160312,15.1
20160313,15.08
20160314,12.07
20160315,17.62
20160316,5.76
20160317,18.71
20160318,14.73
20160319,7.39
20160320,12.06
20160321,12.54
20160322,14.76
20160323,4.9
20160324,15.23
20160325,14.78
20160326,16.23
20160327,16.84
20160328,15.04
20160329,15.92
20160330,16.71
20160331,16.2
20160401,4.81
20160402,6.45
20160403,8.24
20160404,17.58
20160405,15.22
20160406,12.81
20160407,11.44
20160408,10.76
20160409,11.86
20160410,11.38
20160411,11.58
20160412,8.2
20160413,15.78
20160414,11.46
20160415,15.25
20160416,12.28
20160417,10.63
20160418,13.03
20160419,11.48
20160420,13.34
20160421,11.47
20160422,7.54
20160423,3.77
20160424,11.58
20160425,8.78
20160426,8.75
20160427,8.32
20160428,11.87
20160429,7.51
20160430,9.77
20160501,4.24
20160502,5.28
20160503,7.29
20160504,4.92
20160505,8.82
20160506,9.72
20160507,11.11
20160508,9.28
20160509,3.68
20160510,4.09
20160511,2.17
20160512,6.26
20160513,5.17
20160514,4.42
20160515,5.64
20160516,2.29
20160517,9.23
20160518,2.63
20160519,4.85
20160520,2
20160521,7.11
20160522,4.12
20160523,5.36
20160524,3.28
20160525,6.21
20160526,3.52
20160527,5
20160528,2.62
20160529,5.2
20160530,5.48
20160531,6.03
20160601,8.56
20160602,7.19
20160603,5.36
20160604,4.9
20160605,6.03
20160606,7.69
20160607,7.4
20160608,7.91
20160609,3.08
20160610,2.47
20160611,4.57
20160612,1.68
20160613,4.22
20160614,5.03
20160615,2.37
20160616,5.62
20160617,5.56
20160618,6.03
20160619,3.45
20160620,3.31
20160621,2.43
20160622,3.54
20160623,1.78
20160624,4.07
20160625,5.26
20160626,4.83
20160627,6.13
20160628,4.47
20160629,5.23
20160630,7.71
20160701,7.87
20160702,5.36
20160703,4.82
20160704,4.45
20160705,6.32
20160706,5.7
20160707,6.48
20160708,6.31
20160709,8.19
20160710,7.55
20160711,7.45
20160712,5.83
20160713,1.65
20160714,5.14
20160715,4.4
20160716,4.21
20160717,2.54
20160718,5.84
20160719,1.62
20160720,3.76
20160721,5.86
20160722,8.87
20160723,2.36
20160724,3.44
20160725,5.48
20160726,8.42
20160727,8.68
20160728,2.49
20160729,5.96
20160730,2.24
20160731,4.25
20160801,6.47
20160802,9.16
20160803,4.81
20160804,4.41
20160805,10
20160806,11.58
20160807,11.63
20160808,11.61
20160809,12.16
20160810,12.3
20160811,12.46
20160812,3
20160813,8.85
20160814,10.19
20160815,9.46
20160816,12.15
20160817,8.55
20160818,11.95
20160819,11.68
20160820,10.09
20160821,5.29
20160822,10.34
20160823,10.31
20160824,4.86
20160825,8.12
20160826,3.27
20160827,5.22
20160828,11.8
20160829,8.51
20160830,11.1
20160831,6.26
20160901,9.25
20160902,10.75
20160903,15.22
20160904,3.72
20160905,12.1
20160906,10.99
20160907,6.52
20160908,9.96
20160909,17.04
20160910,18.16
20160911,16.38
20160912,6.9
20160913,14.74
20160914,16.11
20160915,16.76
20160916,2.55
20160917,18.17
20160918,17.71
20160919,18.08
20160920,19.66
20160921,20.19
20160922,18.06
20160923,19.58
20160924,9.63
20160925,4.91
20160926,9.55
20160927,13.67
20160928,13.39
20160929,17.24
20160930,14.85
20161001,11.44
20161002,16.5
20161003,20.02
20161004,16.56
20161005,15.06
20161006,9.28
20161007,20.49
20161008,6.12
20161009,20.6
20161010,17.87
20161011,17.34
20161012,11.31
20161013,17.83
20161014,8.26
20161015,24.66
20161016,18.64
20161017,21.88
20161018,16.33
20161019,21.35
20161020,9.71
20161021,20.53
20161022,26.74
20161023,19.94
20161024,9.3
20161025,17.64
20161026,18.02
20161027,16.81
20161028,8.03
20161029,9.83
20161030,26.2
20161031,20.19
20161101,12.71
20161102,19.29
20161103,18.9
20161104,15.93
20161105,16.51
20161106,11.4
20161107,15.28
20161108,24.48
20161109,6.47
20161110,6.89
20161111,6.68
20161112,17.37
20161113,16.01
20161114,8.44
20161115,16.92
20161116,12.26
20161117,18.14
20161118,27.37
20161119,23.59
20161120,19.77
20161121,18.33
20161122,31.51
20161123,21.91
20161124,25.62
20161125,10.43
20161126,16.55
20161127,11.6
20161128,14.22
20161129,7.42
20161201,29.93
20161202,31.64
20161203,18.97
20161204,25.96
20161205,31.64
20161206,14.52
20161207,7.73
20161208,17.36
20161209,24.66
20161210,14.83
20161211,18.53
20161212,22.21
20161213,18.3
20161214,18.6
20161215,13.03
20161216,27.05
20161217,33.01
20161218,14.57
20161219,26.67
20161220,33.95
20161221,30.41
20161222,9.79
20161223,19.6
20161224,27.67
20161225,22.76
20161226,23.18
20161227,9.87
20161228,31.61
20161229,29.28
20161230,29.52
20161231,9.94
20170101,17.19
20170102,18.09
20170103,7.6
20170104,21.36
20170105,30.12
20170106,11.5
20170107,16.18
20170108,12.77
20170109,10.93
20170110,20.6
20170111,20.17
20170112,15.28
20170113,26.46
20170114,13.94
20170115,22.36
20170116,19.76
20170117,13.09
20170118,5.07
20170119,17.58
20170120,29.06
20170121,7.98
20170122,10.37
20170123,26.24
20170124,23.17
20170125,21.39
20170126,9.29
20170127,15.95
20170128,29.92
20170129,17.16
20170130,26.47
20170131,8.37
20170201,12.13
20170202,7.22
20170203,26.56
20170204,14.95
20170205,28.76
20170206,15.71
20170207,10.21
20170208,27.79
20170209,22.86
20170210,11.76
20170211,23.63
20170212,17.14
20170213,16.32
20170214,20.07
20170215,25.42
20170216,25.95
20170217,17.65
20170218,19.09
20170219,21.43
20170220,16.21
20170221,19.71
20170222,17.94
20170223,22.55
20170224,23.65
20170225,22.55
20170226,22.55
20170227,24.98
20170228,20.89
20170301,23.24
20170302,21.44
20170303,10.61
20170304,15.51
20170305,14.86
20170306,11.89
20170307,6.39
20170308,23.52
20170309,23.04
20170310,12.07
20170311,4.46
20170312,8.54
20170313,7.94
20170314,18.26
20170315,21.65
20170316,19.45
20170317,20.11
20170318,15.84
20170319,11.48
20170320,16.48
20170321,10.4
20170322,16.79
20170323,19.24
20170324,11.01
20170325,9.72
20170326,7.46
20170327,12.95
20170328,18.51
20170329,16.32
20170330,15.29
20170331,11.51
20170401,9.02
20170402,5.28
20170403,10.95
20170404,14.92
20170405,6.49
20170406,8.21
20170407,17.09
20170408,7.6
20170409,15.35
20170410,12.61
20170411,4.44
20170412,2.75
20170413,4.27
20170414,7.26
20170415,9.53
20170416,12.08
20170417,13.87
20170418,9.42
20170419,8.96
20170420,13.37
20170421,10.89
20170422,11.19
20170423,9.3
20170424,12.33
20170425,9.75
20170426,7.19
20170427,9.45
20170428,6.06
20170429,6.89
20170430,3.44
20170501,12.37
20170502,5.71
20170503,3.05
20170504,4.97
20170505,9.22
20170506,4.98
20170507,7.93
20170508,6.02
20170509,5.29
20170510,3.07
20170511,2.69
20170512,9.96
20170513,10.45
20170514,5.35
20170515,4.6
20170516,5.53
20170517,3.67
20170518,7.14
20170519,3.85
20170520,6.85
20170521,8.3
20170522,4.55
20170523,4.16
20170524,5.69
20170525,6.96
20170526,5.11
20170527,4.88
20170528,8.21
20170529,6.14
20170530,4.32
20170531,4.34
20170601,6.83
20170602,7.13
20170603,5.52
20170604,2.36
20170605,7.91
20170606,7.22
20170607,6.65
20170608,6.53
20170609,6.27
20170610,4.58
20170611,6.12
20170612,4.72
20170613,2.41
20170614,7.72
20170615,4.89
20170616,3.66
20170617,4.86
20170618,3.79
20170619,4.55
20170620,4.95
20170621,6.43
20170622,3.96
20170623,3.21
20170624,4.14
20170625,6.34
20170626,4.99
20170627,5.59
20170628,3.53
20170629,4.4
20170630,2.1
20170701,2.04
20170702,4.19
20170703,5.38
20170704,5.99
20170705,5.66
20170706,4
20170707,4.38
20170708,4.93
20170709,5.12
20170710,5.29
20170711,4.7
20170712,8.46
20170713,5.04
20170714,6.54
20170715,8.17
20170716,2.6
20170717,5.51
20170718,7.1
20170719,6.61
20170720,4.49
20170721,1.76
20170722,8.77
20170723,8.06
20170724,3.43
20170725,6.22
20170726,5.28
20170727,5.68
20170728,9.93
20170729,10.09
20170730,9.79
20170731,4.35
20170801,7.92
20170802,10.5
20170803,9.85
20170804,10.73
20170805,10.73
20170806,3.87
20170807,8.98
20170808,3.59
20170809,2.06
20170810,5.54
20170811,4.76
20170812,8.61
20170813,3.43
20170814,5.69
20170815,6.02
20170816,9.61
20170817,4.18
20170818,5.72
20170819,6.37
20170820,10.05
20170821,13.32
20170822,13.26
20170823,10.2
20170824,7.98
20170825,11.88
20170826,6.87
20170827,9.94
20170828,4.76
20170829,10.7
20170830,10.16
20170831,7.93
20170901,9.25
20170902,15.67
20170903,15.07
20170904,12.25
20170905,3.67
20170906,12.03
20170907,4.9
20170908,6.91
20170909,7.14
20170910,10.24
20170911,15.34
20170912,7.17
20170913,6.46
20170914,8.5
20170915,3.9
20170916,10.52
20170917,1.78
20170918,3.98
20170919,17.95
20170920,10.85
20170921,14.11
20170922,18.73
20170923,14.06
20170924,11.98
20170925,2.45
20170926,6.97
20170927,15.92
20170928,16.1
20170929,12.35
20170930,19.88
20171001,13.47
20171002,12.06
20171003,15.99
20171004,12.13
20171005,18.98
20171006,10.62
20171007,3.31
20171008,9.7
20171009,13.32
20171010,13.29
20171011,12.28
20171012,16.8
20171013,15.67
20171014,10.88
20171015,13.73
20171016,19.33
20171017,12.49
20171018,22.81
20171019,21.43
20171020,11.84
20171021,12.09
20171022,15.51
20171023,13.28
20171024,17.33
20171025,7.76
20171026,16.31
20171027,22.97
20171028,25.58
20171029,13.1
20171030,19.72
20171031,22.66
20171101,17.78
20171102,20
20171103,10.62
20171104,17.49
20171105,9.42
20171106,24.13
20171107,15.55
20171108,14.33
20171109,23.23
20171110,16.03
20171111,26.91
20171112,20.76
20171113,24.72
20171114,24.98
20171115,25.12
20171116,8.25
20171117,26.97
20171118,28.24
20171119,29.96
20171120,30.29
20171121,23.65
20171122,26.81
20171123,26.25
20171124,15.79
20171125,22
20171126,17.81
20171127,26.21
20171128,30.38
20171129,28.08
20171130,20.22
20171201,28.87
20171202,27.5
20171203,29.25
20171204,30.69
20171205,30.36
20171206,28.36
20171207,31.42
20171208,31.04
20171209,11.54
20171210,26.41
20171211,29.79
20171212,19.71
20171213,14.34
20171214,28.81
20171215,24.7
20171216,28.78
20171217,22.53
20171218,30.44
20171219,8.71
20171220,30.27
20171221,14.12
20171222,23.7
20171223,24.22
20171224,25.72
20171225,26.82
20171226,28.06
20171227,33.05
20171228,26.71
20171229,31.62
20171230,24.08
20171231,12.5
20180101,20.3
20180102,20.1
20180103,28.28
20180104,16.2
20180105,8.34
20180106,29.87
20180107,22.67
20180108,22.65
20180109,8.53
20180110,6.62
20180111,6.38
20180112,12.14
20180113,21.85
20180114,29.27
20180115,25.14
20180116,20.15
20180117,7.58
20180118,25.03
20180119,21.52
20180120,23.01
20180121,25.44
20180122,18.5
20180123,25.88
20180124,24.89
20180125,21.18
20180126,26.4
20180127,26.38
20180128,28.56
20180129,27.21
20180130,26.84
20180131,12.45
20180201,12.24
20180202,15.24
20180203,27.92
20180204,13.26
20180205,19.94
20180206,21.77
20180207,27.44
20180208,27.87
20180209,27.82
20180210,19.15
20180211,5.5
20180212,26.65
20180213,12.04
20180214,18.66
20180215,13.91
20180216,24.48
20180217,8.46
20180218,21.61
20180219,16.43
20180220,2.32
20180221,11.19
20180222,24.25
20180223,19.53
20180224,19.02
20180225,16.52
20180226,21.9
20180227,12.12
20180228,7.86
20180301,15.23
20180302,8.34
20180303,10.61
20180304,13.66
20180305,16.03
20180306,11.77
20180307,17.89
20180308,22.35
20180309,22.22
20180310,20.7
20180311,20.65
20180312,15.89
20180313,12.77
20180314,10.69
20180315,13.61
20180316,15.07
20180317,15.37
20180318,14.55
20180319,10.3
20180320,13.84
20180321,8.43
20180322,9.21
20180323,5.15
20180324,12.48
20180325,10.73
20180326,14.91
20180327,8.89
20180328,17.23
20180329,13.86
20180330,14.87
20180331,6.17
20180401,11.23
20180402,6.05
20180403,10.76
20180404,15.4
20180405,16.14
20180406,12.12
20180407,14.63
20180408,8.68
20180409,6.96
20180410,2.17
20180411,14.89
20180412,5.81
20180413,8.29
20180414,8.57
20180415,7.38
20180416,7.5
20180417,8.36
20180418,10.69
20180419,8.2
20180420,3.4
20180421,7.12
20180422,10.55
20180423,10.36
20180424,8.69
20180425,9.43
20180426,10.77
20180427,4.23
20180428,3.92
20180429,5.89
20180430,2.41
20180501,10.77
20180502,9.69
20180503,6.52
20180504,7.7
20180505,3.79
20180506,7.94
20180507,5.49
20180508,4.88
20180509,9.96
20180510,3.56
20180511,3.08
20180512,6.84
20180513,2.27
20180514,9.85
20180515,4.86
20180516,2.63
20180517,5.49
20180518,3.98
20180519,6.27
20180520,4.52
20180521,4.98
20180522,2.73
20180523,5.39
20180524,4.53
20180525,8.42
20180526,5.22
20180527,8.58
20180528,8.54
20180529,7.73
20180530,3.76
20180531,5.94
20180601,8.02
20180602,7.52
20180603,5.4
20180604,4.79
20180605,5.45
20180606,7.79
20180607,6.67
20180608,7.51
20180609,5.43
20180610,4.46
20180611,4.89
20180612,2.72
20180613,7.88
20180614,4.13
20180615,3.99
20180616,3.28
20180617,5.08
20180618,3.02
20180619,7.9
20180620,7.68
20180621,7.49
20180622,3.55
20180623,4.84
20180624,2.33
20180625,3.08
20180626,7.91
20180627,7.57
20180628,6.26
20180629,4.13
20180630,5.36
20180701,2.67
20180702,6.86
20180703,5.59
20180704,5.86
20180705,4.23
20180706,3.21
20180707,2.42
20180708,1.01
20180709,2.68
20180710,4.86
20180711,4.93
20180712,6.28
20180713,6.91
20180714,5.7
20180715,3.33
20180716,3.8
20180717,7.8
20180718,5.02
20180719,4.9
20180720,5.51
20180721,2.28
20180722,3.49
20180723,4.9
20180724,3.62
20180725,6.38
20180726,4.93
20180727,4.51
20180728,4.52
20180729,6.14
20180730,8.5
20180731,4.34
20180801,6.27
20180802,1.82
20180803,8.35
20180804,8.24
20180805,7.91
20180806,7.66
20180807,5.3
20180808,1.82
20180809,8.5
20180810,11.3
20180811,11.27
20180812,6.7
20180813,6.85
20180814,2.83
20180815,10.56
20180816,4.21
20180817,6.65
20180818,12.94
20180819,11.54
20180820,3.25
20180821,5.36
20180822,9.94
20180823,11.07
20180824,12.23
20180825,7.82
20180826,9.25
20180827,9.07
20180828,10.7
20180829,3.44
20180830,11.41
20180831,11.25
20180901,11.74
20180902,6.17
20180903,6.11
20180904,13.28
20180905,16.3
20180906,13.61
20180907,16.89
20180908,17.02
20180909,16.07
20180910,14.36
20180911,16.07
20180912,15.87
20180913,10.23
20180914,12.28
20180915,16.39
20180916,8.17
20180917,4.57
20180918,16.91
20180919,16.15
20180920,17.13
20180921,6.89
20180922,19.25
20180923,13.88
20180924,10.27
20180925,15.46
20180926,11.38
20180927,11.28
20180928,14.28
20180929,14.39
20180930,9.67
20181001,12.88
20181002,15.89
20181003,16.15
20181004,12.07
20181005,13.06
20181006,15.89
20181007,21.05
20181008,18.57
20181009,16
20181010,13.38
20181011,5.09
20181012,8.43
20181013,23.4
20181014,23.89
20181015,23.75
20181016,13.05
20181017,11.89
20181018,19.25
20181019,13.98
20181020,14.17
20181021,22.04
20181022,22
20181023,20.1
20181024,12.5
20181025,10.65
20181026,14.02
20181027,16.68
20181028,17.44
20181029,8.5
20181030,9.47
20181031,20.15
20181101,23.5
20181102,19.64
20181103,5.2
20181104,13.7
20181105,19.23
20181106,18.54
20181107,16.59
20181108,3.35
20181109,5.4
20181110,15.58
20181111,27.99
20181112,28
20181113,27.57
20181114,22.94
20181115,26.54
20181116,15.75
20181117,20.13
20181118,18.93
20181119,25.33
20181120,18.06
20181121,24.89
20181122,24.99
20181123,25.65
20181124,14.06
20181125,19.18
20181126,11.8
20181127,19.09
20181128,16.29
20181129,23.2
20181130,23.95
20181201,12.98
20181202,22.22
20181203,20.8
20181204,17.57
20181205,7.88
20181206,26.09
20181207,28.43
20181208,28.24
20181209,26.13
20181210,24.95
20181211,8.92
20181212,19.17
20181213,16.91
20181214,16.69
20181215,26.99
20181216,29.46
20181217,27.38
20181218,15.7
20181219,16.16
20181220,13.71
20181221,13.04
20181222,19.39
20181223,28.13
20181224,30.42
20181225,17.94
20181226,30.54
20181227,29.54
20181228,30.42
20181229,14.16
20181230,10.68
20181231,17.19
20190101,20.34
20190102,13.61
20190103,23.02
20190104,27.17
20190105,29.95
20190106,22.92
20190107,26.58
20190108,30.14
20190109,22.56
20190110,21.13
20190111,25.65
20190112,30.16
20190113,16.23
20190114,21.78
20190115,29.95
20190116,30.32
20190117,25.76
20190118,26.05
20190119,13.32
20190120,22.13
20190121,12.83
20190122,11.67
20190123,14.46
20190124,28.3
20190125,19.55
20190126,25.26
20190127,16.68
20190128,21.29
20190129,26.68
20190130,25.33
20190131,24.8
20190201,12.54
20190202,28
20190203,27.36
20190204,26.75
20190205,10.32
20190206,20.81
20190207,21.18
20190208,20.17
20190209,14.96
20190210,24.94
20190211,25.02
20190212,16.25
20190213,23.53
20190214,21.76
20190215,24.14
20190216,22.52
20190217,18.91
20190218,23.03
20190219,17.71
20190220,9.53
20190221,14.33
20190222,17.01
20190223,20.08
20190224,12.46
20190225,24.27
20190226,21.08
20190227,10.37
20190228,23.59
20190301,23.04
20190302,22.89
20190303,22.54
20190304,16.33
20190305,10.86
20190306,10
20190307,11.72
20190308,13.63
20190309,16.29
20190310,16.56
20190311,9.78
20190312,7.5
20190313,9.56
20190314,11.41
20190315,8.55
20190316,7.65
20190317,15.25
20190318,16.09
20190319,15.29
20190320,16.14
20190321,14.07
20190322,12.39
20190323,14.41
20190324,15.46
20190325,6.54
20190326,4.77
20190327,7.42
20190328,17.88
20190329,16.25
20190330,16.63
20190331,15.33
20190401,8.57
20190402,17.16
20190403,16.92
20190404,11.46
