Date(NZST),Radiation(MJ/m2)
20101008,8
20101009,8.28
20101010,8.04
20101011,22.88
20101012,23.07
20101013,22.9
20101014,23.52
20101015,23.05
20101016,20.63
20101017,10.9
20101018,12.66
20101019,12.15
20101020,16.7
20101021,14.49
20101022,22.03
20101023,23.85
20101024,15.28
20101025,12.92
20101026,24.47
20101027,20.21
20101028,14.21
20101029,14.33
20101030,26.06
20101031,26.21
20101101,21.39
20101102,23.18
20101103,21.45
20101104,10.68
20101105,11.77
20101106,27.89
20101107,27.83
20101108,13.65
20101109,28.01
20101110,26.09
20101111,20.42
20101112,17.99
20101113,26.39
20101114,5.74
20101115,24.42
20101116,18.92
20101117,24.5
20101118,21.75
20101119,12.12
20101120,6.76
20101121,22.87
20101122,26.96
20101124,35.58
20101125,30.91
20101126,34.69
20101127,33.05
20101128,30.52
20101129,35.97
20101130,32.99
20101201,24.31
20101202,35.31
20101203,26.57
20101204,31.18
20101205,27.24
20101206,18.44
20101207,25.01
20101208,26.52
20101209,26.1
20101210,20.36
20101211,27.35
20101212,23.49
20101213,13.08
20101214,31.62
20101215,33.95
20101216,15.22
20101217,6.94
20101218,30.71
20101219,12.55
20101220,10.08
20101221,8.89
20101222,20.11
20101223,25.67
20101224,16.64
20101225,21.69
20101226,18.48
20101227,16.54
20101228,10.84
20101229,34.05
20101230,27.62
20101231,20.09
20110101,31.06
20110102,13.11
20110103,20.71
20110104,19.66
20110105,9.83
20110106,12.03
20110107,29.86
20110108,34.43
20110109,35.92
20110110,30.75
20110111,22.82
20110112,23.52
20110113,26.53
20110114,33.24
20110115,20.8
20110116,15.54
20110117,26.46
20110118,2.96
20110119,25.97
20110120,24.64
20110121,17.43
20110122,30.05
20110123,19.22
20110124,34.36
20110125,30.46
20110126,29.36
20110127,32.56
20110128,26.07
20110129,20.9
20110130,13.45
20110131,17.77
20110201,22.07
20110202,9.91
20110203,15.48
20110204,20.87
20110205,23.34
20110206,20.8
20110207,11.12
20110208,28.53
20110209,30.49
20110210,30.27
20110211,30.03
20110212,23.32
20110213,10.09
20110214,22.69
20110215,28.23
20110216,28.56
20110217,27.78
20110218,18.58
20110219,16.05
20110220,19.84
20110221,18.9
20110222,8.34
20110223,16.91
20110224,25.14
20110225,17.94
20110226,20.16
20110227,17.25
20110228,18.73
20110301,10.66
20110302,12.53
20110303,25.65
20110304,15.8
20110305,13.19
20110306,22.92
20110307,26.76
20110308,22.75
20110309,21.41
20110310,24.8
20110311,13.91
20110312,19.49
20110313,21.39
20110314,21.3
20110315,15.24
20110316,7.32
20110317,7.84
20110318,20.23
20110319,16.64
20110320,20.81
20110321,21.45
20110322,21.73
20110323,22.06
20110324,21.59
20110325,18.86
20110326,16.11
20110327,6.2
20110328,13.27
20110329,15.91
20110330,19.65
20110331,14.13
20110401,19.96
20110402,18.62
20110403,7.23
20110404,2.6
20110405,15.71
20110406,11.11
20110407,14.85
20110408,17.4
20110409,9.55
20110410,5.76
20110411,11.49
20110412,14.01
20110413,5.1
20110414,7.41
20110415,9.01
20110416,6.83
20110417,7.37
20110418,14.87
20110419,12.29
20110420,10.98
20110421,12.95
20110422,7.36
20110423,7.67
20110424,5.18
20110425,6.4
20110426,14.24
20110427,11.78
20110428,14.24
20110429,13.51
20110430,12.64
20110501,8.23
20110502,4.43
20110503,8.84
20110504,5.05
20110505,5.94
20110506,6.61
20110507,2.98
20110508,5.18
20110509,7.75
20110510,8.4
20110511,5.66
20110512,6.41
20110513,3.61
20110514,6.34
20110515,3.27
20110516,4.16
20110517,4.53
20110518,10.2
20110519,3.82
20110520,4.3
20110521,9.15
20110522,4.66
20110523,4.31
20110524,4.78
20110525,2.35
20110526,6.09
20110527,5.93
20110528,6.19
20110529,3.86
20110530,4.04
20110531,6.67
20110601,7.19
20110602,5.02
20110603,4.86
20110604,3.02
20110605,4.13
20110606,5.4
20110607,3.1
20110608,5.64
20110609,6.53
20110610,1.96
20110611,3.52
20110612,5.99
20110613,4.65
20110614,6.78
20110615,3.86
20110616,6.27
20110617,4.93
20110618,2.38
20110619,5.37
20110620,5.78
20110621,5.34
20110622,5.21
20110623,2.03
20110624,4.47
20110625,5
20110626,7.85
20110627,3.24
20110628,4.59
20110629,8.21
20110630,8.06
20110701,5.77
20110702,4.17
20110703,4.09
20110704,5.77
20110705,4.31
20110706,2.79
20110707,2.12
20110708,3.51
20110709,2.7
20110710,3.96
20110711,3.76
20110712,2.46
20110713,3.35
20110714,4.79
20110715,8.18
20110716,6.16
20110717,6.7
20110718,4.49
20110719,5.54
20110720,3.69
20110721,4.67
20110722,8.35
20110723,5.59
20110724,4.8
20110725,9.74
20110726,7.27
20110727,7.08
20110728,4.38
20110729,4.14
20110730,9.83
20110731,7.99
20110801,6.04
20110802,4.82
20110803,8.75
20110804,3.8
20110805,9.57
20110806,3.04
20110807,5.44
20110808,7.19
20110809,9.96
20110810,9.95
20110811,4.8
20110812,6.25
20110813,8.03
20110814,6.46
20110815,5.26
20110816,10.76
20110817,9.5
20110818,13.45
20110819,13.56
20110820,14.12
20110821,12.46
20110822,8.74
20110823,12.45
20110824,10.58
20110825,8.71
20110826,7
20110827,9.89
20110828,10.4
20110829,3.51
20110830,6.47
20110831,12.99
20110901,12.9
20110902,15.01
20110903,8
20110904,8.87
20110905,12.45
