Station,Date(NZST),Percent(%),Depth(cm)
3925,20090109:0900,49.1,20
3925,20090109:1000,49.1,20
3925,20090109:1100,49.2,20
3925,20090109:1200,48.9,20
3925,20090109:1300,48.9,20
3925,20090109:1400,49,20
3925,20090109:1500,49,20
3925,20090109:1600,48.7,20
3925,20090109:1700,48.7,20
3925,20090109:1800,48.9,20
3925,20090109:1900,48.9,20
3925,20090109:2000,48.8,20
3925,20090109:2100,48.9,20
3925,20090109:2200,48.8,20
3925,20090109:2300,48.9,20
3925,20090110:0000,48.9,20
3925,20090110:0100,49.4,20
3925,20090110:0200,49.2,20
3925,20090110:0300,49.3,20
3925,20090110:0400,49.6,20
3925,20090110:0500,49.6,20
3925,20090110:0600,49.8,20
3925,20090110:0700,49.8,20
3925,20090110:0800,49.7,20
3925,20090110:0900,49.7,20
3925,20090110:1000,49.8,20
3925,20090110:1100,49.8,20
3925,20090110:1200,49.8,20
3925,20090110:1300,49.8,20
3925,20090110:1400,49.9,20
3925,20090110:1500,49.8,20
3925,20090110:1600,49.9,20
3925,20090110:1700,49.5,20
3925,20090110:1800,49.4,20
3925,20090110:1900,49.5,20
3925,20090110:2000,49.4,20
3925,20090110:2100,49.4,20
3925,20090110:2200,49.4,20
3925,20090110:2300,49.5,20
3925,20090111:0000,49.5,20
3925,20090111:0100,49.4,20
3925,20090111:0200,49.4,20
3925,20090111:0300,49.4,20
3925,20090111:0400,49.5,20
3925,20090111:0500,49.4,20
3925,20090111:0600,49.4,20
3925,20090111:0700,49.4,20
3925,20090111:0800,49.5,20
3925,20090111:0900,49.5,20
3925,20090111:1000,49.5,20
3925,20090111:1100,49.5,20
3925,20090111:1200,49.3,20
3925,20090111:1300,49.2,20
3925,20090111:1400,49,20
3925,20090111:1500,49,20
3925,20090111:1600,49.2,20
3925,20090111:1700,48.9,20
3925,20090111:1800,48.9,20
3925,20090111:1900,48.9,20
3925,20090111:2000,48.9,20
3925,20090111:2100,49,20
3925,20090111:2200,48.7,20
3925,20090111:2300,48.8,20
3925,20090112:0000,48.9,20
3925,20090112:0100,48.9,20
3925,20090112:0200,48.9,20
3925,20090112:0300,48.5,20
3925,20090112:0400,48.9,20
3925,20090112:0500,48.9,20
3925,20090112:0600,48.9,20
3925,20090112:0700,48.9,20
3925,20090112:0800,48.9,20
3925,20090112:0900,48.9,20
3925,20090112:1000,48.9,20
3925,20090112:1100,49.1,20
3925,20090112:1200,48.8,20
3925,20090112:1300,48.7,20
3925,20090112:1400,48.7,20
3925,20090112:1500,48.5,20
3925,20090112:1600,48.5,20
3925,20090112:1700,48.4,20
3925,20090112:1800,48.4,20
3925,20090112:1900,48.4,20
3925,20090112:2000,48.4,20
3925,20090112:2100,48.3,20
3925,20090112:2200,48.2,20
3925,20090112:2300,48.3,20
3925,20090113:0000,48.3,20
3925,20090113:0100,48.6,20
3925,20090113:0200,48.6,20
3925,20090113:0300,48.4,20
3925,20090113:0400,48.6,20
3925,20090113:0500,48.6,20
3925,20090113:0600,48.6,20
3925,20090113:0700,48.5,20
3925,20090113:0800,48.4,20
3925,20090113:0900,48.4,20
3925,20090113:1000,48.4,20
3925,20090113:1100,48.5,20
3925,20090113:1200,48.4,20
3925,20090113:1300,48.2,20
3925,20090113:1400,48.2,20
3925,20090113:1500,48,20
3925,20090113:1600,48.2,20
3925,20090113:1700,48,20
3925,20090113:1800,48.1,20
3925,20090113:1900,48,20
3925,20090113:2000,48,20
3925,20090113:2100,47.9,20
3925,20090113:2200,47.9,20
3925,20090113:2300,47.9,20
3925,20090114:0000,47.8,20
3925,20090114:0100,47.9,20
3925,20090114:0200,47.8,20
3925,20090114:0300,47.9,20
3925,20090114:0400,47.9,20
3925,20090114:0500,48.2,20
3925,20090114:0600,47.9,20
3925,20090114:0700,48.2,20
3925,20090114:0800,48.2,20
3925,20090114:0900,48.2,20
3925,20090114:1000,48.2,20
3925,20090114:1100,48.2,20
3925,20090114:1200,47.9,20
3925,20090114:1300,48,20
3925,20090114:1400,47.9,20
3925,20090114:1500,47.9,20
3925,20090114:1600,47.8,20
3925,20090114:1700,47.7,20
